datetime,MCD_buy_hold,S12_full,L1+L4
2025-01-02,50000.0,50000.0,50000.0
2025-01-03,50387.650184677565,50000.0,50000.0
2025-01-06,49942.26079421666,50000.0,50000.0
2025-01-07,49460.96218259693,50000.0,50000.0
2025-01-08,49043.39516848275,50000.0,50000.0
2025-01-10,48260.62532140172,50000.0,50000.0
2025-01-13,48486.0212703927,50000.0,50000.0
2025-01-14,48138.433942016054,50000.0,50000.0
2025-01-15,48264.88767241567,50000.0,50000.0
2025-01-16,47826.57305502873,50000.0,50000.0
2025-01-17,48033.46822789166,50000.0,50000.0
2025-01-21,48317.485512311876,50000.0,50000.0
2025-01-22,48102.877852270874,50000.0,50000.0
2025-01-23,48630.818049925154,50000.0,50000.0
2025-01-24,48806.87490595782,50000.0,50000.0
2025-01-27,50106.982614886816,50000.0,50000.0
2025-01-28,49774.8069199166,50000.0,50000.0
2025-01-29,49597.17991396246,50000.0,50000.0
2025-01-30,49633.36412100925,50000.0,50000.0
2025-01-31,49356.08918223008,50000.0,50000.0
2025-02-03,49589.90202675373,50000.0,50000.0
2025-02-04,49542.037711507495,50000.0,50000.0
2025-02-05,49381.48437073798,50000.0,50000.0
2025-02-06,50322.476213359456,50000.0,50000.0
2025-02-07,50312.217385923184,50000.0,50000.0
2025-02-10,52698.38464600969,52351.35966576793,50587.83991644198
2025-02-11,53005.89496567785,52330.419121901614,50582.78113245033
2025-02-12,52559.232987152594,52330.419121901614,50582.78113245033
2025-02-13,52972.867295160984,52330.419121901614,50582.78113245033
2025-02-14,52721.85982711648,52330.419121901614,50582.78113245033
2025-02-18,52084.54242657592,52330.419121901614,50582.78113245033
2025-02-19,51589.57647385084,52330.419121901614,50582.78113245033
2025-02-20,51780.63165124018,52330.419121901614,50582.78113245033
2025-02-21,52080.91028926589,52330.419121901614,50582.78113245033
2025-02-24,52552.218598351465,52330.419121901614,50582.78113245033
2025-02-25,53089.063134414064,52330.419121901614,50582.78113245033
2025-02-26,51991.02044548717,52330.419121901614,50582.78113245033
2025-02-27,52959.1223814974,52330.419121901614,50582.78113245033
2025-02-28,52683.262317299275,52330.419121901614,50582.78113245033
2025-03-03,52296.45702840785,52330.419121901614,50582.78113245033
2025-03-04,52550.611585046216,52330.419121901614,50582.78113245033
2025-03-05,52842.8044704907,52330.419121901614,50582.78113245033
2025-03-06,53344.16960185397,52330.419121901614,50582.78113245033
2025-03-07,55218.41116240654,52330.419121901614,50582.78113245033
2025-03-10,54522.252310871,52330.419121901614,50582.78113245033
2025-03-11,52721.62023695272,52330.419121901614,50582.78113245033
2025-03-12,51449.24085166768,52330.419121901614,50582.78113245033
2025-03-13,51124.46638840755,52330.419121901614,50582.78113245033
2025-03-14,51525.74461452657,52330.419121901614,50582.78113245033
2025-03-17,52234.97008858351,52330.419121901614,50582.78113245033
2025-03-18,52172.15595186651,52330.419121901614,50582.78113245033
2025-03-19,52742.0374398546,52330.419121901614,50582.78113245033
2025-03-20,52756.417777499024,52330.419121901614,50582.78113245033
2025-03-21,52488.01827214647,52330.419121901614,50582.78113245033
2025-03-24,52527.853860440875,52330.419121901614,50582.78113245033
2025-03-25,52742.660735241334,52330.419121901614,50582.78113245033
2025-03-26,53884.038713838556,52330.419121901614,50582.78113245033
2025-03-27,53733.23383481727,52330.419121901614,50582.78113245033
2025-03-28,52767.002620740044,52330.419121901614,50582.78113245033
2025-03-31,53682.928193838474,52330.419121901614,50582.78113245033
2025-04-01,53899.268135846476,52330.419121901614,50582.78113245033
2025-04-02,53546.38208588478,52330.419121901614,50582.78113245033
2025-04-03,54696.8489922845,52330.419121901614,50582.78113245033
2025-04-04,51546.70635259515,52330.419121901614,50582.78113245033
2025-04-07,51541.05958301391,52330.419121901614,50582.78113245033
2025-04-08,51539.43360678342,52330.419121901614,50582.78113245033
2025-04-09,52258.52440179496,52330.419121901614,50582.78113245033
2025-04-10,52751.486641422955,52330.419121901614,50582.78113245033
2025-04-11,53288.571943395465,52330.419121901614,50582.78113245033
2025-04-14,54344.460350766174,52330.419121901614,50582.78113245033
2025-04-15,53727.325710299745,52330.419121901614,50582.78113245033
2025-04-16,53148.84720508528,52330.419121901614,50582.78113245033
2025-04-17,53526.986885470884,52330.419121901614,50582.78113245033
2025-04-21,53082.99323789192,52330.419121901614,50582.78113245033
2025-04-22,54852.06669808793,52330.419121901614,50582.78113245033
2025-04-23,54748.91521292916,52330.419121901614,50582.78113245033
2025-04-24,54360.3493120395,52330.419121901614,50582.78113245033
2025-04-25,54449.70487409053,52330.419121901614,50582.78113245033
2025-04-28,54462.20178338691,52330.419121901614,50582.78113245033
2025-04-29,54064.45336684152,52330.419121901614,50582.78113245033
2025-04-30,54946.213389574106,52330.419121901614,50582.78113245033
2025-05-01,53914.87941349182,52330.419121901614,50582.78113245033
2025-05-02,53626.00293828332,52330.419121901614,50582.78113245033
2025-05-05,54270.79628556649,52330.419121901614,50582.78113245033
2025-05-06,54455.29339990217,52487.38762976839,50620.712720861724
2025-05-07,54685.90153804785,52709.66204942019,50674.30506966443
2025-05-08,53888.1687722502,51940.75775583936,50299.630917853145
2025-05-09,53921.08668908254,51972.486084765165,50314.99383614278
2025-05-12,53618.46789779377,51680.80333345243,50173.803593574106
2025-05-13,53062.78863683899,51145.2052134796,49913.81348948056
2025-05-14,52858.043122889256,50947.85879433139,49817.51597422898
2025-05-15,54056.763246690454,52103.25956199433,50937.31920827902
2025-05-16,54766.929964973264,52787.76227049204,51261.72437122104
2025-05-19,55218.140410312844,53222.66686963211,51472.89035676383
2025-05-20,54972.31191785349,52985.72212893627,51358.31294665093
2025-05-21,54393.414489649826,52427.74490000345,50807.20182789823
2025-05-22,54026.97101303114,52074.54396028141,50464.91833917507
2025-05-23,54071.875605921916,52117.825790683215,50506.86232697959
2025-05-27,54137.207091161676,52180.79632625677,50567.88644152429
2025-05-28,53774.515806122916,51831.211981389344,50229.107758606886
2025-05-29,53605.920094577945,51668.70898283618,50071.6277323178
2025-05-30,53947.848203825335,51998.28049170281,50391.01217655909
2025-06-02,54053.031644699025,52099.66281266154,50489.260767120344
2025-06-03,54003.15872872652,52051.59220447194,50442.676022784384
2025-06-04,53861.88221607315,51915.421143411586,50310.71401305824
2025-06-05,53414.86557573627,51484.55879351997,49893.1696305421
2025-06-06,53135.01738034645,51463.96497000256,49873.2123626899
2025-06-09,52691.17191039562,51463.96497000256,49873.2123626899
2025-06-10,51940.28770600021,51463.96497000256,49873.2123626899
2025-06-11,52163.510596963206,51463.96497000256,49873.2123626899
2025-06-12,52412.515429234285,51463.96497000256,49873.2123626899
2025-06-13,52196.47663568296,51463.96497000256,49873.2123626899
2025-06-16,51229.65774484446,51463.96497000256,49873.2123626899
2025-06-17,50540.87681901656,51463.96497000256,49873.2123626899
2025-06-18,50078.87218136073,51463.96497000256,49873.2123626899
2025-06-20,49703.85355044278,51463.96497000256,49873.2123626899
2025-06-23,50059.40665087165,51463.96497000256,49873.2123626899
2025-06-24,50396.466379867714,51463.96497000256,49873.2123626899
2025-06-25,49370.94216864017,51463.96497000256,49873.2123626899
2025-06-26,49384.854949956665,51463.96497000256,49873.2123626899
2025-06-27,50407.13716890231,51463.96497000256,49873.2123626899
2025-06-30,50514.84553288509,51463.96497000256,49873.2123626899
2025-07-01,51433.674700587915,51463.96497000256,49873.2123626899
2025-07-02,50940.386230836695,51463.96497000256,49873.2123626899
2025-07-03,50845.30975940725,51463.96497000256,49873.2123626899
2025-07-07,50750.22786141926,51463.96497000256,49873.2123626899
2025-07-08,50428.23340829054,51463.96497000256,49873.2123626899
2025-07-09,50661.377846186064,51463.96497000256,49873.2123626899
2025-07-10,51585.81395041578,51463.96497000256,49873.2123626899
2025-07-11,51848.846322180245,51463.96497000256,49873.2123626899
2025-07-14,52190.56279135257,51463.96497000256,49873.2123626899
2025-07-15,51799.27992437304,51463.96497000256,49873.2123626899
2025-07-16,51674.88554789471,51463.96497000256,49873.2123626899
2025-07-17,51928.723890234396,51463.96497000256,49873.2123626899
2025-07-18,51357.245754501935,51463.96497000256,49873.2123626899
2025-07-21,51128.74048855505,51463.96497000256,49873.2123626899
2025-07-22,51721.502277364576,51463.96497000256,49873.2123626899
2025-07-23,51540.22432245975,51463.96497000256,49873.2123626899
