strategy,month,pnl_usd
AAPL_buy_hold,2025-01,-1515.4981218372923
AAPL_buy_hold,2025-02,1264.2082348336553
AAPL_buy_hold,2025-03,-4087.0578411602764
AAPL_buy_hold,2025-04,-1698.8526976377252
AAPL_buy_hold,2025-05,-2331.545966995247
AAPL_buy_hold,2025-06,897.9840249665212
AAPL_buy_hold,2025-07,493.34641506198386
AAPL_buy_hold,2025-08,5143.334534505426
AAPL_buy_hold,2025-09,4621.604751792307
AAPL_buy_hold,2025-10,3282.4840252175927
AAPL_buy_hold,2025-11,1840.3794215820672
AAPL_buy_hold,2025-12,-1435.829212943463
AAPL_buy_hold,2026-01,-2571.2142618259313
AAPL_buy_hold,2026-02,1010.4186163459162
AAPL_buy_hold,2026-03,-2138.3998274562837
AAPL_buy_hold,2026-04,3646.338535253213
AAPL_buy_hold,2026-05,8534.36158550137
AAPL_buy_hold,2026-06,-4763.334487276814
AAPL_buy_hold,2026-07,4160.810551119801
AAPL_buy_hold,2026-08,739.478822237521
S12_full,2025-01,-1255.4098243169065
S12_full,2025-02,-762.8734981313464
S12_full,2025-03,-4215.752676141819
S12_full,2025-04,0.0
S12_full,2025-05,0.0
S12_full,2025-06,0.0
S12_full,2025-07,-1019.0097560299328
S12_full,2025-08,4141.724315924141
S12_full,2025-09,4177.396916692363
S12_full,2025-10,3175.439315990967
S12_full,2025-11,1780.3630198154788
S12_full,2025-12,-1102.2357820866164
S12_full,2026-01,0.0
S12_full,2026-02,-2619.160054519496
S12_full,2026-03,72.2322358971287
S12_full,2026-04,943.6552284267891
S12_full,2026-05,8064.648356249185
S12_full,2026-06,-3518.778797103507
S12_full,2026-07,-4144.700399977024
S12_full,2026-08,-21.487015440266987
L1+L4,2025-01,-1255.409824316892
L1+L4,2025-02,-448.6350007066285
L1+L4,2025-03,-3026.465716205559
L1+L4,2025-04,0.0
L1+L4,2025-05,0.0
L1+L4,2025-06,0.0
L1+L4,2025-07,-515.9165234064349
L1+L4,2025-08,4428.225155868531
L1+L4,2025-09,4295.162089845384
L1+L4,2025-10,3222.9932686320026
L1+L4,2025-11,1861.0560698852933
L1+L4,2025-12,-1152.1934402510888
L1+L4,2026-01,0.0
L1+L4,2026-02,-1411.7888802610032
L1+L4,2026-03,60.91159656082891
L1+L4,2026-04,347.5898685259672
L1+L4,2026-05,8531.91540965307
L1+L4,2026-06,-3722.6574198866583
L1+L4,2026-07,-2496.990299142315
L1+L4,2026-08,-11.743559270951664
