strategy,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
AAPL_buy_hold,-1515.4981218372923,1264.2082348336553,-4087.0578411602764,-1698.8526976377252,-2331.545966995247,897.9840249665212,493.34641506198386,5143.334534505426,4621.604751792307,3282.4840252175927,1840.3794215820672,-1435.829212943463,-2571.2142618259313,1010.4186163459162,-2138.3998274562837,3646.338535253213,8534.36158550137,-4763.334487276814,4160.810551119801,739.478822237521
L1+L4,-1255.409824316892,-448.6350007066285,-3026.465716205559,0.0,0.0,0.0,-515.9165234064349,4428.225155868531,4295.162089845384,3222.9932686320026,1861.0560698852933,-1152.1934402510888,0.0,-1411.7888802610032,60.91159656082891,347.5898685259672,8531.91540965307,-3722.6574198866583,-2496.990299142315,-11.743559270951664
S12_full,-1255.4098243169065,-762.8734981313464,-4215.752676141819,0.0,0.0,0.0,-1019.0097560299328,4141.724315924141,4177.396916692363,3175.439315990967,1780.3630198154788,-1102.2357820866164,0.0,-2619.160054519496,72.2322358971287,943.6552284267891,8064.648356249185,-3518.778797103507,-4144.700399977024,-21.487015440266987
