datetime,AAPL_buy_hold,S12_full,L1+L4
2025-01-02,50000.0,50000.0,50000.0
2025-01-03,49899.52768661026,49899.527686610265,49899.527686610265
2025-01-06,50235.250740165306,50235.250740165306,50235.250740165306
2025-01-07,49661.87037488426,49661.87037488427,49661.87037488426
2025-01-08,49762.52436540618,49762.524365406185,49762.52436540618
2025-01-10,48555.80348410811,48555.80348410812,48555.80348410812
2025-01-13,48056.07261720841,48056.07261720842,48056.07261720842
2025-01-14,47826.897244076,47826.897244076004,47826.897244076004
2025-01-15,48764.09581400869,48764.0958140087,48764.095814008695
2025-01-16,46789.93517875773,48744.59017568309,48744.59017568311
2025-01-17,47149.80680552931,48744.59017568309,48744.59017568311
2025-01-21,45637.536625705405,48744.59017568309,48744.59017568311
2025-01-22,45892.20627354989,48744.59017568309,48744.59017568311
2025-01-23,45858.251930287275,48744.59017568309,48744.59017568311
2025-01-24,45679.85611935165,48744.59017568309,48744.59017568311
2025-01-27,47124.94685546835,48744.59017568309,48744.59017568311
2025-01-28,48840.56353372523,48744.59017568309,48744.59017568311
2025-01-29,49085.051576695856,48744.59017568309,48744.59017568311
2025-01-30,48721.43577059714,48744.59017568309,48744.59017568311
2025-01-31,48484.50187816271,48744.59017568309,48744.59017568311
2025-02-03,46832.38526007081,48744.59017568309,48744.59017568311
2025-02-04,47820.04372293162,48744.59017568309,48744.59017568311
2025-02-05,47767.3813524255,48744.59017568309,48744.59017568311
2025-02-06,47923.512949472744,48744.59017568309,48744.59017568311
2025-02-07,46772.1207724922,48744.59017568309,48744.59017568311
2025-02-10,46831.42520884371,48744.59017568309,48744.59017568311
2025-02-11,47851.646265460484,48744.59017568309,48744.59017568311
2025-02-12,48733.069115460894,48744.59017568309,48744.59017568311
2025-02-13,49691.64406246256,48744.59017568309,48744.59017568311
2025-02-14,50324.059433741575,48744.59017568309,48744.59017568311
2025-02-18,50297.434242552976,48744.59017568309,48744.59017568311
2025-02-19,50379.695029527495,48744.59017568309,48744.59017568311
2025-02-20,50577.15402805436,48744.59017568309,48744.59017568311
2025-02-21,50519.58887357775,48744.59017568309,48744.59017568311
2025-02-24,50839.61719654736,49033.87651216028,48816.911759802395
2025-02-25,50827.9813459911,49022.65394812948,48814.118533175315
2025-02-26,49444.532920547754,47688.34336526501,48144.91981384887
2025-02-27,48813.337409346466,47079.566894120064,47837.61731265547
2025-02-28,49748.71011299636,47981.71667755175,48295.95517497648
2025-03-03,48964.79739487902,47225.64726680315,47915.44467119359
2025-03-04,48532.31735336055,46808.52821439553,47703.838837990035
2025-03-05,48493.37697625522,46770.97093628035,47656.02243091598
