symbol,mcap_bUSD,strategy,total_return,sharpe,max_drawdown,avg_exposure,n_trades,vs_qqq,final_equity
AAPL,4559.4,buy_hold,0.160119185414638,1.1664638740264939,-0.12768628516890013,0.9922480620155039,1,0.01606600535094871,116011.9185414638
AAPL,4559.4,sma,0.14501328189173113,1.4061267000100937,-0.10663764690998456,0.49612403100775193,3,0.0009601018280418483,114501.32818917312
AAPL,4559.4,regime,0.025267687421562046,0.3656135471219487,-0.13376250966026249,0.40310077519379844,4,-0.11878549264212723,102526.7687421562
AAPL,4559.4,sma_rs5_entry,-0.046042312770466776,-0.4604289926916969,-0.10663764690998434,0.26356589147286824,3,-0.19009549283415605,95395.76872295332
AAPL,4559.4,regime_rs5_entry,-0.11636408983360136,-1.649895026316801,-0.13376250966026249,0.1937984496124031,4,-0.26041726989729064,88363.59101663987
GOOGL,4375.3,buy_hold,0.044481561749747156,0.415048159938802,-0.21088851561663702,0.9922480620155039,1,-0.09957161831394212,104448.15617497472
GOOGL,4375.3,sma,0.12997857063525697,1.2028145610509389,-0.10887763083400503,0.3178294573643411,4,-0.014074609428432305,112997.85706352569
GOOGL,4375.3,regime,-0.0070750412023086184,0.01609804116481833,-0.11489257331955138,0.1937984496124031,6,-0.1511282212659979,99292.49587976914
GOOGL,4375.3,sma_rs5_entry,0.09497450975121824,1.0323140992377795,-0.10866041921061709,0.2248062015503876,2,-0.04907867031247104,109497.45097512183
GOOGL,4375.3,regime_rs5_entry,-0.04493253945963982,-0.4169939198295393,-0.14333117045871224,0.18604651162790697,6,-0.1889857195233291,95506.74605403602
META,1502.8,buy_hold,-0.1651711654674871,-0.6121098878415842,-0.25632329880794136,0.9922480620155039,1,-0.3092243455311764,83482.88345325128
META,1502.8,sma,-0.2580205881455617,-2.70051817054607,-0.29856100440381594,0.2558139534883721,4,-0.402073768209251,74197.94118544382
META,1502.8,regime,-0.055512327761166325,-0.6518002011496637,-0.11830417616264544,0.10077519379844961,4,-0.1995655078248556,94448.76722388336
META,1502.8,sma_rs5_entry,-0.26154258752684045,-2.9084817899078743,-0.28811626183044237,0.20155038759689922,4,-0.40559576759052973,73845.74124731595
META,1502.8,regime_rs5_entry,-0.10805701468921669,-1.6810260435669686,-0.11830417616264544,0.09302325581395349,2,-0.25211019475290597,89194.29853107833
CSCO,476.4,buy_hold,0.5102462709012916,2.167276242330994,-0.15371993557490538,0.9922480620155039,1,0.3661930908376023,151024.62709012916
CSCO,476.4,sma,0.39196534485837975,2.259431574634382,-0.1300542655074478,0.5038759689922481,3,0.24791216479469047,139196.53448583797
CSCO,476.4,regime,0.40862860540878776,2.964348641246643,-0.032452133048863185,0.2248062015503876,4,0.2645754253450985,140862.86054087878
CSCO,476.4,sma_rs5_entry,0.39196534485837975,2.259431574634382,-0.1300542655074478,0.5038759689922481,3,0.24791216479469047,139196.53448583797
CSCO,476.4,regime_rs5_entry,0.4332017951844136,3.1355146335859367,-0.03245213304886285,0.20930232558139536,2,0.2891486151207243,143320.17951844135
GE,388.6,buy_hold,0.2120809534537751,1.2173732902307604,-0.20941553138183566,0.9922480620155039,1,0.06802777339008581,121208.09534537751
GE,388.6,sma,0.03156337225258099,0.40539322483200946,-0.11667181681885452,0.3643410852713178,5,-0.11248980781110829,103156.3372252581
GE,388.6,regime,0.20670079370572747,1.8355524505893102,-0.10037746539861259,0.4263565891472868,3,0.06264761364203819,120670.07937057274
GE,388.6,sma_rs5_entry,0.020920293862341177,0.34074358386159626,-0.11667181681885408,0.24031007751937986,3,-0.1231328862013481,102092.02938623412
GE,388.6,regime_rs5_entry,0.05058190847499633,0.6570092232454345,-0.10037746539861281,0.2868217054263566,3,-0.09347127158869295,105058.19084749963
