month,equity_end,pnl_usd,ret
2025-01,48769.71,-1230.29,-0.024605877204000093
2025-02,47540.83,-1228.87,-0.025197493568597573
2025-03,47540.83,0.0,0.0
2025-04,47540.83,0.0,0.0
2025-05,52772.29,5231.46,0.11004143375275799
2025-06,55582.21,2809.92,0.05324614099768499
2025-07,55498.73,-83.48,-0.0015019566430356512
2025-08,53677.11,-1821.63,-0.032822831513178996
2025-09,56495.18,2818.07,0.05250048682988395
2025-10,55899.7,-595.48,-0.010540440522132433
2025-11,54182.31,-1717.39,-0.030722663513613302
2025-12,55982.09,1799.78,0.033217041804092906
2026-01,56959.98,977.89,0.017467919044303892
2026-02,57832.66,872.68,0.015320946700403182
2026-03,57832.66,0.0,0.0
2026-04,58727.32,894.66,0.015469807940849511
2026-05,58684.07,-43.25,-0.0007364569483168104
2026-06,62978.55,4294.48,0.07317966407361776
2026-07,62168.99,-809.55,-0.012854436257223156
2026-08,61550.3,-618.7,-0.009951866002160248
