total_return,max_drawdown,sharpe,end_equity,avg_exposure,variant,n_trades,n_enters,vs_soxx_pp,dd_vs_base_pp,dd_improve_pp,ret_vs_base_pp,soxx_bh_return,soxx_bh_dd,beat_soxx
1.8536728834838123,-0.1257185541519649,2.2820958565360745,142683.64417419062,0.3389999999999999,G4_soft5_entry80,55,36,33.97345461134256,,6.52395603694238,-213.01819996475638,1.5139383373703867,-0.3421346908592617,True
2.1912725511878315,-0.1336264572441683,2.3959026873033524,159563.62755939158,0.377125,G4_entry70,47,35,67.73342138174448,,5.73316572772204,-179.25823319435446,1.5139383373703867,-0.3421346908592617,True
2.715216116487806,-0.1527617784972736,2.3960078341621087,185760.8058243903,0.4309999999999999,G4_entry80,47,35,120.12777791174192,,3.8196336024115096,-126.86387666435701,1.5139383373703867,-0.3421346908592617,True
2.620743192550967,-0.1567986224215529,2.28223429888933,181037.1596275484,0.42375,G4_soft5_hard10,55,36,110.68048551805803,,3.4159492099835793,-136.3111690580409,1.5139383373703867,-0.3421346908592617,True
3.983854883131376,-0.1909581145213887,2.396078233345785,249192.7441565688,0.53875,G4_base,47,35,246.9916545760989,,0.0,0.0,1.5139383373703867,-0.3421346908592617,True
2.058368577084678,-0.1935938038189553,1.849596208401708,152918.4288542339,0.56,G4_weaken_flat,44,38,54.44302397142913,,-0.2635689297566607,-192.5486306046698,1.5139383373703867,-0.3421346908592617,True
3.3270064848446,-0.2020043334314005,2.1372579324602854,216350.32424223,0.50625,G4_cooldown3,42,31,181.30681474742133,,-1.1046218910011811,-65.68483982867761,1.5139383373703867,-0.3421346908592617,True
1.7133303761685106,-0.2135093680981421,2.29669203667376,135666.51880842552,0.413,G4_dd7_entry80,58,44,19.939203879812386,,-2.2551253576753414,-227.05245069628654,1.5139383373703867,-0.3421346908592617,True
2.0244217023108395,-0.2188296433657121,2.067046183381009,151221.08511554197,0.455,G4_soft5_hard8,61,42,51.04833649404527,,-2.7871528844323397,-195.94331808205365,1.5139383373703867,-0.3421346908592617,True
2.410256689762905,-0.2623110109938119,2.296876994306247,170512.83448814525,0.51625,G4_dd7,58,44,89.63183523925183,,-7.135289647242319,-157.3598193368471,1.5139383373703867,-0.3421346908592617,True
1.7658550217245823,-0.2739897206593963,1.8366477674183093,138292.7510862291,0.545,G4_dd7_weakenflat,50,46,25.19166843541956,,-8.303160613800761,-221.79998614067938,1.5139383373703867,-0.3421346908592617,True
1.4159645020016551,-0.1508745459866651,1.9334434665803435,120798.22510008275,0.352,G4_dd7_cd3_entry80,49,36,-9.79738353687316,,4.008356853472359,-256.7890381129721,1.5139383373703867,-0.3421346908592617,False
0.7356902681950355,-0.2600797490746468,1.1869777170759532,86784.51340975177,0.36125,G4_cooldown5,45,28,-77.82480691753513,,-6.912163455325812,-324.81646149363405,1.5139383373703867,-0.3421346908592617,False
1.388529825092295,-0.2988297703991891,1.683046279177264,119426.49125461475,0.485,G4_dd5,82,59,-12.540851227809169,,-10.787165587780043,-259.5325058039081,1.5139383373703867,-0.3421346908592617,False
