datetime,QQQ_buy_hold,S12_full,CoreSat_SoftVol
2025-01-02,50000.0,50000.0,50000.0
2025-01-03,50815.14395782317,50815.14395782317,50666.098272726034
2025-01-06,51398.62331853916,51398.62331853916,51141.49237884497
2025-01-07,50483.49643471038,50483.49643471038,50397.43364649504
2025-01-08,50492.32436583006,50492.32436583006,50403.03985596881
2025-01-10,49697.430837094165,49697.430837094165,49779.821333106855
2025-01-13,49542.8231244167,49542.8231244167,49658.18856921305
2025-01-14,49498.0252106794,49526.45143330801,49630.54679467856
2025-01-15,50631.21194625327,49526.45143330801,50199.7332787875
2025-01-16,50279.03127869377,49526.45143330801,50035.32553936301
2025-01-17,51129.69380320676,49526.45143330801,50430.6428138661
2025-01-21,51429.407849566145,49526.45143330801,50568.68984553886
2025-01-22,52085.26737207177,49526.45143330801,50926.93512268765
2025-01-23,52197.6480858034,49526.45143330801,50988.35964621659
2025-01-24,51902.901338673044,49526.45143330801,50827.41130904237
2025-01-27,50403.24522800183,49526.45143330801,50006.46376999173
2025-01-28,51146.93813461781,49526.45143330801,50374.49673238293
2025-01-29,51051.076953960706,49417.26846338928,50295.38082651874
2025-01-30,51269.0300325365,49628.24630047027,50463.55453364455
2025-01-31,51197.87350953259,49559.367028768,50405.774746989104
2025-02-03,50795.938967680806,49170.295762410366,50086.13055811565
2025-02-04,51418.89735776086,49773.317360404646,50582.30071510195
2025-02-05,51654.73168220912,50001.6041825348,50769.69914419534
2025-02-06,51924.147368512975,50262.39764846564,50983.594063876095
2025-02-07,51269.93603695438,49629.123309658295,50430.53449011371
2025-02-10,51888.932613044824,50228.30988521607,50953.220103870175
2025-02-11,51766.651833824864,50109.94250777416,50850.139583912445
2025-02-12,51803.451357408245,50145.56432115698,50881.17129860611
2025-02-13,52546.84818391415,50865.16991504881,51507.98807645126
2025-02-14,52767.427910061626,51078.69033802521,51699.59083109834
2025-02-18,52887.15171734237,51194.58257534644,51804.275903042806
2025-02-19,52902.00150153801,51208.95711582637,51816.37769180708
2025-02-20,52677.231073424904,50991.38010763291,51610.79497440908
2025-02-21,51586.5215573725,49935.57701421447,50589.830825680896
2025-02-24,50980.250134978996,49348.708344056555,50057.44092907096
2025-02-25,50337.23709901273,48726.27391720871,49493.97856918491
2025-02-26,50459.23567902009,48844.368126774796,49609.474099557236
2025-02-27,49069.992001131555,47499.58498237225,48269.74859962218
2025-02-28,49845.10248701472,48249.88929043259,48957.756323643735
2025-03-03,48763.66061739093,47203.05724716455,48030.302372470396
2025-03-04,48617.28129059344,47187.39312379583,47947.82201327583
2025-03-05,49250.31051075825,47187.39312379583,48279.73311141358
2025-03-06,47886.389535485694,47187.39312379583,47568.90450414837
2025-03-07,48239.4942866142,47187.39312379583,47738.868039098634
2025-03-10,46351.76247500177,47187.39312379583,46825.92204173577
2025-03-11,46240.90604857072,47187.39312379583,46776.77037019952
2025-03-12,46766.004713737755,47187.39312379583,47001.52021050966
2025-03-13,45923.56585712271,47187.39312379583,46643.27977420018
2025-03-14,47026.94857912096,47187.39312379583,47117.449952209776
2025-03-17,47331.891122384135,47187.39312379583,47238.13357792288
2025-03-18,46521.65868503794,47187.39312379583,46915.6132414106
2025-03-19,47142.28097414168,47187.39312379583,47165.24404844208
2025-03-20,46984.452247971676,47187.39312379583,47102.26354172028
2025-03-21,47146.586863772885,47187.39312379583,47167.092935698725
2025-03-24,48176.708603199026,47187.39312379583,47578.134755727566
2025-03-25,48451.334245205595,47187.39312379583,47677.246064652325
2025-03-26,47557.96481996964,47187.39312379583,47351.95319250095
2025-03-27,47286.657156618894,47187.39312379583,47251.995841375974
2025-03-28,46037.67947934725,47187.39312379583,46790.174220294255
2025-03-31,46046.16435918538,47187.39312379583,46793.36520685386
2025-04-01,46419.18409310038,47187.39312379583,46933.633873645435
2025-04-02,46771.876871857596,47187.39312379583,47065.58748712319
2025-04-03,44243.48997580416,47187.39312379583,46124.13098641978
2025-04-04,41452.17951495356,47187.39312379583,45104.535243428334
2025-04-07,41602.74729288247,47187.39312379583,45161.87725545171
2025-04-08,40925.208402039556,47187.39312379583,44904.45135030609
2025-04-09,45843.34595302389,47187.39312379583,46793.16974552993
2025-04-10,43873.61463147531,47187.39312379583,46089.4800484065
2025-04-11,44685.1960824988,47187.39312379583,46387.879863262846
2025-04-14,45002.95008829043,47187.39312379583,46503.33145749624
2025-04-15,45053.24179444772,47187.39312379583,46521.5204019264
2025-04-16,43685.20837588472,47187.39312379583,46027.10430177323
2025-04-17,43679.35909812131,47187.39312379583,46024.9473048239
2025-04-21,42591.695216181055,47187.39312379583,45623.8222457606
2025-04-22,43702.57119200848,47187.39312379583,46040.30819989664
2025-04-23,44704.273442164325,47187.39312379583,46409.65804985578
2025-04-24,45957.61960978949,47187.39312379583,46865.063694609016
2025-04-25,46470.4025696859,47187.39312379583,47048.08148792348
2025-04-28,46455.71297473519,47187.39312379583,47042.87621687531
2025-04-29,46765.03779464261,47187.39312379583,47152.508270688995
2025-04-30,46773.88717598038,47187.39312379583,47155.63121661696
2025-05-01,47387.58583172803,47187.39312379583,47372.17878690744
2025-05-02,48088.746116881455,47187.39312379583,47617.50509824519
2025-05-05,47804.60500339636,47187.39312379583,47519.03025320578
2025-05-06,47362.353220248995,47187.39312379583,47365.16680110745
2025-05-07,47548.12786729782,47187.39312379583,47430.19179018238
2025-05-08,48039.31087226087,47187.39312379583,47601.67943461863
2025-05-09,48008.69090915528,47187.39312379583,47591.06007779283
2025-05-12,49961.40022716257,49091.04529255894,49017.897484291025
2025-05-13,50721.22194935418,49074.81249319294,49305.030976153095
2025-05-14,51024.76368312331,49074.81249319294,49421.06960302184
2025-05-15,51081.96193959027,49074.81249319294,49442.856559786116
2025-05-16,51304.07817611283,49271.97976894465,49598.16191278639
2025-05-19,51364.063127726964,49329.58878225207,49641.736984423704
2025-05-20,51193.24193570598,49165.53363075957,49502.714673633105
2025-05-21,50479.36465320604,48479.93224639977,48929.856250937926
2025-05-22,50573.786103793216,48570.613766631264,49005.80805366883
2025-05-23,50110.08566735061,48125.279997163234,48610.029890436934
2025-05-27,51282.25977343854,49251.02556932977,49607.71358462388
2025-05-28,51055.563090020885,49033.30809352407,49424.42892388501
2025-05-29,51164.810913729285,49138.22873045831,49512.06522297387
2025-05-30,51084.083343075334,49060.69869055771,49447.33096164293
2025-06-02,51489.673701739855,49450.224058852924,49772.656020855335
2025-06-03,51891.93173464133,49836.54909116282,50094.87272236674
2025-06-04,52036.49992606343,49975.391094687984,50210.520910324056
2025-06-05,51646.23682594855,49600.58588900009,49884.131021893765
2025-06-06,52151.16020852251,50085.5098088033,50305.08439919975
2025-06-09,52227.90574395405,50159.21553754009,50368.98218572926
2025-06-10,52573.07155308782,50490.70970660381,50656.306989882425
2025-06-11,52396.753672122875,50321.375584002744,50483.47235433301
2025-06-12,52520.40633146141,50440.130496787475,50602.6098041132
2025-06-13,51860.22618779211,49806.09936633675,49966.53631298886
2025-06-16,52579.10551325818,50496.504668213296,50659.16556976239
2025-06-17,52065.13231378699,50002.88938485916,50163.96023760118
2025-06-18,52056.49098636501,49994.59033096229,50155.6344505354
2025-06-20,51847.221958548536,49793.61022038619,49954.006936615355
2025-06-23,52379.81358364999,50305.106473900916,50467.15083767088
2025-06-24,53178.030726994526,51071.70710948954,51236.22087092044
2025-06-25,53314.35516113231,51202.6318819373,51367.567382291745
2025-06-26,53811.715852687295,51680.292660638814,51846.76681665683
2025-06-27,53995.7910982667,51857.07688712892,52024.12050596123
2025-06-30,54345.306110360325,52192.747991981516,52360.87288495148
2025-07-01,53886.265897947414,51751.889860167896,51918.59464729792
2025-07-02,54262.306553157156,52113.03595643323,52280.9040785306
2025-07-03,54794.967847878004,52624.59912002995,52794.115105200945
2025-07-07,54381.487424306906,52227.496203666946,52395.73302865036
2025-07-08,54412.271808750535,52257.06125232251,52425.39331315445
2025-07-09,54796.785552498106,52626.344827358706,52795.86643585611
2025-07-10,54718.13594271888,52550.81044257598,52720.08873737856
2025-07-11,54595.34631486748,52432.88437754539,52601.78280526251
2025-07-14,54793.432337546146,52623.1244295824,52792.63566443495
2025-07-15,54846.17639735262,52673.77935488473,52843.45376094828
2025-07-16,54902.32918501544,52727.70799206236,52897.55611471877
2025-07-17,55346.15402652161,53153.95341716443,53325.1745747583
2025-07-18,55293.39081181592,53103.280095667484,53274.338022791955
2025-07-21,55579.76581655076,53378.31209977425,53550.25596849085
2025-07-22,55292.180291697514,53102.117522926594,53273.17170513582
2025-07-23,55544.094814955424,53344.05398752614,53515.88750295274
2025-07-24,55662.343812568615,53457.61927171456,53629.818607144596
2025-07-25,55796.34859987144,53586.31627600068,53758.93017419859
2025-07-28,55970.62219550082,53753.687085171754,53926.84012339316
