datetime,equity
2025-01-02,49640.84988542725
2025-01-03,49860.73109354091
2025-01-06,48803.27648239295
2025-01-07,48558.76490401342
2025-01-08,48541.2242123196
2025-01-10,48541.2242123196
2025-01-13,48541.2242123196
2025-01-14,48541.2242123196
2025-01-15,48541.2242123196
2025-01-16,48541.2242123196
2025-01-17,48541.2242123196
2025-01-21,48541.2242123196
2025-01-22,48541.2242123196
2025-01-23,48593.54811754974
2025-01-24,48410.87351354855
2025-01-27,48684.76238062033
2025-01-28,48359.425218214834
2025-01-29,48386.5782985087
2025-01-30,48711.49085303827
2025-01-31,48675.04402651278
2025-02-03,48532.48498980557
2025-02-04,48657.93314926313
2025-02-05,48527.33703258721
2025-02-06,47140.692683232766
2025-02-07,46665.13646754366
2025-02-10,47004.60585944842
2025-02-11,46826.91683531244
2025-02-12,46608.123187931895
2025-02-13,46638.703818754584
2025-02-14,46351.90606184837
2025-02-18,46953.21549480177
2025-02-19,47265.97042806444
2025-02-20,47327.65828064569
2025-02-21,47393.79519496612
2025-02-24,47166.64760809292
2025-02-25,47400.89388233337
2025-02-26,47326.302924918906
2025-02-27,47431.4403087773
2025-02-28,47628.10242612211
2025-03-03,47531.52283493278
2025-03-04,47080.28375424043
2025-03-05,47263.62518997901
2025-03-06,47449.36501945721
2025-03-07,47815.482293986446
2025-03-10,47737.414276823016
2025-03-11,47152.74347416215
2025-03-12,46898.95635814861
2025-03-13,46937.989682635016
2025-03-14,47252.67857756806
2025-03-17,47360.934697192504
2025-03-18,47284.403462663904
2025-03-19,47162.0201337852
2025-03-20,47417.08281732295
2025-03-21,47331.455127182235
2025-03-24,47526.137667425464
2025-03-25,47556.8375652192
2025-03-26,47668.807379452424
2025-03-27,47786.24812004553
2025-03-28,46922.75995599148
2025-03-31,47236.83189480262
2025-04-01,47219.661747978236
2025-04-02,47767.7146699108
2025-04-03,45691.57041778276
2025-04-04,42177.17872924627
2025-04-07,42161.56282554152
2025-04-08,42161.56282554152
2025-04-09,42161.56282554152
2025-04-10,42161.56282554152
2025-04-11,42161.56282554152
2025-04-14,42161.56282554152
2025-04-15,42161.56282554152
2025-04-16,42161.56282554152
2025-04-17,42161.56282554152
2025-04-21,42161.56282554152
2025-04-22,42161.56282554152
2025-04-23,42161.56282554152
2025-04-24,42161.56282554152
2025-04-25,42161.56282554152
2025-04-28,42189.94705053327
2025-04-29,42636.445969339955
2025-04-30,42423.97384770959
2025-05-01,42472.37648929622
2025-05-02,43152.926699516756
2025-05-05,43178.296473910865
2025-05-06,42303.63884832801
2025-05-07,43244.0685412216
2025-05-08,43231.14524737079
2025-05-09,42926.87047941688
2025-05-12,44192.220217618145
2025-05-13,43967.15121076179
2025-05-14,43759.01307848176
2025-05-15,44786.40217514797
2025-05-16,45134.10912198187
2025-05-19,45555.13355738653
2025-05-20,45582.1742136275
2025-05-21,44934.64484933852
2025-05-22,45292.073846159605
2025-05-23,44971.14291283374
2025-05-27,45864.01551709603
2025-05-28,45489.34671778718
2025-05-29,45607.101169164314
2025-05-30,45906.81653311673
2025-06-02,45674.68826729871
2025-06-03,45928.68164809476
2025-06-04,46066.42537195719
2025-06-05,45908.463400693676
2025-06-06,46335.75135828336
2025-06-09,46001.44895688951
2025-06-10,45825.23656962318
2025-06-11,45736.08942305752
2025-06-12,45783.400003202565
2025-06-13,45426.30257407765
2025-06-16,45387.494413991924
2025-06-17,44920.84795659785
2025-06-18,44937.15292543433
2025-06-20,44925.165648038885
2025-06-23,45518.701512085594
2025-06-24,45491.0966857154
2025-06-25,44922.15938674793
2025-06-26,45848.50384412253
2025-06-27,46349.251045604586
2025-06-30,47165.45043143032
2025-07-01,48355.21002269337
2025-07-02,48455.01687091292
2025-07-03,48685.61607184931
2025-07-07,48472.742010583446
2025-07-08,48563.90167516931
2025-07-09,48346.68784345837
2025-07-10,47950.95655252189
2025-07-11,47784.073791957
2025-07-14,48214.710938064556
2025-07-15,47654.322372169416
2025-07-16,47974.113703754185
2025-07-17,48276.28397642753
2025-07-18,47909.284998602314
2025-07-21,47641.9334117219
2025-07-22,47917.489591051504
2025-07-23,48460.87593774466
2025-07-24,45446.04727724441
2025-07-25,45400.883203616955
2025-07-28,45384.573657495304
2025-07-29,45313.63124329122
2025-07-30,45328.230195853066
2025-07-31,45336.57661373953
2025-08-01,44953.4381285311
2025-08-04,45267.28020929415
2025-08-05,45295.334772730304
2025-08-06,45108.5079723715
2025-08-07,44837.69259009855
2025-08-08,44809.78748196715
2025-08-11,44824.28755743267
2025-08-12,44882.23876855962
2025-08-13,45164.14347228124
2025-08-14,45005.611242290404
2025-08-15,44975.075904845486
2025-08-18,44936.68571275697
2025-08-19,44972.019480040406
2025-08-20,44999.001336202906
2025-08-21,45042.77740342712
2025-08-22,45599.869623392646
2025-08-25,45372.148899663516
2025-08-26,45573.09943133686
2025-08-27,45438.81842530481
2025-08-28,45449.16061699491
2025-08-29,45259.02858810481
2025-09-02,45063.815718654754
2025-09-03,44690.408420722204
2025-09-04,44811.72121085841
2025-09-05,44716.89400709526
2025-09-08,44769.08983671104
2025-09-09,44711.83697726932
2025-09-10,44450.66048184635
2025-09-11,44829.2849065252
2025-09-12,44426.89812772379
2025-09-15,44456.317200229954
2025-09-16,44373.360527019024
2025-09-17,44450.13596022061
2025-09-18,44294.48254456509
2025-09-19,44207.80847085726
2025-09-22,44168.82762469864
2025-09-23,44201.609649656006
2025-09-24,44126.63758828907
2025-09-25,44031.62942114008
2025-09-26,44083.65118703565
2025-09-29,44199.578569570534
2025-09-30,44328.66769673373
2025-10-01,44294.97277920113
2025-10-02,44382.353233083595
2025-10-03,44176.1993025884
2025-10-06,44171.39484129381
2025-10-07,44169.344532697854
2025-10-08,44261.35800894376
2025-10-09,43669.07938787487
2025-10-10,43315.699554244726
2025-10-13,43530.89802432608
2025-10-14,44148.0217307209
2025-10-15,43502.03521302662
2025-10-16,43574.33743970121
2025-10-17,43551.81517075972
2025-10-20,43879.97417437897
2025-10-21,44204.59861092
2025-10-22,43944.648850076504
2025-10-23,45416.353418641054
2025-10-24,44476.26140695823
2025-10-27,44266.38537783498
2025-10-28,44130.44702741555
2025-10-29,43817.106824538765
2025-10-30,43701.2136408797
2025-10-31,43971.28950383807
2025-11-03,43193.77033999632
2025-11-04,42907.51500396833
2025-11-05,42891.907188423094
2025-11-06,42891.907188423094
2025-11-07,42891.907188423094
2025-11-10,42891.907188423094
2025-11-11,42891.907188423094
2025-11-12,43128.450425218885
2025-11-13,42759.996759832284
2025-11-14,42837.61220752991
2025-11-17,42198.294725226406
2025-11-18,41200.063959150844
2025-11-19,41185.0183836244
2025-11-20,41185.0183836244
2025-11-21,41222.85420390427
2025-11-24,41193.35530962198
2025-11-25,41244.72507244282
2025-11-26,41222.81322987292
2025-11-28,41270.54521158637
2025-12-01,41228.22909101186
2025-12-02,41351.62903744534
2025-12-03,41365.32527955847
2025-12-04,41312.298413397286
2025-12-05,41273.787733044366
2025-12-08,41313.24727755932
2025-12-09,41195.479694563975
2025-12-10,41318.31200030604
2025-12-11,41468.719715855346
2025-12-12,41445.17067927392
2025-12-15,41848.76206086429
2025-12-16,42011.78853398888
2025-12-17,42356.95114601303
2025-12-18,41976.13669294884
2025-12-19,42194.18779049431
2025-12-22,41524.60024796246
2025-12-23,41427.07454984293
2025-12-24,41730.097032962876
2025-12-26,41823.47164325645
2025-12-29,41764.13368296691
2025-12-30,41609.45578427895
2025-12-31,41340.34000708919
2026-01-02,41507.61833565641
2026-01-05,42612.09479386296
2026-01-06,43431.24405440242
