symbol,date,side,weight_from,weight_to,delta,price_open,notional_usd,cost_usd,equity_after_usd
BKNG,2025-01-02,BUY,0.0,1.0,1.0,197.2077,50000.0,18.27,49326.95
BKNG,2025-01-06,SELL,1.0,0.0,-1.0,195.3109,49113.08,17.98,49095.11
BKNG,2025-01-07,BUY,0.0,0.1,0.1,192.8902,4909.51,3.54,48977.4
BKNG,2025-01-08,BUY,0.1,0.2,0.1,190.025,4897.74,3.54,49129.38
BKNG,2025-01-10,BUY,0.2,0.3,0.1,190.0372,4912.94,3.54,48721.17
BKNG,2025-01-13,BUY,0.3,0.4,0.1,186.1284,4872.12,3.53,48819.13
BKNG,2025-01-14,BUY,0.4,0.5,0.1,188.9553,4881.91,3.53,48892.04
BKNG,2025-02-13,BUY,0.5,1.0,0.5,199.9259,25079.71,9.89,50059.65
BKNG,2025-03-10,SELL,1.0,0.0,-1.0,181.4758,46873.94,17.39,46856.54
BKNG,2025-03-26,BUY,0.0,1.0,1.0,189.1907,46856.54,17.25,46704.5
BKNG,2025-03-28,SELL,1.0,0.0,-1.0,188.1929,46593.78,17.17,46576.6
BKNG,2025-04-24,BUY,0.0,1.0,1.0,186.3445,46576.6,17.2,47519.76
BKNG,2025-08-04,SELL,1.0,0.0,-1.0,214.6647,53282.67,19.19,53263.48
BKNG,2025-08-05,BUY,0.0,0.1,0.1,218.311,5326.35,3.66,53242.31
BKNG,2025-08-06,BUY,0.1,0.2,0.1,217.1425,5324.23,3.66,53391.33
BKNG,2025-08-07,BUY,0.2,0.3,0.1,220.1384,5339.13,3.66,53087.04
BKNG,2025-08-08,BUY,0.3,0.4,0.1,216.3314,5308.7,3.66,52981.76
BKNG,2025-08-11,BUY,0.4,0.5,0.1,213.4684,5298.18,3.65,52773.59
BKNG,2025-08-20,BUY,0.5,1.0,0.5,221.487,26925.42,10.43,54377.46
BKNG,2025-09-03,SELL,1.0,0.0,-1.0,219.1412,53075.2,19.05,53056.15
BKNG,2025-09-17,BUY,0.0,0.1,0.1,218.286,5305.62,3.65,53128.55
BKNG,2025-09-18,BUY,0.1,0.2,0.1,220.7955,5312.85,3.66,52913.01
BKNG,2025-09-19,BUY,0.2,0.3,0.1,216.463,5291.3,3.65,52913.92
BKNG,2025-09-22,BUY,0.3,0.4,0.1,214.5575,5291.39,3.65,52961.42
BKNG,2025-09-23,BUY,0.4,0.5,0.1,215.5508,5296.14,3.65,53211.96
BKNG,2025-09-26,BUY,0.5,1.0,0.5,221.6478,26766.97,10.38,53257.51
BKNG,2025-09-30,SELL,1.0,0.0,-1.0,215.6302,52367.7,18.84,52348.86
BKNG,2025-10-01,BUY,0.0,0.1,0.1,212.6503,5234.89,3.63,52297.99
BKNG,2025-10-02,BUY,0.1,0.2,0.1,211.593,5229.8,3.63,52439.9
BKNG,2025-10-03,BUY,0.2,0.3,0.1,216.5231,5243.99,3.64,52417.84
BKNG,2025-10-06,BUY,0.3,0.4,0.1,213.2876,5241.78,3.64,52423.11
BKNG,2025-10-07,BUY,0.4,0.5,0.1,215.4403,5242.31,3.64,51559.7
BKNG,2025-12-03,BUY,0.5,1.0,0.5,202.3583,25569.29,10.04,50249.97
BKNG,2025-12-05,SELL,1.0,0.0,-1.0,200.462,50052.07,18.24,50033.83
BKNG,2025-12-08,BUY,0.0,1.0,1.0,206.5524,50033.83,18.13,49826.41
BKNG,2026-01-21,SELL,1.0,0.0,-1.0,199.4318,48382.09,17.64,48364.45
BKNG,2026-01-22,BUY,0.0,0.1,0.1,207.3211,4836.44,3.51,48349.49
BKNG,2026-01-23,BUY,0.1,0.2,0.1,201.7212,4834.95,3.51,48248.58
BKNG,2026-01-26,BUY,0.2,0.3,0.1,203.5759,4824.86,3.51,48270.05
BKNG,2026-01-27,BUY,0.3,0.4,0.1,203.3151,4827.01,3.51,48440.92
BKNG,2026-01-28,BUY,0.4,0.5,0.1,205.4708,4844.09,3.51,48117.5
BKNG,2026-04-07,BUY,0.5,1.0,0.5,173.9826,22519.48,9.13,44316.71
BKNG,2026-05-04,SELL,1.0,0.0,-1.0,169.5737,43477.79,16.35,43461.44
BKNG,2026-05-05,BUY,0.0,0.1,0.1,164.8356,4346.14,3.37,43511.99
BKNG,2026-05-06,BUY,0.1,0.2,0.1,172.7956,4351.2,3.37,43552.68
BKNG,2026-05-07,BUY,0.2,0.3,0.1,167.8281,4355.27,3.37,43779.15
BKNG,2026-05-08,BUY,0.3,0.4,0.1,168.7757,4377.92,3.38,43224.72
BKNG,2026-05-11,BUY,0.4,0.5,0.1,163.6885,4322.47,3.37,42153.36
BKNG,2026-06-16,BUY,0.5,1.0,0.5,175.72,22220.96,9.04,44707.66
