scheme,scheme_id,note,run,universe,months,eval_days,win_start,win_end,n_names,bench_ret,mean_ret,median_ret,mean_sharpe,mean_mdd,mean_vs_bench,pct_positive,pct_beat_bench,mean_trades,mean_exposure
S01_baseline,1,baseline,0,QQQ,1,21,2025-11-20,2025-12-19,30,0.053579682230214365,-0.0025981658611298236,0.0,-0.4326333420356103,-0.029087519582616315,-0.056177848091344185,0.23333333333333334,0.03333333333333333,0.9333333333333333,0.273015873015873
S01_baseline,1,baseline,1,SOX,3,63,2026-03-02,2026-05-29,30,0.6174710256930269,0.07107269349731554,0.018512677220694163,0.49967587965585436,-0.12716409760083672,-0.5463983321957113,0.5,0.0,2.8,0.37407407407407406
S01_baseline,1,baseline,2,SOX,5,105,2025-12-18,2026-05-20,30,0.7827370590814902,0.3449256099961028,0.2841926321895083,1.466652066395526,-0.15672608875228056,-0.4378114490853874,0.8333333333333334,0.1,4.333333333333333,0.46666666666666673
S01_baseline,1,baseline,3,QQQ,3,63,2026-04-13,2026-07-13,30,0.1540875915731792,0.02689276767008808,0.0,0.527257510660618,-0.0813702295040719,-0.1271948239030911,0.4,0.1,1.9666666666666666,0.2566137566137566
S01_baseline,1,baseline,4,QQQ,4,84,2026-03-16,2026-07-15,30,0.198298988307277,0.0647213311560114,0.018338226145071523,0.28223728074651877,-0.10395692597717293,-0.1335776571512656,0.5333333333333333,0.23333333333333334,3.2,0.2611111111111111
S01_baseline,1,baseline,5,QQQ,4,84,2026-03-31,2026-07-30,30,0.18559408841879899,0.054447005360576776,0.002917335567954593,0.4824667878622523,-0.10329351299604364,-0.13114708305822217,0.5333333333333333,0.16666666666666666,3.1666666666666665,0.2995238095238096
S01_baseline,1,baseline,6,SOX,4,84,2025-12-02,2026-04-02,30,0.12375222781732442,0.11648743530271898,0.05642585479034368,0.49136036836302033,-0.13653716495532445,-0.007264792514605452,0.6,0.4,3.1333333333333333,0.44682539682539685
S01_baseline,1,baseline,7,SOX,5,105,2026-02-12,2026-07-15,30,0.5814393888363869,0.19290419086767602,0.08989935343141164,0.9129715741332327,-0.12398855824927368,-0.3885351979687109,0.7,0.13333333333333333,3.433333333333333,0.2714285714285714
S01_baseline,1,baseline,8,QQQ,4,84,2026-03-26,2026-07-27,30,0.19010377870340256,0.12979351760561222,0.035784341489607074,0.710783642794225,-0.10307371879402186,-0.06031026109779036,0.5666666666666667,0.23333333333333334,2.4,0.3182539682539682
S01_baseline,1,baseline,9,QQQ,6,126,2025-12-12,2026-06-15,30,0.2155697721095251,0.13144129102602314,0.08312825666813262,0.42493661217655065,-0.12208362561029666,-0.08412848108350195,0.6,0.3,4.5,0.32380952380952377
S01_baseline,1,baseline,10,SOX,4,84,2025-12-18,2026-04-21,30,0.44144355724199347,0.2524064520145339,0.15256682856249004,1.457777916493445,-0.13522794778809846,-0.1890371052274596,0.7666666666666667,0.2,4.2,0.4166666666666667
S01_baseline,1,baseline,11,QQQ,1,21,2026-05-22,2026-06-23,30,-0.004328266317644047,-0.0025909540004527536,0.0,-0.40565643050478023,-0.047967500328286526,0.0017373123171912938,0.23333333333333334,0.6666666666666666,0.9333333333333333,0.29523809523809524
S01_baseline,1,baseline,12,QQQ,5,105,2026-02-03,2026-07-06,30,0.1751877418375951,0.0754245615408756,0.03463836844110346,0.5949944384720752,-0.0991268368363911,-0.09976318029671952,0.6,0.16666666666666666,3.4,0.2320634920634921
S01_baseline,1,baseline,13,QQQ,6,126,2026-01-05,2026-07-07,30,0.1506742303165851,0.1019694596916896,0.040506965683671514,0.47879483633954945,-0.1180649843949157,-0.04870477062489549,0.7333333333333333,0.23333333333333334,4.1,0.28042328042328035
S01_baseline,1,baseline,14,QQQ,6,126,2025-11-14,2026-05-18,30,0.16230450246980266,0.02865395868117876,0.025277995809467768,0.02011215544924784,-0.12813843071278544,-0.1336505437886239,0.5666666666666667,0.16666666666666666,4.566666666666666,0.29126984126984123
S01_baseline,1,baseline,15,SOX,6,126,2025-12-03,2026-06-04,30,0.9523368242325079,0.3155065811856385,0.22755139385175527,1.240102285756014,-0.16376734443905935,-0.6368302430468694,0.8,0.1,4.9,0.41296296296296303
S01_baseline,1,baseline,16,QQQ,3,63,2025-10-16,2026-01-15,30,0.037652509684045876,-0.01682149669954448,-0.012362739920691923,-0.6068464975822891,-0.08483460324042477,-0.05447400638359035,0.26666666666666666,0.23333333333333334,2.1666666666666665,0.3031746031746031
S01_baseline,1,baseline,17,QQQ,3,63,2025-12-26,2026-03-27,30,-0.09713353014174231,-0.018933258141576117,-0.013450156389382573,-0.6957411500461599,-0.09468679258832627,0.0782002720001662,0.36666666666666664,0.7333333333333333,2.7666666666666666,0.3185185185185185
S01_baseline,1,baseline,18,QQQ,3,63,2025-10-10,2026-01-09,30,0.0643890640324265,0.01604288275930983,0.004404527217044429,0.007426994984276355,-0.08062111219904344,-0.04834618127311667,0.5333333333333333,0.26666666666666666,2.8,0.35449735449735453
S01_baseline,1,baseline,19,QQQ,1,21,2026-04-10,2026-05-08,30,0.16390909869939163,0.06661983058460014,0.0,1.2744108478881688,-0.026840827249753573,-0.09728926811479151,0.3333333333333333,0.16666666666666666,0.7333333333333333,0.2253968253968254
S01_baseline,1,baseline,20,QQQ,5,105,2026-01-06,2026-06-05,30,0.1323810712644058,0.013820205051382954,-0.010196835297854145,-0.056238578606838986,-0.11957459730297562,-0.11856086621302285,0.4,0.2,3.066666666666667,0.2933333333333333
S01_baseline,1,baseline,21,QQQ,2,42,2026-04-10,2026-06-09,30,0.15834513324509358,0.0281542329121389,0.0,0.2525571967627926,-0.04045815463082968,-0.1301909003329547,0.26666666666666666,0.13333333333333333,0.8333333333333334,0.13968253968253966
S01_baseline,1,baseline,22,QQQ,1,21,2026-03-06,2026-04-06,30,-0.017520480139253114,-0.025840941376401336,0.0,-1.4988355305850258,-0.04612245892828862,-0.00832046123714822,0.06666666666666667,0.6,1.0333333333333334,0.2365079365079365
S01_baseline,1,baseline,23,QQQ,2,42,2025-12-05,2026-02-05,30,-0.04425522654567304,-0.016129399896433697,0.0,-0.5779278194887749,-0.0544138968837202,0.028125826649239346,0.16666666666666666,0.7666666666666667,1.2,0.30158730158730157
S01_baseline,1,baseline,24,SOX,3,63,2025-12-29,2026-03-30,30,0.015265534100073808,0.11941849915022047,0.06579135923838286,0.7789303594490812,-0.1246061740571056,0.10415296505014666,0.7,0.6,2.8666666666666667,0.4518518518518518
S01_baseline,1,baseline,25,QQQ,1,21,2026-06-23,2026-07-22,30,-0.011630419034791895,-0.0158599427348915,-0.00020000000000003348,-1.1575890798513568,-0.06094882607398562,-0.004229523700099606,0.16666666666666666,0.6,1.1333333333333333,0.3793650793650794
S01_baseline,1,baseline,26,SOX,2,42,2026-04-30,2026-06-30,30,0.3892690068984983,0.1256767130505462,0.023448543526668364,1.4662301684716563,-0.08515191165820159,-0.2635922938479521,0.6333333333333333,0.1,1.7333333333333334,0.3333333333333333
S01_baseline,1,baseline,27,QQQ,6,126,2026-01-26,2026-07-27,30,0.09316443448298051,0.07248155729325435,0.016131822717026956,0.44611490388028346,-0.10891200563397763,-0.020682877189726154,0.5333333333333333,0.3,3.066666666666667,0.19650793650793652
S01_baseline,1,baseline,28,QQQ,6,126,2025-10-28,2026-04-29,30,0.047932829404818245,0.017672605064302307,0.0,0.09070399887114346,-0.11796485094169198,-0.030260224340515937,0.4666666666666667,0.36666666666666664,5.166666666666667,0.2965608465608465
S01_baseline,1,baseline,29,SOX,6,126,2026-01-23,2026-07-24,30,0.5305187986610824,0.21824731302843575,0.06873270964527434,0.666473821447138,-0.140503761035764,-0.3122714856326468,0.6333333333333333,0.16666666666666666,4.2,0.2661375661375661
S01_baseline,1,baseline,30,SOX,4,84,2026-02-19,2026-06-18,30,0.7989765146119903,0.1505435120181911,0.052797165526344614,0.6874842797893269,-0.13483656720281803,-0.6484330025937992,0.5666666666666667,0.0,3.066666666666667,0.2908730158730159
S01_baseline,1,baseline,31,SOX,6,126,2025-10-20,2026-04-21,30,0.43897314691265166,0.16180578282132763,0.061691480158571066,0.546415014126697,-0.16316699191992245,-0.277167364091324,0.6,0.13333333333333333,4.766666666666667,0.3362433862433863
S01_baseline,1,baseline,32,QQQ,1,21,2026-05-20,2026-06-18,30,0.03851920725354496,0.03488758295763773,0.0,0.6638609779841709,-0.04938107209500587,-0.0036316242959072284,0.3,0.23333333333333334,0.8666666666666667,0.2523809523809524
S01_baseline,1,baseline,33,QQQ,1,21,2026-05-12,2026-06-10,30,-0.019158941484444525,0.016485414010803032,0.0,0.38500256444204817,-0.04908396045368937,0.03564435549524756,0.26666666666666666,0.8333333333333334,0.6666666666666666,0.30158730158730157
S01_baseline,1,baseline,34,QQQ,3,63,2025-10-13,2026-01-12,30,0.043135568945508185,0.004785600859505061,-0.004163145726874928,0.0705558261319294,-0.08868172021578459,-0.03834996808600312,0.36666666666666664,0.3,2.6333333333333333,0.3465608465608466
S01_baseline,1,baseline,35,QQQ,5,105,2026-03-02,2026-07-30,30,0.12674771519668493,0.03287330144006596,0.0,0.08223524972484896,-0.1158653522626168,-0.09387441375661898,0.4666666666666667,0.16666666666666666,3.2,0.26791666666666664
S01_baseline,1,baseline,36,SOX,5,105,2025-11-18,2026-04-21,30,0.522044868823031,0.14842229447757624,0.06011017809408448,0.6570834310534616,-0.14551669195504785,-0.3736225743454547,0.6,0.1,4.133333333333334,0.38031746031746033
S01_baseline,1,baseline,37,SOX,4,84,2026-03-24,2026-07-23,30,0.6172124170679847,0.19613987603904937,0.14597027307135235,1.3576376663978467,-0.1120895450319128,-0.4210725410289354,0.7333333333333333,0.03333333333333333,2.3,0.3214285714285715
S01_baseline,1,baseline,38,QQQ,3,63,2025-10-20,2026-01-20,30,-0.0044093933230131555,0.00971999196647459,0.0,-0.09873272324216137,-0.06478614425583752,0.014129385289487746,0.43333333333333335,0.5333333333333333,2.1333333333333333,0.30423280423280424
S01_baseline,1,baseline,39,QQQ,1,21,2025-12-09,2026-01-08,30,-0.006048386306410247,0.018534439101187614,0.0,0.33053808132799145,-0.03236198017431313,0.02458282540759786,0.36666666666666664,0.8,0.7333333333333333,0.4492063492063492
S01_baseline,1,baseline,40,QQQ,4,84,2025-12-31,2026-05-01,30,0.0987939124472359,0.03345095784546451,0.0,-0.05374693567939661,-0.11764808602137257,-0.06534295460177139,0.43333333333333335,0.26666666666666666,3.033333333333333,0.2880952380952381
S01_baseline,1,baseline,41,QQQ,3,63,2025-11-18,2026-02-19,30,0.013310957671084811,0.04116719249947279,0.014314968148601781,0.23561199127589574,-0.09031665959097725,0.02785623482838799,0.5666666666666667,0.5,3.1666666666666665,0.43650793650793657
S01_baseline,1,baseline,42,SOX,1,21,2026-04-15,2026-05-13,30,0.31461207190634655,0.10091888820961073,0.06921067865160002,2.201929385610714,-0.062264762127118164,-0.21369318369673587,0.6,0.06666666666666667,0.9,0.5746031746031746
S01_baseline,1,baseline,43,SOX,6,126,2026-02-03,2026-08-04,30,0.570424974009125,0.14314550313313704,0.05951244886538487,0.5636701704661725,-0.13456369330832654,-0.4272794708759879,0.6333333333333333,0.06666666666666667,3.8666666666666667,0.23439153439153443
S01_baseline,1,baseline,44,QQQ,3,63,2026-03-03,2026-06-01,30,0.23620562778575316,-0.0029451005957119468,-0.03726498807307155,-0.752151855185868,-0.09027402860182886,-0.23915072838146514,0.2,0.1,2.033333333333333,0.25925925925925924
S01_baseline,1,baseline,45,SOX,1,21,2026-05-12,2026-06-10,30,0.04945841800328932,0.032015975015916597,0.0,-0.013681769188679424,-0.07991639171532665,-0.017442442987372724,0.4,0.23333333333333334,1.0666666666666667,0.3952380952380952
S01_baseline,1,baseline,46,QQQ,3,63,2026-01-21,2026-04-21,30,0.04683329650346568,-0.00736549893223339,0.0,-0.19314774657844713,-0.07912004914817443,-0.054198795435699075,0.26666666666666666,0.2,2.3,0.2423280423280423
S01_baseline,1,baseline,47,QQQ,3,63,2025-12-09,2026-03-11,30,-0.02652116695094686,0.0275491082154776,0.0,-0.0010696428298146506,-0.09292454208911526,0.054070275166424465,0.43333333333333335,0.6666666666666666,2.4,0.36825396825396817
S01_baseline,1,baseline,48,SOX,1,21,2026-04-17,2026-05-15,30,0.22325654840946219,0.0811634157252362,0.04909550061427859,1.9480473117177957,-0.08255912820480975,-0.142093132684226,0.6666666666666666,0.16666666666666666,1.2333333333333334,0.6222222222222221
S01_baseline,1,baseline,49,SOX,3,63,2025-12-29,2026-03-30,30,0.015265534100073808,0.11784457357618479,0.08315493033077848,0.7336692619604481,-0.1320364570991843,0.10257903947611098,0.6333333333333333,0.5666666666666667,3.033333333333333,0.4677248677248676
S01_baseline,1,baseline,50,SOX,4,84,2026-02-19,2026-06-18,30,0.7989765146119903,0.16535712927539786,0.05915809190257537,0.654009158324534,-0.13036773076142724,-0.6336193853365925,0.5666666666666667,0.03333333333333333,3.3666666666666667,0.3194444444444444
S01_baseline,1,baseline,51,SOX,3,63,2026-02-02,2026-05-01,30,0.32137839226606824,0.09954711647354827,0.0075075463934182185,1.0101993705100545,-0.12678051787240177,-0.22183127579251996,0.5333333333333333,0.2,2.933333333333333,0.34391534391534395
S01_baseline,1,baseline,52,SOX,1,21,2025-10-28,2025-11-25,29,-0.06854981874254262,-0.004331235007990142,0.0,-0.4085606076254358,-0.05238292857169984,0.06421858373455248,0.10344827586206896,0.8275862068965517,0.7931034482758621,0.25123152709359603
S01_baseline,1,baseline,53,SOX,5,105,2026-01-30,2026-07-01,30,0.7336254149468011,0.19068892960727413,0.06998917580322506,0.7143856926087776,-0.1248718630286548,-0.542936485339527,0.6666666666666666,0.1,3.6,0.2796825396825397
S01_baseline,1,baseline,54,SOX,3,63,2026-04-07,2026-07-07,30,0.5871635017095274,0.19231966461273892,0.10863421714126353,1.4143135587466278,-0.10629721042746502,-0.3948438370967884,0.6,0.03333333333333333,2.0,0.32539682539682535
S01_baseline,1,baseline,55,QQQ,4,84,2025-11-17,2026-03-19,30,-0.01636005142895991,-0.02559065292953433,-0.011773497575040814,-0.44872996754089056,-0.1010278915280052,-0.00923060150057442,0.3333333333333333,0.5,2.966666666666667,0.2924603174603174
S01_baseline,1,baseline,56,QQQ,1,21,2026-02-13,2026-03-16,30,-0.0025583859533216957,-0.015025252448434312,0.0,-1.0584577185223414,-0.035727803625106996,-0.012466866495112616,0.06666666666666667,0.5333333333333333,0.8666666666666667,0.2920634920634921
S01_baseline,1,baseline,57,SOX,2,42,2026-06-04,2026-08-04,30,-0.09996760982493191,-0.04445264174187966,-0.00019999999999997797,-0.5095070496584684,-0.08945417312587778,0.055514968083052244,0.16666666666666666,0.7333333333333333,1.5666666666666667,0.17301587301587298
S01_baseline,1,baseline,58,SOX,3,63,2025-12-17,2026-03-19,30,0.19345648012704064,0.16754835342953445,0.1252081274222434,1.0357508710847003,-0.10841399792334135,-0.0259081266975062,0.7333333333333333,0.26666666666666666,2.533333333333333,0.4931216931216931
S01_baseline,1,baseline,59,SOX,3,63,2025-10-30,2026-01-30,30,0.13554688673971715,0.1018936015318362,0.06576587042210458,0.9853004772315329,-0.08119537441962234,-0.03365328520788095,0.6333333333333333,0.3,1.9666666666666666,0.35714285714285715
S01_baseline,1,baseline,60,SOX,5,105,2025-12-24,2026-05-27,30,0.8433638259991032,0.32086104032346113,0.233202965625125,1.3373671979673187,-0.15460556538430856,-0.5225027856756421,0.8,0.06666666666666667,4.533333333333333,0.41777777777777775
S01_baseline,1,baseline,61,QQQ,6,126,2025-11-14,2026-05-18,30,0.16230450246980266,0.07777540635446582,0.04130763124968295,0.41062469487442815,-0.13788850063319336,-0.0845290961153368,0.6,0.26666666666666666,4.533333333333333,0.344973544973545
S01_baseline,1,baseline,62,SOX,1,21,2025-10-22,2025-11-19,29,-0.008869215654012219,0.023674068615218192,0.0,-0.06792217581336465,-0.053281586121088166,0.032543284269230414,0.20689655172413793,0.7931034482758621,0.7586206896551724,0.31362889983579645
S01_baseline,1,baseline,63,SOX,5,105,2026-01-27,2026-06-26,30,0.682191476610537,0.17051604160461692,0.05915809190257537,0.6551181572702499,-0.1418820615817878,-0.5116754350059202,0.6,0.1,4.233333333333333,0.293015873015873
S01_baseline,1,baseline,64,SOX,2,42,2026-06-01,2026-07-30,30,-0.1174276400101516,0.0009466817592203174,0.0,-0.0036495556970658058,-0.0828251886375301,0.11837432176937195,0.3,0.9,1.4,0.17698412698412697
S01_baseline,1,baseline,65,SOX,2,42,2025-11-13,2026-01-14,30,0.14861522423376083,0.04544974348360733,0.004268602779673003,0.5546729428973768,-0.06805637343507641,-0.10316548075015348,0.5,0.2,1.4333333333333333,0.3619047619047619
S01_baseline,1,baseline,66,QQQ,4,84,2026-01-05,2026-05-05,30,0.10433740383412182,0.06181594371943007,0.005540943822665123,0.3542915768225962,-0.10080412181074869,-0.04252146011469175,0.5333333333333333,0.3,2.966666666666667,0.23888888888888893
S01_baseline,1,baseline,67,SOX,3,63,2025-10-08,2026-01-07,30,0.11602532027090895,0.07090738154617846,0.03493888507979037,0.6925957558219583,-0.10943602714638005,-0.045117938724730494,0.6,0.3,2.8,0.36931216931216926
S01_baseline,1,baseline,68,QQQ,3,63,2026-03-12,2026-06-10,30,0.16291853197597006,0.01706732415762706,-0.0031469580170758737,-0.5373875889597365,-0.10128491525043432,-0.145851207818343,0.3,0.16666666666666666,2.0,0.27195767195767195
S01_baseline,1,baseline,69,SOX,3,63,2026-02-10,2026-05-11,30,0.5169115193757234,0.15868625358558777,0.08258080106336152,1.1221375687949444,-0.12153385196728221,-0.3582252657901356,0.6333333333333333,0.13333333333333333,2.8333333333333335,0.33968253968253964
S01_baseline,1,baseline,70,SOX,2,42,2026-04-20,2026-06-17,30,0.4369890603712372,0.11068808060592689,0.048439671069450574,1.3411464185776616,-0.08923864576856665,-0.3263009797653103,0.6333333333333333,0.0,1.8,0.342063492063492
S01_baseline,1,baseline,71,QQQ,4,84,2025-11-25,2026-03-27,30,-0.07369946136455985,-0.007829760542095898,0.0,-0.29644436535713614,-0.08132348777470999,0.06586970082246395,0.36666666666666664,0.7666666666666667,2.6666666666666665,0.2837301587301587
S01_baseline,1,baseline,72,QQQ,1,21,2026-07-06,2026-08-03,29,-0.03147394893538902,0.008827728205730342,0.0,0.07053523097735694,-0.059732330822082604,0.04030167714111936,0.41379310344827586,0.7241379310344828,1.1379310344827587,0.4351395730706075
S01_baseline,1,baseline,73,SOX,1,21,2025-11-21,2025-12-22,29,0.12352831263385533,0.00036769828361030827,0.0,0.1010947577866095,-0.06306540606008823,-0.12316061435024502,0.3793103448275862,0.06896551724137931,0.9655172413793104,0.3563218390804598
S01_baseline,1,baseline,74,SOX,5,105,2025-11-20,2026-04-23,30,0.6483335132629424,0.2180305262484831,0.1351080918537918,0.9063703318457971,-0.13355743697988884,-0.4303029870144594,0.6666666666666666,0.13333333333333333,3.8333333333333335,0.3628571428571429
S01_baseline,1,baseline,75,QQQ,5,105,2026-02-13,2026-07-16,30,0.17558307182151967,0.032323562116856074,-0.005616810108918124,0.24239043131851282,-0.09732245868461362,-0.14325950970466358,0.43333333333333335,0.1,2.966666666666667,0.24825396825396825
S01_baseline,1,baseline,76,QQQ,5,105,2025-11-06,2026-04-09,30,0.00012518616434498142,-0.006848236477817334,-0.009249808605778675,-0.3159352828463202,-0.11135983608032642,-0.0069734226421623155,0.4,0.4,3.9,0.3104761904761905
S01_baseline,1,baseline,77,SOX,1,21,2025-11-19,2025-12-18,30,0.038556640839108036,-0.032972589214970725,-0.026733757510488176,-1.5163285850511086,-0.06954678366295648,-0.07152923005407877,0.13333333333333333,0.06666666666666667,1.0333333333333334,0.3238095238095238
S01_baseline,1,baseline,78,SOX,5,105,2026-01-06,2026-06-05,30,0.644899105329503,0.24005920167635927,0.1288659702087267,1.200330858917209,-0.15271698747101933,-0.40483990365314365,0.7333333333333333,0.13333333333333333,3.8333333333333335,0.40571428571428575
S01_baseline,1,baseline,79,QQQ,4,84,2025-10-23,2026-02-24,30,-0.00315580813168137,-0.012762800029496982,0.0,-0.3363590799868109,-0.097652755678892,-0.009606991897815612,0.36666666666666664,0.5333333333333333,2.9,0.282936507936508
S01_baseline,1,baseline,80,QQQ,3,63,2026-05-05,2026-08-04,30,0.06313795697250413,0.034505767922562804,0.0,0.46707599574079484,-0.1154350535075149,-0.02863218904994132,0.4666666666666667,0.2,2.4,0.3648656898656898
S01_baseline,1,baseline,81,QQQ,3,63,2026-05-01,2026-07-31,30,0.021651026375153704,0.051796334853665124,0.0009766642650664847,0.49847524982103597,-0.08055656092603689,0.030145308478511417,0.5,0.4,1.9333333333333333,0.25555555555555554
S01_baseline,1,baseline,82,SOX,1,21,2026-01-12,2026-02-10,30,0.0638111573646396,0.026778691399384453,0.001724763312067945,0.815774762617946,-0.06312614438128245,-0.03703246596525514,0.5,0.26666666666666666,1.4,0.45873015873015877
S01_baseline,1,baseline,83,SOX,2,42,2026-04-29,2026-06-29,30,0.3659008759031672,0.16354545137720866,0.04075592648560222,1.5015331803872136,-0.06872573861630947,-0.20235542452595862,0.6666666666666666,0.2,1.6333333333333333,0.35238095238095235
S01_baseline,1,baseline,84,QQQ,4,84,2025-09-29,2026-01-28,30,0.05896781537670104,0.02726519694236367,-0.006725459668476763,-0.0022247751086694302,-0.0725674977234163,-0.03170261843433737,0.3,0.2,2.5,0.2920634920634921
S01_baseline,1,baseline,85,SOX,5,105,2026-02-27,2026-07-29,30,0.32137568720837417,0.16144759623432534,0.20029407634465246,0.5616387546406736,-0.14864427530419047,-0.15992809097404884,0.6,0.3,3.8,0.2546031746031746
S01_baseline,1,baseline,86,QQQ,2,42,2026-03-11,2026-05-08,30,0.17185871894096194,0.014350169686546344,-0.00020000000000003348,-0.3611563132698848,-0.058937436815408646,-0.1575085492544156,0.3333333333333333,0.1,1.5,0.226984126984127
S01_baseline,1,baseline,87,QQQ,3,63,2025-10-24,2026-01-26,30,0.014853128471267407,-0.016076481245441993,0.0,-0.429351568756481,-0.06958262597373457,-0.0309296097167094,0.36666666666666664,0.3333333333333333,2.3333333333333335,0.2899470899470899
S01_baseline,1,baseline,88,QQQ,2,42,2025-10-27,2025-12-24,30,-0.005343515024027634,0.0024984585880245434,0.0,0.14739765595171467,-0.06400524433072989,0.007841973612052178,0.3333333333333333,0.6666666666666666,1.9,0.3595238095238095
S01_baseline,1,baseline,89,SOX,5,105,2026-02-25,2026-07-27,30,0.40432970743629215,0.11994711566584283,0.06885032306076289,0.49613656761078634,-0.14250034768056377,-0.2843825917704493,0.5666666666666667,0.1,3.3,0.2530158730158731
S01_baseline,1,baseline,90,QQQ,1,21,2025-12-16,2026-01-15,30,0.017705218899959796,0.006442589447061731,0.0,0.0999473234746041,-0.028681584326777372,-0.011262629452898066,0.26666666666666666,0.23333333333333334,0.7333333333333333,0.3539682539682539
S01_baseline,1,baseline,91,QQQ,4,84,2025-10-01,2026-01-30,30,0.03219429313126332,0.017233799733156883,0.0,0.17657525884522188,-0.09700952724902637,-0.014960493398106433,0.43333333333333335,0.4,3.6333333333333333,0.36626984126984125
