run,n_full_trades,pct_lose_money,pct_lose_vs_bench,mean_trade_ret
0,41,0.2926829268292683,0.4878048780487805,0.14120787663506848
1,36,0.3055555555555556,0.5,0.10454435056391564
2,1,1.0,0.0,-0.08026032475907285
3,49,0.2857142857142857,0.5102040816326531,0.10284711309995159
4,21,0.42857142857142855,0.47619047619047616,0.021820006720790493
5,48,0.4166666666666667,0.4375,0.06929510506817327
6,16,0.5625,0.8125,-0.013752623186753507
7,37,0.3783783783783784,0.43243243243243246,0.06805006129947123
8,24,0.375,0.5416666666666666,0.047312888863148106
9,2,0.5,1.0,-0.08612065128221763
10,33,0.42424242424242425,0.48484848484848486,0.04153492080179244
11,52,0.2692307692307692,0.4807692307692308,0.14287522979173345
12,21,0.23809523809523808,0.5238095238095238,0.14073326818484122
13,35,0.5428571428571428,0.5714285714285714,-0.010148264680592458
14,24,0.6666666666666666,0.5416666666666666,-0.020925802227328778
15,18,0.2777777777777778,0.3888888888888889,0.171658110673996
16,30,0.36666666666666664,0.5,0.09723508467616701
17,26,0.34615384615384615,0.5384615384615384,0.08035907278686658
18,27,0.2962962962962963,0.7037037037037037,0.08157380378683193
19,20,0.4,0.55,0.05778352217683145
20,21,0.5714285714285714,0.38095238095238093,0.024263277703414795
21,9,0.5555555555555556,0.4444444444444444,-0.04540799908310982
22,38,0.42105263157894735,0.5263157894736842,0.009809974088243795
23,29,0.41379310344827586,0.5862068965517241,0.03579956097116934
24,41,0.5853658536585366,0.6097560975609756,0.028178572560276987
25,20,0.4,0.6,0.09091098290197774
26,22,0.2727272727272727,0.45454545454545453,0.11047033999905519
27,11,0.45454545454545453,0.5454545454545454,-0.01013320827959887
28,43,0.627906976744186,0.5813953488372093,0.002669805547542946
29,18,0.3888888888888889,0.2777777777777778,0.044481740892361184
30,3,0.6666666666666666,0.3333333333333333,-0.014291160617683577
31,5,0.8,0.6,-0.0038120118332839238
32,34,0.4117647058823529,0.5294117647058824,0.036410563766219095
33,19,0.15789473684210525,0.47368421052631576,0.16776513090750025
34,50,0.28,0.44,0.14887939806228984
35,3,0.3333333333333333,0.6666666666666666,0.08681732926725545
36,24,0.5,0.5416666666666666,0.024338966094013384
37,40,0.65,0.625,-0.002816465251918343
38,25,0.36,0.48,0.1327156344003317
39,53,0.2641509433962264,0.4339622641509434,0.12880728704095812
40,22,0.3181818181818182,0.5,0.1548686090849827
41,41,0.6097560975609756,0.5853658536585366,-0.011047085245820681
42,62,0.2903225806451613,0.5,0.09983886422451395
43,60,0.5166666666666667,0.5333333333333333,0.010821574287778883
44,48,0.5625,0.5416666666666666,0.0007127948615347791
45,29,0.6551724137931034,0.6206896551724138,-0.013083499686044926
46,56,0.48214285714285715,0.5,0.025287862975915825
47,40,0.5,0.525,0.028743946283170296
48,33,0.3939393939393939,0.6363636363636364,0.072034979038061
49,30,0.5333333333333333,0.5666666666666667,0.0060927895861254576
50,44,0.6136363636363636,0.5681818181818182,-0.0004341437382459623
51,38,0.5789473684210527,0.5263157894736842,0.026996579873327514
52,25,0.44,0.48,0.03762594758476536
53,7,0.42857142857142855,0.5714285714285714,-0.009494849088275168
54,4,1.0,0.75,-0.054587586054228254
55,44,0.29545454545454547,0.3181818181818182,0.10170713422382217
56,10,0.5,0.4,0.014688354572745078
57,29,0.20689655172413793,0.5517241379310345,0.12752480832150143
58,42,0.5714285714285714,0.5,0.003917277699127205
59,10,0.6,0.4,-0.009244019758311984
60,37,0.5135135135135135,0.6486486486486487,-0.0051078421744234865
61,21,0.42857142857142855,0.47619047619047616,0.012799310083022639
62,9,0.2222222222222222,0.1111111111111111,0.027498146382427202
63,29,0.20689655172413793,0.4482758620689655,0.13329640756077116
64,25,0.36,0.52,0.1497893950980558
65,48,0.2916666666666667,0.4166666666666667,0.10477539617746817
66,22,0.6363636363636364,0.5,-0.008592870464453839
67,36,0.2222222222222222,0.5277777777777778,0.08696906970754575
68,16,0.375,0.3125,0.07512378736000923
69,46,0.2826086956521739,0.5217391304347826,0.08444544541662294
70,38,0.2894736842105263,0.5526315789473685,0.09461370447883896
71,27,0.4444444444444444,0.4444444444444444,0.03983657722616115
72,16,0.625,0.625,-0.016001211517680955
73,23,0.21739130434782608,0.5217391304347826,0.1359136254809972
74,28,0.5714285714285714,0.42857142857142855,-0.005291983184243783
75,44,0.5227272727272727,0.5227272727272727,0.027977339983700254
