month,equity_end,pnl_usd,ret
2025-01,47540.85,-2459.15,-0.04918293790399997
2025-02,44772.55,-2768.3,-0.05822987891903231
2025-03,44772.55,0.0,0.0
2025-04,44772.55,0.0,0.0
2025-05,53270.35,8497.79,0.18979910549855705
2025-06,51965.31,-1305.04,-0.02449834261900008
2025-07,50056.4,-1908.91,-0.03673425004404285
2025-08,47713.27,-2343.13,-0.046809870740352366
2025-09,61516.4,13803.13,0.28929339511571883
2025-10,60383.91,-1132.49,-0.01840956431593288
2025-11,57269.93,-3113.99,-0.05156979244326809
2025-12,59799.08,2529.15,0.04416195444788551
2026-01,58357.76,-1441.32,-0.02410267656445486
2026-02,58367.77,10.0,0.00017141583994417786
2026-03,58367.77,0.0,0.0
2026-04,62639.34,4271.58,0.07318386144280331
2026-05,61217.96,-1421.39,-0.02269163231387794
2026-06,78561.26,17343.3,0.28330413845888947
2026-07,73010.82,-5550.44,-0.07065111106451682
2026-08,71676.7,-1334.11,-0.018272827200999764
