scheme_id,scheme,note,n_runs,s12_mean_ret,dip_mean_ret,dip_minus_s12,pct_dip_beat_s12,s12_mean_mdd,dip_mean_mdd,mdd_delta_dip_minus_s12,s12_mean_exposure,dip_mean_exposure,s12_vs_bench,dip_vs_bench,s12_pct_runs_pos,dip_pct_runs_pos
8,D08_third_w33,third_probe_w33,100,0.04389267144676162,0.06945723052250155,0.025564559075739936,0.75,-0.11823081258798686,-0.13626098961079325,-0.018030177022806414,0.27712957455941856,0.4088709824033991,-0.14419734334929435,-0.11863278427355439,0.72,0.78
14,D14_dip12_w33,dip12_w33,100,0.04389267144676162,0.0689542597435214,0.02506158829675977,0.74,-0.11823081258798686,-0.1379507269304643,-0.01971991434247747,0.27712957455941856,0.40932458776086766,-0.14419734334929435,-0.11913575505253457,0.72,0.79
12,D12_loose_stop20,loose_stop20,100,0.04389267144676162,0.06632928572978164,0.02243661428302,0.78,-0.11823081258798686,-0.13307769780478187,-0.014846885216795048,0.27712957455941856,0.39764943270672953,-0.14419734334929435,-0.12176072906627432,0.72,0.78
9,D09_lb40,dd_lookback40,100,0.04389267144676162,0.06547956920488698,0.021586897758125338,0.78,-0.11823081258798686,-0.13048518951619223,-0.012254376928205371,0.27712957455941856,0.38262592709091076,-0.14419734334929435,-0.12261044559116901,0.72,0.79
18,D18_rs8,rs_thr08,100,0.0372037082341196,0.05782985679404953,0.020626148559929936,0.79,-0.10104593657076237,-0.11807338910779787,-0.017027452537035494,0.21736973653968722,0.3320840339136932,-0.15088630656193633,-0.13026015800200644,0.74,0.77
1,D01_baseline,baseline_dip10_w25,100,0.04389267144676162,0.06312275461456322,0.019230083167801584,0.76,-0.11823081258798686,-0.1302489442166567,-0.012018131628669831,0.27712957455941856,0.3769336714109189,-0.14419734334929435,-0.12496726018149276,0.72,0.76
17,D17_rs3,rs_thr03,100,0.04615546197338861,0.06521657835900652,0.019061116385617912,0.75,-0.12607388799202274,-0.1362733317271854,-0.010199443735162636,0.31004551569728084,0.40371590213555514,-0.14193455282266734,-0.12287343643704944,0.7,0.76
10,D10_lb90,dd_lookback90,100,0.04389267144676162,0.06247857677592873,0.018585905329167117,0.76,-0.11823081258798686,-0.12954418645423724,-0.011313373866250385,0.27712957455941856,0.37426938887565947,-0.14419734334929435,-0.1256114380201272,0.72,0.76
3,D03_dip08,dip08,100,0.04389267144676162,0.06197142807051929,0.01807875662375765,0.71,-0.11823081258798686,-0.13085775064128607,-0.012626938053299216,0.27712957455941856,0.3830507644521294,-0.14419734334929435,-0.12611858672553666,0.72,0.75
5,D05_deep15,deep_dip15,100,0.04389267144676162,0.06131528006348739,0.017422608616725756,0.76,-0.11823081258798686,-0.12948391899429246,-0.011253106406305629,0.27712957455941856,0.35928737541080535,-0.14419734334929435,-0.1267747347325686,0.72,0.78
2,D02_shallow06,shallow_dip06,100,0.04389267144676162,0.060981224174073013,0.017088552727311388,0.71,-0.11823081258798686,-0.1311596337613422,-0.012928821173355374,0.27712957455941856,0.38701123884477745,-0.14419734334929435,-0.12710879062198294,0.72,0.73
11,D11_tight_stop08,tight_stop08,100,0.04389267144676162,0.06077310712755064,0.016880435680789004,0.81,-0.11823081258798686,-0.1289880518445957,-0.010757239256608821,0.27712957455941856,0.36241733629101247,-0.14419734334929435,-0.1273169076685053,0.72,0.76
15,D15_dip15_lb90,dip15_lb90,100,0.04389267144676162,0.06075800137953403,0.0168653299327724,0.74,-0.11823081258798686,-0.13046113425220832,-0.012230321664221491,0.27712957455941856,0.36401795490284816,-0.14419734334929435,-0.12733201341652192,0.72,0.77
19,D19_fast_ma,ma5_20_dip10,100,0.03326794021877421,0.050066418511856794,0.016798478293082585,0.75,-0.1031041062611947,-0.11773977249555688,-0.014635666234362162,0.21118531422205483,0.31435580796727147,-0.15482207457728175,-0.13802359628419913,0.68,0.72
4,D04_dip12,dip12,100,0.04389267144676162,0.060668860654258555,0.016776189207496916,0.74,-0.11823081258798686,-0.13049351695842837,-0.012262704370441531,0.27712957455941856,0.37005429816678787,-0.14419734334929435,-0.1274211541417974,0.72,0.78
7,D07_light_w20,light_probe_w20,100,0.04389267144676162,0.05920823222308047,0.015315560776318847,0.76,-0.11823081258798686,-0.12694861745144484,-0.00871780486345802,0.27712957455941856,0.35697285204061885,-0.14419734334929435,-0.12888178257297547,0.72,0.75
16,D16_s12_vol175,s12_like_s14_vol175,100,0.06542420029340675,0.08013747260598178,0.014713272312575016,0.74,-0.14864924612975297,-0.1562699528512539,-0.007620706721500932,0.3827615657315986,0.4688462956792494,-0.12266581450264921,-0.10795254219007416,0.68,0.7
6,D06_very_deep20,very_deep20,100,0.04389267144676162,0.05799671525538488,0.014104043808623243,0.76,-0.11823081258798686,-0.12756210110012747,-0.009331288512140646,0.27712957455941856,0.34239109935365064,-0.14419734334929435,-0.1300932995406711,0.72,0.77
13,D13_dip08_w20,dip08_w20,100,0.04389267144676162,0.05712352526255977,0.013230853815798128,0.72,-0.11823081258798686,-0.1272850885729181,-0.009054275984931269,0.27712957455941856,0.3563409011650638,-0.14419734334929435,-0.13096648953349618,0.72,0.76
20,D20_conserv,dip12_w20_stop08,100,0.04389267144676162,0.05705082910610267,0.013158157659341045,0.78,-0.11823081258798686,-0.12573880892018927,-0.007507996332202425,0.27712957455941856,0.34170025327558173,-0.14419734334929435,-0.13103918568995326,0.72,0.76
