scheme_id,scheme,note,n_runs,mean_ret,std_ret,p10_ret,p50_ret,p90_ret,mean_sharpe,mean_mdd,mean_vs_bench,pct_beat_bench,pct_positive,pct_runs_pos,mean_months,pct_universe_qqq,mean_exposure,mean_trades
16,D16_s12_vol175,s12_like_s14_vol175,100,0.07869243852931679,0.14974193088930407,-0.05264040036700558,0.038947306385885644,0.24950529560030163,0.17144342183095343,-0.15603008095491483,-0.10939753908852352,0.28545977011494256,0.5035057471264368,0.71,6.4,0.51,0.4688409972052213,6.072735632183909
14,D14_dip12_w33,dip12_w33,100,0.0688365126284217,0.11467383824189907,-0.03219226041878843,0.04048790935642201,0.21525233669026023,0.24343464762412073,-0.13654361112160582,-0.11925346498941863,0.2794942528735633,0.5280344827586206,0.77,6.4,0.51,0.4063949448042075,5.821137931034483
8,D08_third_w33,third_probe_w33,100,0.06854387440770486,0.11410191669544185,-0.03292001286048857,0.039552414731864695,0.19957887813274613,0.2199970831003351,-0.1352521574568165,-0.1195461032101355,0.2829195402298851,0.5200459770114942,0.79,6.4,0.51,0.4058429651732747,6.1276896551724125
12,D12_loose_stop20,loose_stop20,100,0.06595448089630268,0.10828214265354907,-0.02996502197391549,0.03979125577076881,0.21252336935254468,0.2541183027117979,-0.13204983357785158,-0.12213549672153766,0.2755172413793104,0.5310459770114943,0.77,6.4,0.51,0.39491263456067444,5.843758620689656
9,D09_lb40,dd_lookback40,100,0.06446784186608538,0.10424114263916756,-0.03053576340959003,0.037023263472806045,0.186564125004605,0.217298994408399,-0.12937293312409248,-0.12362213575175499,0.27998850574712647,0.5230689655172414,0.79,6.4,0.51,0.3794028009787451,6.238505747126436
17,D17_rs3,rs_thr03,100,0.06416358476004627,0.10426512428708834,-0.029094523958289903,0.041577013055342685,0.1901613990815982,0.18641646385300198,-0.13561318881947934,-0.12392639285779408,0.28367816091954023,0.5152298850574712,0.78,6.4,0.51,0.4017796163655872,6.648655172413794
1,D01_baseline,baseline_dip10_w25,100,0.06221982016410053,0.10370195047736468,-0.030697552777066674,0.036462267185067135,0.18437767002018002,0.18668827128998955,-0.12920546069632652,-0.1258701574537398,0.2783103448275862,0.5133103448275862,0.77,6.4,0.51,0.37402337533004615,6.1276896551724125
10,D10_lb90,dd_lookback90,100,0.061671520930219915,0.1021572947317156,-0.030228380305117118,0.03920210706401121,0.18373034924630366,0.193843112383968,-0.12847141849140267,-0.12641845668762042,0.2786091954022989,0.5135747126436782,0.77,6.4,0.51,0.37092568312533425,6.037068965517242
3,D03_dip08,dip08,100,0.061217668826477264,0.10248600752671685,-0.028834402191045903,0.041921878421995976,0.18749830007185683,0.19398543445901129,-0.12982758474478054,-0.12687230879136308,0.2786091954022989,0.5176436781609196,0.78,6.4,0.51,0.3803811406543344,6.299666666666668
5,D05_deep15,deep_dip15,100,0.06083506984938244,0.10263308894844184,-0.03229340233805962,0.03474853866530469,0.18547388759807237,0.21800014987588365,-0.1280844694384491,-0.1272549077684579,0.2776666666666667,0.5136551724137931,0.78,6.4,0.51,0.3557344100606108,5.642689655172415
15,D15_dip15_lb90,dip15_lb90,100,0.060588947794198794,0.10371387585567887,-0.031014107330130127,0.034750731278588465,0.18556560479620637,0.2208592727938632,-0.12908000668711145,-0.1275010298236416,0.2731954022988506,0.5155862068965518,0.77,6.4,0.51,0.36056633911837127,5.506735632183908
2,D02_shallow06,shallow_dip06,100,0.06013054855852323,0.10139574225447374,-0.027568899416376035,0.040592442348148766,0.19040244665568948,0.17791230543122258,-0.13012955175304503,-0.12795942905931712,0.27732183908045976,0.5169655172413793,0.74,6.4,0.51,0.38520796200431884,6.4227241379310325
4,D04_dip12,dip12,100,0.05999210172731683,0.1013209562384612,-0.032069634709397936,0.03548564523130823,0.18651218368461805,0.18370366588891113,-0.12929048570269233,-0.12809787589052352,0.2725977011494253,0.5132873563218391,0.78,6.4,0.51,0.3674118052198819,5.970609195402298
11,D11_tight_stop08,tight_stop08,100,0.059569762029642224,0.10023347106717498,-0.03019037059103774,0.03532977968065222,0.18189297212919606,0.16801690977343522,-0.1281296257781052,-0.12852021558819812,0.2817126436781609,0.5053103448275862,0.78,6.4,0.51,0.35996266200198873,6.422632183908046
6,D06_very_deep20,very_deep20,100,0.05847616792754077,0.09759706906411288,-0.031022331033788566,0.03765100553574531,0.1791921022794595,0.22332907575277983,-0.12624243443083968,-0.1296138096902996,0.2756436781609196,0.5109999999999999,0.77,6.4,0.51,0.3405601676561139,5.087000000000001
7,D07_light_w20,light_probe_w20,100,0.05831655218965924,0.09746612151082366,-0.029239789770305516,0.03320362083452871,0.1738495663900609,0.16341592147012907,-0.12591986192082702,-0.1297734254281811,0.2742873563218391,0.509264367816092,0.76,6.4,0.51,0.3541361316780282,6.1276896551724125
18,D18_rs8,rs_thr08,100,0.0569316642424819,0.09672547812482514,-0.024729031571576535,0.03628165097382202,0.1726622098540865,0.1602165295287467,-0.11688634455070913,-0.13115831337535844,0.27005747126436785,0.5096321839080459,0.78,6.4,0.51,0.33006649031956914,5.1307126436781605
13,D13_dip08_w20,dip08_w20,100,0.05638174242701508,0.09552335478022933,-0.028507597217754244,0.033542109591733524,0.1734181283592902,0.16470214498345118,-0.12629003080168863,-0.13170823519082528,0.2719080459770115,0.509896551724138,0.79,6.4,0.51,0.3538772161248106,6.431333333333335
20,D20_conserv,dip12_w20_stop08,100,0.056142026929754174,0.09398613811840009,-0.02871592537561405,0.0361541572425476,0.16891042519725816,0.1556825958691963,-0.12472397755194932,-0.1319479506880862,0.2763333333333334,0.5062183908045977,0.78,6.4,0.51,0.33912509646073685,6.216287356321841
19,D19_fast_ma,ma5_20_dip10,100,0.05017350627553432,0.08786978565301168,-0.03305357920335098,0.029919722801676502,0.16678127456114725,0.12938326598115327,-0.11665847871476831,-0.13791647134230606,0.26045977011494253,0.4991609195402298,0.74,6.4,0.51,0.31304385878291874,7.142965517241378
