strategy,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
L1+L4,-512.0876303316691,-174.1202159444656,-400.8998865475878,0.0,-145.67781230883702,14850.592526412627,-5973.885047177551,-33.680320415740425,23160.95191894516,10460.546236146285,-1171.0252682666905,0.0,0.0,0.0,-2333.8478520489443,577.0474661982298,9215.102628456982,0.0,0.0,0.0
MU_buy_hold,1965.624275591661,1410.0284759969072,-3981.0945666888147,-5910.595976543249,9993.525515660702,16284.964979096665,-8034.830991198847,5584.4516251018795,27061.363577978424,32262.181562422382,6913.955898222048,28449.04456293778,72735.89230877493,-1240.212014161225,-41730.643217264995,102956.19266840818,253417.48624434287,96864.54797682294,-184615.9275488766,34582.149833181116
S12_full,-2047.7419553137006,-776.8924684656013,-1533.606995805727,0.0,1098.014876992056,14233.196178042279,-5725.527629306736,-2079.672222394962,21374.952180488173,15319.54157750764,-2446.5978862372285,0.0,0.0,0.0,-8899.703348519033,2062.5211937664426,15773.274141165908,0.0,0.0,0.0
