month,equity_end,pnl_usd,ret
2025-01,49807.97,-192.03,-0.0038405964499999
2025-02,47150.4,-2657.57,-0.05335633056575584
2025-03,47150.4,0.0,0.0
2025-04,47150.4,0.0,0.0
2025-05,55695.9,8545.5,0.18123914575198508
2025-06,56263.85,567.95,0.01019730864601942
2025-07,54961.31,-1302.54,-0.0231505068395097
2025-08,53185.55,-1775.76,-0.03230931921491986
2025-09,63464.84,10279.3,0.19327235681953558
2025-10,62236.77,-1228.07,-0.019350440373617217
2025-11,60526.82,-1709.95,-0.02747493822225866
2025-12,64489.66,3962.84,0.06547248580408493
2026-01,63896.64,-593.02,-0.00919565029669589
2026-02,64178.66,282.02,0.004413737678750085
2026-03,64178.66,0.0,0.0
2026-04,66587.23,2408.57,0.03752908429260082
2026-05,65172.29,-1414.94,-0.021249423598556194
2026-06,75516.4,10344.11,0.15871948376790757
2026-07,71068.45,-4447.94,-0.058900343523132226
2026-08,69020.72,-2047.74,-0.028813578847937005
