date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-22,BUY,ARM,0.0,1.0,160.37,50000.0,19.02,57742.01
2025-01-28,SELL,ARM,1.0,0.0,148.0,46693.67,18.08,46675.59
2025-02-06,BUY,IDXX,0.0,1.0,468.67,46675.59,16.29,45863.85
2025-02-18,SELL,IDXX,1.0,0.5,444.72,22144.22,8.78,44505.18
2025-02-24,SELL,IDXX,0.5,0.0,453.95,22344.69,8.84,44680.55
2025-04-29,BUY,TEAM,0.0,1.0,229.14,44680.55,15.98,44403.78
2025-04-30,SELL,TEAM,1.0,0.5,223.735,22201.89,8.95,44386.79
2025-05-01,SELL,TEAM,0.5,0.0,239.67,22193.39,8.93,45119.63
2025-05-01,BUY,DASH,0.0,1.0,194.405,44377.86,16.26,45119.63
2025-05-08,SELL,DASH,1.0,0.0,180.461,40634.43,15.1,41145.48
2025-05-08,BUY,AMD,0.0,1.0,101.92,40619.33,17.33,41145.48
2025-06-13,SELL,AMD,1.0,0.5,116.05,24040.07,9.88,47596.11
2025-06-16,SELL,AMD,0.5,0.0,118.64,23798.05,9.73,47096.78
2025-06-16,BUY,VRTX,0.0,1.0,456.38,47586.38,16.58,47096.78
2025-06-17,SELL,VRTX,1.0,0.5,449.43,23548.39,9.21,46620.54
2025-06-18,SELL,VRTX,0.5,0.0,443.41,23310.27,9.14,45852.85
2025-06-18,BUY,BKR,0.0,1.0,38.9379,46611.4,29.43,45852.85
2025-06-24,SELL,BKR,1.0,0.5,36.9128,22259.22,14.46,44588.17
2025-06-25,SELL,BKR,0.5,0.0,37.365,22294.09,14.39,44299.96
2025-06-25,BUY,TTWO,0.0,1.0,243.47,44573.79,15.91,44299.96
2025-06-27,SELL,TTWO,1.0,0.5,239.55,21938.03,8.85,44060.43
2025-07-03,SELL,TTWO,0.5,0.0,240.16,21942.22,8.85,43829.77
2025-07-03,BUY,REGN,0.0,1.0,544.7647,43875.58,15.39,43829.77
2025-07-07,SELL,REGN,1.0,0.5,543.0243,21914.88,8.69,43450.02
2025-07-08,SELL,REGN,0.5,0.0,535.9331,21725.01,8.63,43441.39
2025-07-09,BUY,ADSK,0.0,1.0,316.07,43441.39,15.43,42376.86
2025-07-10,SELL,ADSK,1.0,0.5,300.0,21188.43,8.56,40886.26
2025-07-11,SELL,ADSK,0.5,0.0,285.61,20443.13,8.34,40565.62
2025-07-11,BUY,CSGP,0.0,1.0,85.3,40877.92,18.45,40565.62
2025-07-15,SELL,CSGP,1.0,0.5,85.87,20332.85,9.15,40289.75
2025-07-16,SELL,CSGP,0.5,0.0,84.53,20144.87,9.12,39702.88
2025-07-16,BUY,AMZN,0.0,1.0,225.88,40280.63,14.61,39702.88
2025-07-17,SELL,AMZN,1.0,0.5,223.32,19851.44,8.21,39756.0
2025-07-18,SELL,AMZN,0.5,0.0,225.14,19878.0,8.22,39079.56
2025-07-18,BUY,CDNS,0.0,1.0,321.37,39747.78,14.29,39079.56
2025-07-22,SELL,CDNS,1.0,0.5,317.54,19586.35,8.05,39367.22
2025-08-04,SELL,CDNS,0.5,0.0,358.78,20808.74,8.41,41609.08
2025-08-05,BUY,EXC,0.0,1.0,43.5101,41609.08,24.82,41141.64
2025-08-19,SELL,EXC,1.0,0.5,42.9627,20434.23,12.27,41198.97
2025-08-22,SELL,EXC,0.5,0.0,43.8683,20576.5,12.22,41140.78
2025-08-25,BUY,TXN,0.0,1.0,200.7999,41140.78,14.99,41107.83
2025-09-03,SELL,TXN,1.0,0.5,194.191,19940.14,8.28,39464.89
2025-09-04,SELL,TXN,0.5,0.0,179.1213,19732.45,8.24,39742.51
2025-09-04,BUY,ADSK,0.0,1.0,318.58,39456.65,14.2,39742.51
2025-09-30,SELL,ADSK,1.0,0.5,322.23,20002.39,8.18,39726.01
2025-10-01,SELL,ADSK,0.5,0.0,318.79,19863.01,8.14,38208.29
2025-10-01,BUY,GFS,0.0,1.0,35.4589,39717.88,26.36,38208.29
2025-10-02,SELL,GFS,1.0,0.5,34.8797,19104.15,12.8,38870.79
2025-10-13,SELL,GFS,0.5,0.0,33.302,18706.75,12.86,36609.87
2025-10-13,BUY,TTD,0.0,1.0,52.595,37400.64,20.39,36609.87
2025-10-14,SELL,TTD,1.0,0.5,50.3,18304.94,10.19,36408.15
2025-10-15,SELL,TTD,0.5,0.0,51.165,18204.08,10.05,36292.7
2025-10-15,BUY,PEP,0.0,1.0,146.9906,36398.1,14.11,36292.7
2025-10-30,SELL,PEP,1.0,0.5,142.1437,17544.14,7.62,35247.3
2025-11-03,SELL,PEP,0.5,0.0,141.6775,17536.4,7.62,36425.68
2025-11-03,BUY,TEAM,0.0,1.0,169.99,35065.17,13.18,36425.68
2025-11-06,SELL,TEAM,1.0,0.5,159.55,16700.9,7.31,32839.05
2025-11-07,SELL,TEAM,0.5,0.0,155.0,16419.53,7.23,32831.82
2025-11-10,BUY,MAR,0.0,1.0,290.2963,32831.82,12.18,32742.48
2025-11-18,SELL,MAR,1.0,0.0,281.4519,31887.89,11.9,31875.99
2025-12-04,BUY,ODFL,0.0,1.0,151.2867,31875.99,12.28,32402.22
2025-12-05,SELL,ODFL,1.0,0.0,152.6231,32402.22,12.46,32389.76
2025-12-08,BUY,MCHP,0.0,1.0,65.5827,32389.76,16.09,33127.43
2026-01-02,SELL,MCHP,1.0,0.0,64.554,31404.87,15.7,31389.17
2026-01-08,BUY,AMZN,0.0,1.0,243.06,31389.17,11.79,31989.19
2026-01-09,SELL,AMZN,1.0,0.0,244.57,31989.19,11.98,31977.21
2026-01-13,BUY,COST,0.0,1.0,933.8982,31977.21,11.69,31927.26
2026-01-21,SELL,COST,1.0,0.0,955.3833,32686.32,11.9,32674.42
2026-01-23,BUY,CMCSA,0.0,1.0,28.2618,32674.42,24.72,32730.98
2026-02-04,SELL,CMCSA,1.0,0.0,29.2663,33294.48,24.66,33269.82
2026-03-06,BUY,ADSK,0.0,1.0,261.54,33269.82,12.35,32862.66
2026-03-10,SELL,ADSK,1.0,0.0,260.58,32832.44,12.22,32820.22
2026-03-18,BUY,CSCO,0.0,1.0,79.0147,32820.22,15.2,32119.13
2026-03-19,SELL,CSCO,1.0,0.0,76.8446,32119.13,15.03,32104.1
2026-04-10,BUY,BKNG,0.0,1.0,176.7058,32104.1,12.17,31523.41
2026-04-16,SELL,BKNG,1.0,0.5,186.1022,16878.93,7.33,33648.71
2026-04-17,SELL,BKNG,0.5,0.0,188.0872,16824.35,7.31,34208.21
2026-04-17,BUY,META,0.0,1.0,677.9716,33641.4,12.23,34208.21
2026-04-24,SELL,META,1.0,0.5,659.7086,16369.16,6.98,33124.97
2026-05-01,SELL,META,0.5,0.0,614.1208,15778.16,6.8,31549.53
2026-05-04,BUY,SBUX,0.0,1.0,105.1835,31549.53,13.33,31259.02
2026-05-05,SELL,SBUX,1.0,0.5,104.1496,15629.51,7.13,31247.47
2026-05-06,SELL,SBUX,0.5,0.0,104.1396,15623.74,7.13,30017.58
2026-05-06,BUY,TEAM,0.0,1.0,91.48,31240.35,13.78,30017.58
2026-05-14,SELL,TEAM,1.0,0.0,80.33,27260.25,12.56,27247.7
2026-05-15,BUY,MNST,0.0,1.0,86.0,27247.7,12.26,27637.75
2026-06-10,SELL,MNST,1.0,0.0,90.89,28600.78,12.64,28588.14
2026-06-12,BUY,KHC,0.0,1.0,24.21,28588.14,23.81,28764.91
