datetime,equity
2025-01-02,50000.0
2025-01-03,50000.0
2025-01-06,49897.37331619303
2025-01-07,49952.206327652246
2025-01-08,50066.729783054696
2025-01-10,49872.067923064475
2025-01-13,49858.94360764325
2025-01-14,49858.94360764325
2025-01-15,49858.94360764325
2025-01-16,49769.75454926428
2025-01-17,49748.87938611103
2025-01-21,49101.85114380346
2025-01-22,48598.74683097107
2025-01-23,48811.12497170968
2025-01-24,50512.20790930111
2025-01-27,50411.031905555035
2025-01-28,50400.54964401053
2025-01-29,49629.29130299183
2025-01-30,49930.33616534331
2025-01-31,49876.791692042454
2025-02-03,49244.28939052582
2025-02-04,49226.32484810267
2025-02-05,49226.32484810267
2025-02-06,48370.32484764334
2025-02-07,48293.64017937849
2025-02-10,48831.60946870482
2025-02-11,48711.719083579344
2025-02-12,48038.95057006955
2025-02-13,48291.790953142496
2025-02-14,46708.823123081456
2025-02-18,46937.51917933188
2025-02-19,47038.75412441089
2025-02-20,47136.185193930396
2025-02-21,47131.79267115227
2025-02-24,47697.28539999978
2025-02-25,47687.98681581991
2025-02-26,47687.98681581991
2025-02-27,47687.98681581991
2025-02-28,47687.98681581991
2025-03-03,47687.98681581991
2025-03-04,47687.98681581991
2025-03-05,47687.98681581991
2025-03-06,47687.98681581991
2025-03-07,47687.98681581991
2025-03-10,47687.98681581991
2025-03-11,47687.98681581991
2025-03-12,47687.98681581991
2025-03-13,47687.98681581991
2025-03-14,47687.98681581991
2025-03-17,47687.98681581991
2025-03-18,47687.98681581991
2025-03-19,47687.98681581991
2025-03-20,47687.98681581991
2025-03-21,47687.98681581991
2025-03-24,47687.98681581991
2025-03-25,47687.98681581991
2025-03-26,47687.98681581991
2025-03-27,47687.98681581991
2025-03-28,47687.98681581991
2025-03-31,47687.98681581991
2025-04-01,47687.98681581991
2025-04-02,47687.98681581991
2025-04-03,47687.98681581991
2025-04-04,47687.98681581991
2025-04-07,47687.98681581991
2025-04-08,47687.98681581991
2025-04-09,47687.98681581991
2025-04-10,47687.98681581991
2025-04-11,47687.98681581991
2025-04-14,47687.98681581991
2025-04-15,47687.98681581991
2025-04-16,47687.98681581991
2025-04-17,47687.98681581991
2025-04-21,47687.98681581991
2025-04-22,47687.98681581991
2025-04-23,47687.98681581991
2025-04-24,47687.98681581991
2025-04-25,47687.98681581991
2025-04-28,47687.98681581991
2025-04-29,47687.98681581991
2025-04-30,47687.98681581991
2025-05-01,47687.98681581991
2025-05-02,47687.98681581991
2025-05-05,47687.98681581991
2025-05-06,47687.98681581991
2025-05-07,47687.98681581991
2025-05-08,47687.98681581991
2025-05-09,47687.98681581991
2025-05-12,47687.98681581991
2025-05-13,47687.98681581991
2025-05-14,47687.98681581991
2025-05-15,47687.98681581991
2025-05-16,47687.98681581991
2025-05-19,47687.98681581991
2025-05-20,47687.98681581991
2025-05-21,47687.98681581991
2025-05-22,47687.98681581991
2025-05-23,47687.98681581991
2025-05-27,47687.98681581991
2025-05-28,47687.98681581991
2025-05-29,47687.98681581991
2025-05-30,47687.98681581991
2025-06-02,47687.98681581991
2025-06-03,47687.98681581991
2025-06-04,47687.98681581991
2025-06-05,47687.98681581991
2025-06-06,47687.98681581991
2025-06-09,47687.98681581991
2025-06-10,47687.98681581991
2025-06-11,47687.98681581991
2025-06-12,47687.98681581991
2025-06-13,47687.98681581991
2025-06-16,47687.98681581991
2025-06-17,47687.98681581991
2025-06-18,47687.98681581991
2025-06-20,47687.98681581991
2025-06-23,47687.98681581991
2025-06-24,47687.98681581991
2025-06-25,47395.16807656427
2025-06-26,46941.65303034586
2025-06-27,47139.041956611174
2025-06-30,47276.60257549615
2025-07-01,47008.53278564936
2025-07-02,46950.74526181748
2025-07-03,46892.539538133766
2025-07-07,46486.39903683089
2025-07-08,46477.30596820178
2025-07-09,45338.510452610906
2025-07-10,43743.86760829336
2025-07-11,43400.95688870113
2025-07-14,43508.0275281363
