date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-06,BUY,CSCO,0.0,1.0,56.9895,50000.0,26.32,49897.37
2025-01-07,SELL,CSCO,1.0,0.5,57.0475,24948.69,13.13,49952.21
2025-01-13,SELL,CSCO,0.5,0.0,56.9991,24936.03,13.12,49858.94
2025-01-16,BUY,PCAR,0.0,1.0,106.0515,49858.94,21.02,49769.75
2025-01-17,SELL,PCAR,1.0,0.0,108.0088,49769.75,20.88,49748.88
2025-01-21,BUY,PDD,0.0,1.0,108.07,49748.88,20.86,49101.85
2025-01-23,SELL,PDD,1.0,0.5,102.22,24299.37,10.36,48811.12
2025-01-28,SELL,PDD,0.5,0.0,111.33,25205.52,10.48,50400.55
2025-01-29,BUY,ZS,0.0,1.0,203.87,50400.55,18.31,49629.29
2025-02-04,SELL,ZS,1.0,0.0,199.06,49244.29,17.96,49226.32
2025-02-06,BUY,IDXX,0.0,1.0,468.67,49226.32,17.07,48370.32
2025-02-18,SELL,IDXX,1.0,0.5,444.72,23354.41,9.15,46937.52
2025-02-25,SELL,IDXX,0.5,0.0,464.61,23848.64,9.3,47687.99
2025-05-02,BUY,DDOG,0.0,1.0,107.12,47687.99,20.05,47083.22
2025-06-12,SELL,DDOG,1.0,0.5,120.11,26596.71,10.84,54083.3
2025-07-11,SELL,DDOG,0.5,0.0,137.49,28669.25,11.29,56889.24
2025-07-11,BUY,CSGP,0.0,1.0,85.3,57327.21,25.87,56889.24
2025-07-15,SELL,CSGP,1.0,0.5,85.87,28514.79,12.84,56502.36
2025-07-16,SELL,CSGP,0.5,0.0,84.53,28251.18,12.79,55679.65
2025-07-16,BUY,AMZN,0.0,1.0,225.88,56489.57,20.17,55679.65
2025-07-17,SELL,AMZN,1.0,0.5,223.32,27839.82,10.72,55754.94
2025-07-18,SELL,AMZN,0.5,0.0,225.14,27877.47,10.72,54807.85
2025-07-18,BUY,CDNS,0.0,1.0,321.37,55744.22,19.23,54807.85
2025-07-22,SELL,CDNS,1.0,0.5,317.54,27469.24,10.49,55212.09
2025-08-27,SELL,CDNS,0.5,0.0,345.0,28664.13,10.84,57497.68
2025-08-27,BUY,CMCSA,0.0,1.0,30.0262,57317.42,41.82,57497.68
2025-08-28,SELL,CMCSA,1.0,0.5,30.2586,28748.84,20.88,57273.08
2025-08-29,SELL,CMCSA,0.5,0.0,29.9994,28636.54,20.9,56830.34
2025-08-29,BUY,PCAR,0.0,1.0,97.6763,57252.17,24.74,56830.34
2025-09-04,SELL,PCAR,1.0,0.5,94.4667,27345.69,11.94,55243.31
2025-09-05,SELL,PCAR,0.5,0.0,96.3161,27621.66,11.99,55231.32
2025-09-09,BUY,LRCX,0.0,1.0,104.3326,55231.32,23.4,55471.17
