date,side,symbol,weight_from,weight_to,price_open,notional_usd,cost_usd,equity_after_usd
2025-01-22,BUY,ARM,0.0,1.0,160.37,50000.0,19.02,57742.01
2025-01-28,SELL,ARM,1.0,0.0,148.0,46693.67,18.08,46675.59
2025-02-06,BUY,IDXX,0.0,1.0,468.67,46675.59,16.29,45863.85
2025-02-18,SELL,IDXX,1.0,0.5,444.72,22144.22,8.78,44505.18
2025-02-24,SELL,IDXX,0.5,0.0,453.95,22344.69,8.84,44680.55
2025-05-02,BUY,DDOG,0.0,1.0,107.12,44680.55,18.78,44113.92
2025-06-12,SELL,DDOG,1.0,0.5,120.11,24919.39,10.15,50672.54
2025-07-11,SELL,DDOG,0.5,0.0,137.49,26861.22,10.63,53301.46
2025-07-11,BUY,CSGP,0.0,1.0,85.3,53711.81,24.24,53301.46
2025-07-15,SELL,CSGP,1.0,0.5,85.87,26716.48,12.03,52938.98
2025-07-16,SELL,CSGP,0.5,0.0,84.53,26469.49,11.98,52168.16
2025-07-16,BUY,AMZN,0.0,1.0,225.88,52927.0,18.9,52168.16
2025-07-17,SELL,AMZN,1.0,0.5,223.32,26084.08,10.17,52238.58
2025-07-18,SELL,AMZN,0.5,0.0,225.14,26119.29,10.17,51350.97
2025-07-18,BUY,CDNS,0.0,1.0,321.37,52228.41,18.15,51350.97
2025-07-22,SELL,CDNS,1.0,0.5,317.54,25736.68,9.95,51729.59
2025-08-04,SELL,CDNS,0.5,0.0,358.78,27343.25,10.42,54676.08
2025-08-05,BUY,EXC,0.0,1.0,43.5101,54676.08,32.61,54061.85
2025-08-19,SELL,EXC,1.0,0.5,42.9627,26851.44,16.12,54137.19
2025-08-22,SELL,EXC,0.5,0.0,43.8683,27038.39,16.06,54060.72
2025-08-25,BUY,TXN,0.0,1.0,200.7999,54060.72,19.69,54017.42
2025-09-03,SELL,TXN,1.0,0.5,194.191,26202.19,10.26,51859.15
2025-09-04,SELL,TXN,0.5,0.0,179.1213,25929.58,10.2,52225.22
2025-09-04,BUY,ADSK,0.0,1.0,318.58,51848.95,18.03,52225.22
2025-09-30,SELL,ADSK,1.0,0.5,322.23,26284.93,10.12,52204.16
2025-10-01,SELL,ADSK,0.5,0.0,318.79,26102.08,10.07,50210.31
2025-10-01,BUY,GFS,0.0,1.0,35.4589,52194.09,34.65,50210.31
2025-10-02,SELL,GFS,1.0,0.5,34.8797,25105.16,16.82,51080.91
2025-10-13,SELL,GFS,0.5,0.0,33.302,24582.93,16.9,48109.79
2025-10-13,BUY,TTD,0.0,1.0,52.595,49148.96,26.8,48109.79
2025-10-14,SELL,TTD,1.0,0.5,50.3,24054.9,13.39,47844.71
2025-10-15,SELL,TTD,0.5,0.0,51.165,23922.35,13.21,47692.99
2025-10-15,BUY,PEP,0.0,1.0,146.9906,47831.5,18.55,47692.99
2025-10-30,SELL,PEP,1.0,0.5,142.1437,23055.13,9.39,46319.84
2025-11-03,SELL,PEP,0.5,0.0,141.6775,23045.26,9.39,47869.04
2025-11-03,BUY,TEAM,0.0,1.0,169.99,46081.12,17.32,47869.04
2025-11-06,SELL,TEAM,1.0,0.5,159.55,21947.59,8.99,43156.26
2025-11-07,SELL,TEAM,0.5,0.0,155.0,21578.13,8.88,43147.38
2025-11-10,BUY,MAR,0.0,1.0,290.2963,43147.38,15.38,43030.59
2025-11-18,SELL,MAR,1.0,0.0,281.4519,41907.49,15.01,41892.48
2025-12-04,BUY,ODFL,0.0,1.0,151.2867,41892.48,16.14,42584.07
2025-12-05,SELL,ODFL,1.0,0.0,152.6231,42584.07,16.37,42567.69
2025-12-08,BUY,MCHP,0.0,1.0,65.5827,42567.69,21.14,43537.15
2025-12-16,SELL,MCHP,1.0,0.0,68.2436,43441.59,21.24,43420.34
2025-12-22,BUY,HON,0.0,1.0,205.7914,43420.34,15.75,42715.8
2025-12-23,SELL,HON,1.0,0.5,203.2174,21357.9,8.71,42656.94
2026-01-02,SELL,HON,0.5,0.0,203.1032,21306.44,8.7,42604.18
2026-01-08,BUY,AMZN,0.0,1.0,243.06,42604.18,15.3,43419.3
2026-01-09,SELL,AMZN,1.0,0.0,244.57,43419.3,15.55,43403.75
2026-01-13,BUY,COST,0.0,1.0,933.8982,43403.75,15.15,43336.66
2026-01-21,SELL,COST,1.0,0.0,955.3833,44366.98,15.44,44351.54
2026-01-23,BUY,CMCSA,0.0,1.0,28.2618,44351.54,33.55,44428.31
2026-02-04,SELL,CMCSA,1.0,0.0,29.2663,45193.19,33.48,45159.71
2026-04-10,BUY,BKNG,0.0,1.0,176.7058,45159.71,16.84,44343.15
2026-04-16,SELL,BKNG,1.0,0.5,186.1022,23743.15,9.5,47333.55
2026-04-17,SELL,BKNG,0.5,0.0,188.0872,23666.78,9.47,48122.25
2026-04-17,BUY,META,0.0,1.0,677.9716,47324.09,16.4,48122.25
2026-04-24,SELL,META,1.0,0.5,659.7086,23027.24,9.0,46599.22
2026-05-01,SELL,META,0.5,0.0,614.1208,22196.25,8.76,44383.75
2026-05-04,BUY,SBUX,0.0,1.0,105.1835,44383.75,18.76,43975.06
2026-05-05,SELL,SBUX,1.0,0.5,104.1496,21987.53,9.32,43959.53
2026-05-06,SELL,SBUX,0.5,0.0,104.1396,21979.76,9.32,42229.98
2026-05-06,BUY,TEAM,0.0,1.0,91.48,43950.21,19.38,42229.98
2026-05-14,SELL,TEAM,1.0,0.0,80.33,38350.85,17.66,38333.19
2026-05-15,BUY,MNST,0.0,1.0,86.0,38333.19,17.25,38881.93
2026-06-10,SELL,MNST,1.0,0.0,90.89,40236.76,17.78,40218.98
2026-06-12,BUY,KHC,0.0,1.0,24.21,40218.98,33.5,40467.67
2026-06-18,SELL,KHC,1.0,0.5,23.095,19242.38,16.52,38152.17
2026-06-22,SELL,KHC,0.5,0.0,22.65,19076.08,16.59,37253.85
2026-06-22,BUY,ABNB,0.0,1.0,140.98,38135.58,14.93,37253.85
2026-06-24,SELL,ABNB,1.0,0.0,139.06,37162.96,14.6,37148.36
2026-07-10,BUY,META,0.0,1.0,660.34,37148.36,13.3,39331.03
2026-07-14,SELL,META,1.0,0.0,652.0,38594.32,13.75,38580.57
2026-08-05,BUY,ORLY,0.0,1.0,92.72,38580.57,16.94,39236.84
2026-08-07,SELL,ORLY,1.0,0.0,92.74,39207.78,17.22,39190.56
