total_return,total_pnl_usd,max_drawdown,sharpe,avg_exposure,n_trades,config_id,note,window,core,sat,vol_target,cadence,confirm_days,trade_threshold,d_sharpe_vs_base,d_ret_vs_base,d_dd_vs_base,d_sharpe_vs_bh
1.4526406386685893,72632.03193342946,-0.19947082201703714,0.9966018031661582,0.7073855850639016,218,S1_weekly_softvol,soft-vol weekly,secondary_2020,0.7,0.3,0.15,W,0,0.02,0.02312379276936405,0.048320415410889606,0.0040244265390988465,0.12306677591547355
1.455712164251017,72785.60821255084,-0.20077631686594055,0.9938648271071766,0.7091751847258454,182,S1_thr5,trade_threshold 5%,secondary_2020,0.7,0.3,0.15,D,0,0.05,0.02038681671038245,0.05139194099331723,0.0027189316901954363,0.12032979985649195
1.6015115754071774,80075.57877035887,-0.22262057095643206,0.992044916323109,0.7601353109161899,310,S2_vol18,vol_target 18%,secondary_2020,0.7,0.3,0.18,D,0,0.02,0.018566905926314825,0.1971913521494777,-0.019125322400296074,0.11850988907242432
1.6947067587398301,84735.3379369915,-0.22979752284314814,0.9893681390330898,0.7848228471074012,131,STACK_a,80/20 vol18 weekly thr5 confirm2,secondary_2020,0.8,0.2,0.18,W,2,0.05,0.015890128636295686,0.29038653548213045,-0.02630227428701215,0.11583311178240518
1.5014453474480964,75072.26737240482,-0.20589770487613235,0.9847485599868134,0.7277481482775576,399,S4_80_20,core/sat 80/20,secondary_2020,0.8,0.2,0.15,D,0,0.02,0.011270549590019274,0.09712512419039676,-0.00240245631999636,0.11121353273612877
1.546361347238133,77318.06736190665,-0.2232006046292646,0.9752603862263859,0.7552392066279597,129,STACK_b,70/30 vol18 weekly thr5 confirm2,secondary_2020,0.7,0.3,0.18,W,2,0.05,0.0017823758295917314,0.14204112398043334,-0.01970535607312862,0.10172535897570123
1.4043202232576997,70216.01116288498,-0.203495248556136,0.9734780103967942,0.7082901673205403,373,B0_baseline,70/30 vol15 daily thr2%,secondary_2020,0.7,0.3,0.15,D,0,0.02,0.0,0.0,0.0,0.0999429831461095
1.3153644131274658,65768.22065637329,-0.21039027417571443,0.9411671865530385,0.7024948941340178,374,S3_confirm2,satellite 2-day confirm,secondary_2020,0.7,0.3,0.15,D,2,0.02,-0.03231082384375561,-0.0889558101302339,-0.006895025619578443,0.06763215930235389
2.4209788368272775,121048.94184136388,-0.35101694168093667,0.8735350272506847,1.0,1,QQQ_buy_hold,reference,secondary_2020,,,,,0,0.02,-0.0999429831461095,1.0166586135695779,-0.14752169312480068,0.0
0.8195290253667293,40976.45126833647,-0.17772632017690349,0.7307043844785249,0.5678937839468919,66,S12_full,reference,secondary_2020,,,,,0,0.02,-0.24277362591826923,-0.5847911978909703,0.025768928379232503,-0.14283064277215973
