total_return,total_pnl_usd,max_drawdown,sharpe,avg_exposure,n_trades,config_id,note,window,core,sat,vol_target,cadence,confirm_days,trade_threshold,d_sharpe_vs_base,d_ret_vs_base,d_dd_vs_base,d_sharpe_vs_bh
0.29163404976768237,14581.702488384119,-0.1335873309383454,1.1990189611726207,0.7413969740613469,51,S1_weekly_softvol,soft-vol weekly,primary_2025,0.7,0.3,0.15,W,0,0.02,0.047589581766873446,0.01132110581201684,-0.00019468915653897412,0.1283977537464296
0.26805282585964707,13402.641292982353,-0.10151330940391545,1.1950509209870446,0.6040100250626567,14,S12_full,reference,primary_2025,,,,,0,0.02,0.043621541581297274,-0.012260118096018457,0.03187933237789098,0.12442971356085342
0.2827832192524826,14139.160962624132,-0.13589776113384677,1.1526410416172543,0.747833058040066,44,S1_thr5,trade_threshold 5%,primary_2025,0.7,0.3,0.15,D,0,0.05,0.0012116622115070363,0.0024702752968170927,-0.0025051193520403414,0.08201983419106318
0.28031294395566553,14015.647197783277,-0.13339264178180643,1.1514293794057473,0.7439236849655705,93,B0_baseline,70/30 vol15 daily thr2%,primary_2025,0.7,0.3,0.15,D,0,0.02,0.0,0.0,0.0,0.08080817197955614
0.29977949825121386,14988.974912560692,-0.14897390427062607,1.138927053049427,0.8001365019449235,75,S2_vol18,vol_target 18%,primary_2025,0.7,0.3,0.18,D,0,0.02,-0.012502326356320204,0.019466554295548333,-0.015581262488819636,0.06830584562323594
0.28049508505201315,14024.754252600658,-0.14239164777500601,1.1165872620656176,0.7637230417682555,103,S4_80_20,core/sat 80/20,primary_2025,0.8,0.2,0.15,D,0,0.02,-0.03484211734012965,0.0001821410963476211,-0.008999005993199582,0.04596605463942649
0.28619138138557965,14309.569069278983,-0.1489499594432515,1.1058303144573256,0.7971144656771518,31,STACK_b,70/30 vol18 weekly thr5 confirm2,primary_2025,0.7,0.3,0.18,W,2,0.05,-0.0455990649484217,0.0058784374299141184,-0.01555731766144508,0.035209107031134446
0.2969514488160778,14847.572440803891,-0.15877731516719107,1.0934862494633217,0.8268490420485031,31,STACK_a,80/20 vol18 weekly thr5 confirm2,primary_2025,0.8,0.2,0.18,W,2,0.05,-0.057943129942425564,0.016638504860412295,-0.025384673385384637,0.02286504203713058
0.26059557361881125,13029.778680940562,-0.13339700087267026,1.0929305650411758,0.7393921663826074,95,S3_confirm2,satellite 2-day confirm,primary_2025,0.7,0.3,0.15,D,2,0.02,-0.058498814364571494,-0.01971737033685428,-4.359090863825799e-06,0.02230935761498465
0.41579269210203273,20789.634605101637,-0.2263959296794129,1.0706212074261912,1.0,1,QQQ_buy_hold,reference,primary_2025,,,,,0,0.02,-0.08080817197955614,0.1354797481463672,-0.09300328789760648,0.0
