strategy,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07
L1+L4_min,-170.22747836699273,-1665.2965293046946,-1063.8208467882941,0.0,-76.37739713065093,3002.0436416646917,1223.5769182602817,476.01797644827457,2791.799385600214,2462.1525617530933,-1818.3029462748236,-50.84833586133027,390.3672610697686,-695.934916357488,0.0,939.4415595230021,5870.715570075052,-3000.3189239085114,0.0
L1+L4_min_RSspy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.9561774399117,4717.0909601109815,-2518.1513542723624,0.0
L1_time_only,-337.1618027518489,-1659.717632654123,-1060.2569490352544,0.0,-76.12152582032286,2991.986519150647,1219.4778229634903,474.4232724135072,2782.4466006953444,2604.8522318084724,-2667.4452182889654,-50.028773576414096,384.07540748162137,-684.7179905614685,0.0,924.2998472519394,5776.0926687501415,-2951.9604439086615,0.0
L4_regime_only,-117.08535517130076,-1667.0725236317812,-1064.9553833442114,0.0,104.01801543116744,3016.7669370927033,1229.5778584852524,478.35257052248926,2805.491554014923,2474.228002313772,-1827.2206752125712,-770.2178300676751,501.7604786062511,-691.7037076765846,0.0,1050.787085865326,5847.350084676596,-2988.3776354624206,0.0
QQQ_buy_hold,1197.8646149172564,-1352.7652900419125,-3798.9379601819164,727.725279471495,4310.199203049509,3261.222977806836,1329.2135749004738,517.1146551958518,3032.8274310821653,2839.252081448758,-929.9201233010754,-395.6223107582773,756.4285338821428,-1431.0581730813865,-2892.089200427792,8984.201858287088,6967.152158454686,-151.88372022358817,-4810.842849014123
S12_RS_vs_SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.3737154050177,5294.095632357254,-2545.1968350243405,0.0
S12_no_RS,-292.9012883925461,-1313.3758275175496,-1068.8842803146326,0.0,-221.7585428282764,3007.074404339379,1225.6273631653457,476.81567753272975,2796.4778252969118,2617.987889725242,-2680.8965179332517,-1105.0119109434672,665.5520180680542,-678.4506467501415,0.0,1698.985076336292,5805.6996835433165,-3494.693132902037,0.0
