strategy,month,pnl_usd,pnl_pct
QQQ_buy_hold,2025-01,1197.8646149172564,0.023957292298345128
QQQ_buy_hold,2025-02,-1352.7652900419125,-0.02705530580083825
QQQ_buy_hold,2025-03,-3798.9379601819164,-0.07597875920363834
QQQ_buy_hold,2025-04,727.725279471495,0.0145545055894299
QQQ_buy_hold,2025-05,4310.199203049509,0.08620398406099018
QQQ_buy_hold,2025-06,3261.222977806836,0.06522445955613672
QQQ_buy_hold,2025-07,1329.2135749004738,0.026584271498009474
QQQ_buy_hold,2025-08,517.1146551958518,0.010342293103917035
QQQ_buy_hold,2025-09,3032.8274310821653,0.060656548621643304
QQQ_buy_hold,2025-10,2839.252081448758,0.05678504162897516
QQQ_buy_hold,2025-11,-929.9201233010754,-0.018598402466021506
QQQ_buy_hold,2025-12,-395.6223107582773,-0.007912446215165547
QQQ_buy_hold,2026-01,756.4285338821428,0.015128570677642856
QQQ_buy_hold,2026-02,-1431.0581730813865,-0.02862116346162773
QQQ_buy_hold,2026-03,-2892.089200427792,-0.057841784008555844
QQQ_buy_hold,2026-04,8984.201858287088,0.17968403716574174
QQQ_buy_hold,2026-05,6967.152158454686,0.13934304316909374
QQQ_buy_hold,2026-06,-151.88372022358817,-0.0030376744044717636
QQQ_buy_hold,2026-07,-4810.842849014123,-0.09621685698028247
S12_no_RS,2025-01,-292.9012883925461,-0.005858025767850923
S12_no_RS,2025-02,-1313.3758275175496,-0.02626751655035099
S12_no_RS,2025-03,-1068.8842803146326,-0.021377685606292652
S12_no_RS,2025-04,0.0,0.0
S12_no_RS,2025-05,-221.7585428282764,-0.004435170856565528
S12_no_RS,2025-06,3007.074404339379,0.06014148808678758
S12_no_RS,2025-07,1225.6273631653457,0.024512547263306914
S12_no_RS,2025-08,476.81567753272975,0.009536313550654594
S12_no_RS,2025-09,2796.4778252969118,0.055929556505938234
S12_no_RS,2025-10,2617.987889725242,0.05235975779450484
S12_no_RS,2025-11,-2680.8965179332517,-0.053617930358665036
S12_no_RS,2025-12,-1105.0119109434672,-0.022100238218869344
S12_no_RS,2026-01,665.5520180680542,0.013311040361361083
S12_no_RS,2026-02,-678.4506467501415,-0.013569012935002829
S12_no_RS,2026-03,0.0,0.0
S12_no_RS,2026-04,1698.985076336292,0.03397970152672584
S12_no_RS,2026-05,5805.6996835433165,0.11611399367086633
S12_no_RS,2026-06,-3494.693132902037,-0.06989386265804075
S12_no_RS,2026-07,0.0,0.0
S12_RS_vs_SPY,2025-01,0.0,0.0
S12_RS_vs_SPY,2025-02,0.0,0.0
S12_RS_vs_SPY,2025-03,0.0,0.0
S12_RS_vs_SPY,2025-04,0.0,0.0
S12_RS_vs_SPY,2025-05,0.0,0.0
S12_RS_vs_SPY,2025-06,0.0,0.0
S12_RS_vs_SPY,2025-07,0.0,0.0
S12_RS_vs_SPY,2025-08,0.0,0.0
S12_RS_vs_SPY,2025-09,0.0,0.0
S12_RS_vs_SPY,2025-10,0.0,0.0
S12_RS_vs_SPY,2025-11,0.0,0.0
S12_RS_vs_SPY,2025-12,0.0,0.0
S12_RS_vs_SPY,2026-01,0.0,0.0
S12_RS_vs_SPY,2026-02,0.0,0.0
S12_RS_vs_SPY,2026-03,0.0,0.0
S12_RS_vs_SPY,2026-04,269.3737154050177,0.005387474308100354
S12_RS_vs_SPY,2026-05,5294.095632357254,0.10588191264714507
S12_RS_vs_SPY,2026-06,-2545.1968350243405,-0.05090393670048681
S12_RS_vs_SPY,2026-07,0.0,0.0
L1_time_only,2025-01,-337.1618027518489,-0.006743236055036977
L1_time_only,2025-02,-1659.717632654123,-0.03319435265308246
L1_time_only,2025-03,-1060.2569490352544,-0.02120513898070509
L1_time_only,2025-04,0.0,0.0
L1_time_only,2025-05,-76.12152582032286,-0.0015224305164064573
L1_time_only,2025-06,2991.986519150647,0.05983973038301294
L1_time_only,2025-07,1219.4778229634903,0.024389556459269806
L1_time_only,2025-08,474.4232724135072,0.009488465448270145
L1_time_only,2025-09,2782.4466006953444,0.05564893201390689
L1_time_only,2025-10,2604.8522318084724,0.052097044636169446
L1_time_only,2025-11,-2667.4452182889654,-0.053348904365779305
L1_time_only,2025-12,-50.028773576414096,-0.001000575471528282
L1_time_only,2026-01,384.07540748162137,0.007681508149632427
L1_time_only,2026-02,-684.7179905614685,-0.01369435981122937
L1_time_only,2026-03,0.0,0.0
L1_time_only,2026-04,924.2998472519394,0.018485996945038788
L1_time_only,2026-05,5776.0926687501415,0.11552185337500283
L1_time_only,2026-06,-2951.9604439086615,-0.05903920887817323
L1_time_only,2026-07,0.0,0.0
L4_regime_only,2025-01,-117.08535517130076,-0.0023417071034260153
L4_regime_only,2025-02,-1667.0725236317812,-0.03334145047263563
L4_regime_only,2025-03,-1064.9553833442114,-0.02129910766688423
