total_return,total_pnl_usd,max_drawdown,sharpe,avg_exposure,n_trades,strategy,vs_qqq,dd_vs_bh
0.36320165482932376,18160.082741466187,-0.22639589561894757,0.9779552893306814,1.0,1,QQQ_buy_hold,0.0,0.0
0.17229975000803188,8614.987500401594,-0.08903702605404717,0.9405297184009485,0.5170886075949367,26,L1+L4_min,-0.19090190482129188,0.1373588695649004
0.1676339895288388,8381.69947644194,-0.09416934923963238,0.8986671203855133,0.5341772151898734,26,L4_regime_only,-0.19556766530048497,0.1322265463793152
0.1534048806783621,7670.244033918106,-0.09704044840675274,0.8268118509754587,0.5322784810126582,24,L1_time_only,-0.20979677415096165,0.12935544721219483
0.14876495580850735,7438.247790425367,-0.10177850040936198,0.7734924304765678,0.5848101265822785,14,S12_no_RS,-0.2144366990208164,0.12461739520958559
0.06036545025475859,3018.2725127379294,-0.05586028272700094,0.6839561969325257,0.07341772151898734,2,S12_RS_vs_SPY,-0.30283620457456517,0.17053561289194663
0.049097915665570646,2454.8957832785322,-0.05586028272700072,0.5851897163171296,0.06329113924050633,4,L1+L4_min_RSspy,-0.3141037391637531,0.17053561289194685
