date,action,symbol,shares,reason,excess_20,peak_dd,n_candidates
2025-11-06,EXIT,NVDA,63.0,weaken_flat,-0.04035427281558501,-0.03652619052504147,
2025-11-06,ENTER,AMAT,,emerging_rs,0.04301702548581976,0.0,1.0
2025-11-11,TRIM,AMAT,54.0,weaken_to_half,-0.004592890294525143,-0.027268143869153993,
2025-11-12,TRIM,COHU,540.0,weaken_to_half,-0.025247867856960093,-0.05304272304136781,
2025-11-12,EXIT,AMAT,54.0,weaken_flat,-0.026391801740186738,-0.018504909291335858,
2025-11-17,EXIT,COHU,541.0,peak_dd_stop,-0.04152647254821107,-0.12088818137128954,
2025-11-19,ENTER,AVGO,,emerging_rs,0.03901045730620423,0.0,1.0
2025-11-20,EXIT,AVGO,68.0,gate_off,0.06448374079635522,0.0,
2025-12-01,ENTER,ON,,emerging_rs,0.03470127592478123,0.0,1.0
2025-12-04,ENTER,SNPS,,emerging_rs,0.12769369654633267,0.0,4.0
2025-12-17,EXIT,ON,494.0,gate_off,0.1526936974221984,-0.06684164479440069,
2025-12-17,EXIT,SNPS,53.0,gate_off,0.16257247528618213,-0.05068516112810628,
2025-12-30,ENTER,NVDA,,emerging_rs,0.009933653070553383,0.0,1.0
2026-01-02,ENTER,TSM,,emerging_rs,0.056912981427576614,0.0,1.0
2026-01-05,TRIM,NVDA,66.0,weaken_to_half,-0.02162114290529149,-0.0038648521124146074,
2026-01-06,EXIT,NVDA,66.0,weaken_flat,-0.04049358269301995,-0.008524941284997034,
2026-01-06,ENTER,AMBA,,emerging_rs,0.021287833330609907,0.0,1.0
2026-01-07,TRIM,AMBA,156.0,weaken_to_half,-0.12813166411632138,0.0,
2026-01-08,EXIT,AMBA,157.0,weaken_flat,-0.12570336833578888,0.0,
2026-01-08,ENTER,POWI,,emerging_rs,0.09183852956986782,0.0,4.0
2026-01-21,TRIM,TSM,38.0,weaken_to_half,-0.003155171522490896,-0.04754677766883697,
2026-01-22,EXIT,TSM,38.0,weaken_flat,-0.0036410076206512265,-0.04389791401245846,
2026-01-22,ENTER,AMD,,emerging_rs,0.06053637393803979,0.0,1.0
2026-01-30,TRIM,AMD,47.0,weaken_to_half,-0.014929168482626043,-0.08837800369685778,
2026-02-04,EXIT,AMD,48.0,peak_dd_stop,-0.05161304299489777,-0.22908964879852134,
2026-02-04,ENTER,SMTC,,emerging_rs,0.07178178089311371,0.0,1.0
2026-02-19,TRIM,POWI,307.0,weaken_to_half,-0.020137667493732803,-0.05386376607415755,
2026-02-20,EXIT,POWI,308.0,weaken_flat,-0.029651682768966126,-0.05717838713959178,
2026-02-26,ENTER,AMBA,,emerging_rs,0.07421686502393265,0.0,1.0
2026-02-27,TRIM,AMBA,204.0,weaken_to_half,-0.05766496932190357,0.0,
2026-03-02,EXIT,AMBA,205.0,weaken_flat,-0.05410790287901701,0.0,
2026-03-03,EXIT,SMTC,314.0,gate_off,0.06891033826300796,-0.06365529271601178,
2026-03-04,ENTER,VECO,,emerging_rs,0.07363394058769068,0.0,1.0
2026-03-05,ENTER,NVDA,,emerging_rs,0.017635263325604056,0.0,2.0
2026-03-06,EXIT,VECO,776.0,gate_off,0.04760906175225976,-0.04836686269306367,
2026-03-06,EXIT,NVDA,139.0,gate_off,0.0358980255008432,0.0,
2026-03-10,ENTER,MRVL,,emerging_rs,0.15589666129331692,0.0,1.0
2026-03-12,EXIT,MRVL,267.0,gate_off,0.1420777800661459,-0.03062726136074445,
2026-04-09,ENTER,ADI,,emerging_rs,0.02767025668426104,0.0,2.0
2026-04-09,ENTER,MCHP,,emerging_rs,0.00952570008444642,0.0,2.0
2026-04-13,TRIM,ADI,35.0,weaken_to_half,-0.001044813874448991,-0.000372284826529623,
2026-04-14,EXIT,ADI,36.0,weaken_flat,-0.026253415124667834,-0.004398688411918816,
2026-04-15,ENTER,AVGO,,emerging_rs,0.09589482882499634,0.0,1.0
2026-05-05,TRIM,AVGO,31.0,weaken_to_half,-0.027417890173547788,0.0,
2026-05-06,EXIT,AVGO,32.0,weaken_flat,-0.0865569395116994,-0.004492870468458476,
2026-05-08,ENTER,SMCI,,emerging_rs,0.10345117184382713,0.0,1.0
2026-05-11,TRIM,SMCI,356.0,weaken_to_half,-0.009207707271517318,0.0,
2026-05-12,EXIT,SMCI,356.0,weaken_flat,-0.03618883409533913,-0.0217780290055829,
2026-05-14,TRIM,MCHP,174.0,weaken_to_half,-0.009247995925513619,-0.05712611688882374,
2026-05-15,EXIT,MCHP,175.0,weaken_flat,-0.006994362570074797,-0.08812069723158045,
2026-05-20,ENTER,SWKS,,emerging_rs,0.019463097049871703,0.0,1.0
2026-05-22,ENTER,LSCC,,emerging_rs,0.028303844137015588,0.0,1.0
2026-05-29,TRIM,SWKS,170.0,weaken_to_half,-0.06288542578924328,-0.06677055642633367,
2026-06-01,EXIT,SWKS,170.0,weaken_flat,-0.09500123266111626,-0.09506114216300565,
2026-06-02,TRIM,LSCC,84.0,weaken_to_half,-0.04217536588788784,0.0,
2026-06-05,EXIT,LSCC,84.0,peak_dd_stop,0.07571759673740996,-0.12309183717984429,
2026-06-05,ENTER,KLAC,,emerging_rs,0.04042301879707244,0.0,1.0
2026-06-08,ENTER,AMAT,,emerging_rs,0.07582873397221213,0.0,1.0
2026-06-24,EXIT,KLAC,123.0,peak_dd_stop,0.1677238352447461,-0.10655372269282226,
2026-06-30,ENTER,TSM,,emerging_rs,0.01969806663213247,0.0,1.0
2026-07-02,EXIT,AMAT,49.0,peak_dd_stop,0.2757257278877534,-0.16591977869986174,
2026-07-02,ENTER,AMBA,,emerging_rs,0.13328881739630316,0.0,1.0
2026-07-07,EXIT,TSM,53.0,gate_off,0.02366993040299148,-0.04254188893069799,
2026-07-07,EXIT,AMBA,300.0,gate_off,0.11002468760809525,-0.09920987494128197,
2026-07-14,ENTER,AVGO,,emerging_rs,0.05175279469333094,0.0,1.0
2026-07-15,EXIT,AVGO,63.0,gate_off,0.08951616300317122,0.0,
