symbol
AAPL
ABNB
ADBE
ADI
ADP
ADSK
AEP
AMAT
AMD
AMGN
AMZN
APP
ARM
ASML
AVGO
AXON
BKNG
BKR
CCEP
CDNS
CDW
CEG
CHTR
CMCSA
COST
CPRT
CRWD
CSCO
CSGP
CSX
CTAS
CTSH
DASH
DDOG
DXCM
EA
EXC
FANG
FAST
FTNT
GE
GEHC
GFS
GILD
GOOG
GOOGL
HON
HOOD
IDXX
INTC
INTU
ISRG
KDP
KHC
KLAC
LIN
LRCX
MAR
MCHP
MDB
MELI
META
MNST
MRVL
MSFT
MSTR
MU
NFLX
NVDA
NXPI
ODFL
ON
ORLY
PANW
PAYX
PCAR
PDD
PEP
PLTR
PYPL
QCOM
REGN
ROP
ROST
SBUX
SHOP
SNPS
TEAM
TMUS
TRI
TSLA
TTD
TTWO
TXN
VRSK
VRTX
WBD
WDAY
XEL
ZS
