symbol,strategy,n_bars,total_return,sharpe,max_drawdown,avg_exposure,n_trades,vs_qqq,beat_qqq,final_equity
AAPL,buy_hold,129,0.160119185414638,1.1664638740264939,-0.12768628516890013,0.9922480620155039,1,0.01606600535094871,True,116011.9185414638
AAPL,sma,129,0.14501328189173113,1.4061267000100937,-0.10663764690998456,0.49612403100775193,3,0.0009601018280418483,True,114501.32818917312
AAPL,regime,129,0.025267687421562046,0.3656135471219487,-0.13376250966026249,0.40310077519379844,4,-0.11878549264212723,False,102526.7687421562
AAPL,sma_rs5_entry,129,-0.046042312770466776,-0.4604289926916969,-0.10663764690998434,0.26356589147286824,3,-0.19009549283415605,False,95395.76872295332
AAPL,regime_rs5_entry,129,-0.11636408983360136,-1.649895026316801,-0.13376250966026249,0.1937984496124031,4,-0.26041726989729064,False,88363.59101663987
ABNB,buy_hold,129,0.1587957615945257,1.0198551290161268,-0.11788170601435044,0.9922480620155039,1,0.014742581530836407,True,115879.57615945257
ABNB,sma,129,-0.007832089209593995,0.039915127625617296,-0.1279291864549591,0.49612403100775193,5,-0.15188526927328327,False,99216.7910790406
ABNB,regime,129,0.07980992417774857,0.8614225399762637,-0.08888532275401473,0.4573643410852713,5,-0.06424325588594071,False,107980.99241777486
ABNB,sma_rs5_entry,129,0.04307480897332172,0.5162449193459049,-0.08318432056016978,0.31007751937984496,3,-0.10097837109036756,False,104307.48089733218
ABNB,regime_rs5_entry,129,0.09157010559716205,1.1455649600064444,-0.0759105377185526,0.24031007751937986,1,-0.052483074466527224,False,109157.0105597162
ADBE,buy_hold,129,-0.11328600698893332,-0.27859226831655387,-0.3421205677054717,0.9922480620155039,1,-0.2573391870526226,False,88671.39930110666
ADBE,sma,129,-0.10541742405429988,-0.5484327731670338,-0.2961592216100116,0.3875968992248062,7,-0.24947060411798916,False,89458.25759457001
ADBE,regime,129,-0.1089727335663997,-0.6192828610426193,-0.28500575593665234,0.2558139534883721,6,-0.25302591363008897,False,89102.72664336003
ADBE,sma_rs5_entry,129,0.16004353942561744,1.5034966251240567,-0.10359895115463025,0.12403100775193798,1,0.015990359361928164,True,116004.35394256175
ADBE,regime_rs5_entry,129,0.05470021266033531,0.6360513028414185,-0.09436409523593214,0.06201550387596899,2,-0.08935296740335397,False,105470.02126603354
ADI,buy_hold,129,0.1999763532674501,1.0773983593605552,-0.2066725496761873,0.9922480620155039,1,0.055923173203760834,True,119997.63532674502
ADI,sma,129,0.028267806665862816,0.33223291872398286,-0.18102670850793812,0.4263565891472868,4,-0.11578537339782646,False,102826.78066658629
ADI,regime,129,0.14878307400733348,1.242997768388299,-0.10965599550756444,0.29457364341085274,2,0.004729893943644203,True,114878.30740073335
ADI,sma_rs5_entry,129,0.028267806665862816,0.33223291872398286,-0.18102670850793812,0.4263565891472868,4,-0.11578537339782646,False,102826.78066658629
ADI,regime_rs5_entry,129,0.14878307400733348,1.242997768388299,-0.10965599550756444,0.29457364341085274,2,0.004729893943644203,True,114878.30740073335
ADP,buy_hold,129,0.11910784209052006,0.8351826176250073,-0.23187454306831978,0.9922480620155039,1,-0.024945337973169224,False,111910.784209052
ADP,sma,129,0.15985752758966787,1.4569601025369592,-0.07847813911714985,0.4806201550387597,3,0.01580434752597859,True,115985.75275896679
ADP,regime,129,0.2876333794556869,2.3060464906711045,-0.07450709201368133,0.4418604651162791,5,0.14358019939199762,True,128763.3379455687
ADP,sma_rs5_entry,129,0.09114749182135662,0.9977603630940496,-0.07847813911715062,0.35658914728682173,3,-0.05290568824233266,False,109114.74918213567
ADP,regime_rs5_entry,129,0.15228384812924523,1.530841308008719,-0.09541101696452325,0.34108527131782945,3,0.008230668065555946,True,115228.38481292452
ADSK,buy_hold,129,-0.05148140299435011,-0.03892726904546541,-0.2906480935073694,0.9922480620155039,1,-0.1955345830580394,False,94851.859700565
ADSK,sma,129,0.030190854455309557,0.36047568815570236,-0.14498062396364442,0.35658914728682173,7,-0.11386232560837972,False,103019.08544553096
ADSK,regime,129,0.09099062524040713,0.8700344795210269,-0.0855098678269417,0.2248062015503876,5,-0.05306255482328215,False,109099.06252404071
ADSK,sma_rs5_entry,129,0.09172124990582664,0.959158834215276,-0.09391272708041387,0.20155038759689922,3,-0.05233193015786264,False,109172.12499058267
ADSK,regime_rs5_entry,129,0.15459645616387863,1.962111361399692,-0.045136136914532665,0.06976744186046512,1,0.010543276100189347,True,115459.64561638786
AEP,buy_hold,129,0.07488265660171534,0.7935470261737909,-0.09612747090555596,0.9922480620155039,1,-0.06917052346197394,False,107488.26566017153
AEP,sma,129,-0.07119337752215249,-0.9530502517420484,-0.10234160848896923,0.4108527131782946,6,-0.21524655758584177,False,92880.66224778476
AEP,regime,129,-0.07544455890653534,-1.061727635624892,-0.1105736525856188,0.4186046511627907,6,-0.21949773897022462,False,92455.54410934646
AEP,sma_rs5_entry,129,-0.0008637964116130492,0.01951993891904761,-0.05893548355735778,0.15503875968992248,2,-0.14491697647530233,False,99913.6203588387
AEP,regime_rs5_entry,129,-0.05035609678917652,-1.030349418856558,-0.07862566042636554,0.20930232558139536,4,-0.1944092768528658,False,94964.39032108235
AMAT,buy_hold,129,0.6157225691434345,1.6899232260113617,-0.38997418567219466,0.9922480620155039,1,0.4716693890797452,True,161572.25691434345
AMAT,sma,129,0.32522597236763784,1.3104606907736398,-0.25888271643483174,0.5193798449612403,2,0.18117279230394856,True,132522.59723676377
AMAT,regime,129,0.4799586288142621,2.3244612022469795,-0.09948960489146497,0.35658914728682173,4,0.3359054487505728,True,147995.8628814262
AMAT,sma_rs5_entry,129,0.32522597236763784,1.3104606907736398,-0.25888271643483174,0.5193798449612403,2,0.18117279230394856,True,132522.59723676377
AMAT,regime_rs5_entry,129,0.3726776554930542,1.9640371394236302,-0.09948960489146486,0.3333333333333333,2,0.22862447542936493,True,137267.76554930542
AMD,buy_hold,129,0.9534406429690749,2.053908053747909,-0.2591522023446533,0.9922480620155039,1,0.8093874629053857,True,195344.06429690748
AMD,sma,129,1.538236663175272,3.23415955900534,-0.16783036836254062,0.6356589147286822,2,1.3941834831115827,True,253823.66631752718
AMD,regime,129,0.3072715456634718,1.3698488019043322,-0.26060060338141633,0.34108527131782945,10,0.16321836559978253,True,130727.15456634718
AMD,sma_rs5_entry,129,1.538236663175272,3.23415955900534,-0.16783036836254062,0.6356589147286822,2,1.3941834831115827,True,253823.66631752718
AMD,regime_rs5_entry,129,0.3072715456634718,1.3698488019043322,-0.26060060338141633,0.34108527131782945,10,0.16321836559978253,True,130727.15456634718
AMGN,buy_hold,129,0.19157598429814948,1.3580572717495838,-0.16553306671326173,0.9922480620155039,1,0.0475228042344602,True,119157.59842981494
AMGN,sma,129,0.21614762209043148,2.284937029836439,-0.050306297273564726,0.35658914728682173,3,0.0720944420267422,True,121614.76220904315
AMGN,regime,129,0.1666344183244941,1.9118998687175206,-0.050306297273564726,0.3178294573643411,2,0.022581238260804826,True,116663.4418324494
AMGN,sma_rs5_entry,129,0.15893472382065443,1.829288413672634,-0.050306297273564726,0.32558139534883723,1,0.014881543756965154,True,115893.47238206545
AMGN,regime_rs5_entry,129,0.1666344183244941,1.9118998687175206,-0.050306297273564726,0.3178294573643411,2,0.022581238260804826,True,116663.4418324494
AMZN,buy_hold,129,0.12241567648243934,0.7791742011066046,-0.17923412893346047,0.9922480620155039,1,-0.02163750358124994,False,112241.56764824393
AMZN,sma,129,-0.116959721551675,-1.1621438229697558,-0.20301275637891947,0.4728682170542636,7,-0.2610129016153643,False,88304.0278448325
AMZN,regime,129,-0.008346024332730462,-0.005276507157358816,-0.17783736038833142,0.34108527131782945,8,-0.15239920439641974,False,99165.39756672696
AMZN,sma_rs5_entry,129,-0.14269008368300184,-1.502577667022026,-0.22623567258434196,0.46511627906976744,7,-0.2867432637466911,False,85730.99163169981
AMZN,regime_rs5_entry,129,-0.059643141877492756,-0.6795389248068366,-0.17783736038833142,0.3333333333333333,6,-0.20369632194118203,False,94035.68581225073
APP,buy_hold,129,-0.3169731855129897,-0.4438868125354456,-0.45537015140157056,0.9922480620155039,1,-0.461026365576679,False,68302.68144870103
APP,sma,129,-0.16734592852246144,-0.6387673154321505,-0.23631006021383627,0.3875968992248062,4,-0.3113991085861507,False,83265.40714775385
APP,regime,129,-0.12260672604819078,-0.39710687770275876,-0.3348473663410656,0.34108527131782945,4,-0.26665990611188006,False,87739.32739518092
APP,sma_rs5_entry,129,-0.15875353094002143,-0.6418449862589867,-0.23631006021383638,0.3023255813953488,4,-0.3028067110037107,False,84124.64690599786
APP,regime_rs5_entry,129,0.0035401651143778246,0.1963274335532157,-0.23630038873245818,0.24031007751937986,2,-0.14051301494931145,False,100354.01651143779
ARM,buy_hold,129,1.6485652820106305,2.4944369774728568,-0.48650035180709517,0.9922480620155039,1,1.5045121019469412,True,264856.52820106305
ARM,sma,129,1.2896440794640491,2.4183670331893183,-0.27976776927919766,0.5503875968992248,2,1.1455908994003599,True,228964.4079464049
ARM,regime,129,0.13763643961877703,0.7778651518476454,-0.2595524662218288,0.16279069767441862,6,-0.00641674044491225,False,113763.64396187771
ARM,sma_rs5_entry,129,1.2896440794640491,2.4183670331893183,-0.27976776927919766,0.5503875968992248,2,1.1455908994003599,True,228964.4079464049
ARM,regime_rs5_entry,129,0.23480967080547055,1.2126822304700942,-0.15501619423660884,0.11627906976744186,4,0.09075649074178127,True,123480.96708054705
ASML,buy_hold,129,0.18431402120511442,0.8924075824866812,-0.21943860572100338,0.9922480620155039,1,0.04026084114142514,True,118431.40212051144
ASML,sma,129,0.20581079233717858,1.106748143112177,-0.1329301151047253,0.49612403100775193,2,0.061757612273489304,True,120581.07923371786
ASML,regime,129,0.22024916748308243,1.2688213317915906,-0.08660092967872701,0.43410852713178294,4,0.07619598741939315,True,122024.91674830824
ASML,sma_rs5_entry,129,0.20581079233717858,1.106748143112177,-0.1329301151047253,0.49612403100775193,2,0.061757612273489304,True,120581.07923371786
ASML,regime_rs5_entry,129,0.16742301282235728,1.0431613293580597,-0.08660092967872701,0.37209302325581395,2,0.023369832758667997,True,116742.30128223573
AVGO,buy_hold,129,0.28077708074590424,1.2474907898868344,-0.24787016631904812,0.9922480620155039,1,0.13672390068221496,True,128077.70807459042
AVGO,sma,129,0.06521680961540999,0.5366649578357545,-0.22454642023728122,0.4728682170542636,7,-0.07883637044827929,False,106521.680961541
AVGO,regime,129,0.19387486833381606,1.3522032544722153,-0.126171393571347,0.3178294573643411,3,0.049821688270126785,True,119387.48683338161
AVGO,sma_rs5_entry,129,0.04114190056071032,0.40716552661219807,-0.2574664305189598,0.4186046511627907,5,-0.10291127950297896,False,104114.19005607103
AVGO,regime_rs5_entry,129,0.19387486833381606,1.3522032544722153,-0.126171393571347,0.3178294573643411,3,0.049821688270126785,True,119387.48683338161
AXON,buy_hold,129,0.11532052056709086,0.6519576817145375,-0.40348084363666137,0.9922480620155039,1,-0.028732659496598423,False,111532.05205670909
AXON,sma,129,-0.13964549408405214,-0.39310913946896586,-0.2926953080952228,0.4573643410852713,7,-0.2836986741477414,False,86035.45059159478
AXON,regime,129,0.17686271242599783,0.9366125738555477,-0.23187263327811813,0.37209302325581395,1,0.03280953236230855,True,117686.27124259979
AXON,sma_rs5_entry,129,-0.05035264843333265,-0.04241286587148225,-0.29019772740065297,0.4418604651162791,6,-0.19440582849702193,False,94964.73515666673
AXON,regime_rs5_entry,129,0.08478175877991001,0.583487919504299,-0.2318726332781177,0.35658914728682173,1,-0.05927142128377927,False,108478.175877991
BKNG,buy_hold,129,0.016671675595003155,0.2922137011563452,-0.24600760981544367,0.9922480620155039,1,-0.12738150446868612,False,101667.16755950032
BKNG,sma,129,0.14223932531180328,0.9996729450933458,-0.1588548120005996,0.5503875968992248,5,-0.0018138547518860015,False,114223.93253118033
BKNG,regime,129,0.1481072888930346,1.1182388258048,-0.14494341208114536,0.40310077519379844,3,0.004054108829345315,True,114810.72888930346
BKNG,sma_rs5_entry,129,0.19039176886979714,1.4175751932671918,-0.08616401954676478,0.3798449612403101,3,0.04633858880610786,True,119039.17688697971
