scheme_id,scheme,note,mean_of_mean_ret,std_of_mean_ret,p10_mean_ret,p50_mean_ret,p90_mean_ret,mean_sharpe,mean_mdd,mean_vs_qqq,mean_pct_positive,mean_pct_beat_qqq,mean_exposure,mean_trades,pct_runs_mean_ret_pos
6,S06_stricter_highvol,stricter_highvol,0.1243771967124369,0.045204180378110234,0.07455344119937385,0.12172852052360353,0.18452868112025972,0.5312775938292548,-0.12189115585107979,-0.019675983351252393,0.6093333333333333,0.284,0.25463116979809924,2.6603333333333334,1.0
10,S10_rs_win10,rs_win10,0.10881081927183855,0.041011837978322425,0.0570895804376044,0.1102496866650458,0.1555080967245149,0.5670679338364154,-0.09990703396663227,-0.03524236079185072,0.6353333333333333,0.29533333333333334,0.2008817063022818,2.4886666666666666,1.0
1,S01_baseline,baseline,0.10551127606646613,0.045936357714868904,0.049518152066953036,0.10198711329206181,0.17163321876452992,0.5584897856181317,-0.10258896938679783,-0.03854190399722315,0.6056666666666666,0.2836666666666667,0.21011176805500809,2.6013333333333333,1.0
8,S08_rs3,rs3,0.09702860582583149,0.04699078320999788,0.04884580164753517,0.08560664300207442,0.17591537467467855,0.5130475193737558,-0.11064709729531173,-0.047024574237857796,0.594,0.271,0.2285451758419831,2.93,1.0
9,S09_rs8,rs8,0.09522587896532647,0.04013962640528491,0.047088908580720276,0.08877666745533083,0.1520669840775675,0.5222540839015103,-0.09615412660884616,-0.04882730109836281,0.597,0.26733333333333337,0.1757844786055271,2.256333333333333,1.0
3,S03_slower_ma,slower_ma,0.08501281310115065,0.030127759413233045,0.04763612841364746,0.08378194834187003,0.12477440828695113,0.5645635567463978,-0.09380841288251411,-0.05904036696253862,0.5936666666666667,0.23466666666666666,0.17963662243244427,2.062,1.0
7,S07_short_vol_window,short_vol_window,0.0835888848878717,0.03101802714647493,0.04653259180256604,0.08287385317460733,0.12120890583903297,0.41451609972719483,-0.09829818039282619,-0.0604642951758176,0.5893333333333333,0.214,0.17056387684491747,3.9343333333333335,1.0
5,S05_easier_highvol,easier_highvol,0.07847029516373462,0.03292878994795781,0.04030377187033196,0.07437034864617205,0.12554617660930284,0.5117422305452601,-0.08026342087466826,-0.06558288489995466,0.5976666666666667,0.168,0.13973222966758642,2.8489999999999998,1.0
4,S04_ma_10_30,ma_10_30,0.06525807652971441,0.03600489488385639,0.02504916796721406,0.060015447076276984,0.11544706910450471,0.3777766610591246,-0.11714209951084933,-0.07879510353397487,0.5023333333333333,0.2316666666666667,0.2200448911662944,3.2680000000000002,1.0
2,S02_faster_ma,faster_ma,0.0399931221269411,0.041004919627824536,-0.009687516931525768,0.03571990737423125,0.09939974823986668,-0.02158725558989943,-0.12232959491358278,-0.10406005793674819,0.4453333333333333,0.17466666666666664,0.2010162046161258,4.574,0.85
