scheme,scheme_id,note,run,n_names,mean_ret,median_ret,mean_sharpe,mean_mdd,mean_vs_qqq,pct_positive,pct_beat_qqq,mean_trades,mean_exposure,basket_eq_ret
S01_baseline,1,baseline,0,30,0.08205453022361331,0.024948580985765356,0.5196792701141026,-0.09440645174953227,-0.061998649840075984,0.5333333333333333,0.3333333333333333,2.8333333333333335,0.20387815880523802,0.08205453022361331
S01_baseline,1,baseline,1,30,0.049243059617411045,0.034268235798231905,0.4165599031166728,-0.10305352625259215,-0.09481012044627828,0.5666666666666667,0.2,2.533333333333333,0.19819121447028423,0.049243059617411045
S01_baseline,1,baseline,2,30,0.10919918231073542,0.033363163800715134,0.5793057275417227,-0.10133233316701286,-0.03485399775295388,0.6666666666666666,0.36666666666666664,2.533333333333333,0.22428940568475453,0.10919918231073542
S01_baseline,1,baseline,3,30,0.20069469126215278,0.07107600703607919,0.9899921322040321,-0.09776694762699738,0.05664151119846351,0.7,0.3333333333333333,2.566666666666667,0.20645994832041342,0.20069469126215278
S01_baseline,1,baseline,4,30,0.08295337480690419,0.0350354335294738,0.5204694058104931,-0.10155414585307242,-0.06109980525678507,0.6333333333333333,0.26666666666666666,2.6333333333333333,0.20206718346253233,0.08295337480690419
S01_baseline,1,baseline,5,30,0.04626834122462031,0.008071273934331269,0.2573317346623719,-0.11307926745281488,-0.09778483883906897,0.5666666666666667,0.23333333333333334,2.8,0.22428940568475456,0.04626834122462031
S01_baseline,1,baseline,6,30,0.03729605388025027,0.014318190568533007,0.19943399023822547,-0.11764090256861919,-0.10675712618343901,0.6,0.2,2.4,0.24703061358559977,0.03729605388025027
S01_baseline,1,baseline,7,30,0.08209198637912957,0.058212003550297875,0.7301380516968236,-0.11335461990264645,-0.061961193684559705,0.7666666666666667,0.3,2.7666666666666666,0.24005386939955328,0.08209198637912957
S01_baseline,1,baseline,8,30,0.049312370114634484,0.008071273934331269,0.41585245183391356,-0.11088451221179023,-0.09474080994905479,0.5666666666666667,0.2,2.566666666666667,0.20155038759689922,0.049312370114634484
S01_baseline,1,baseline,9,30,0.08050882276825409,0.00852022786452522,0.39564764450382744,-0.11158430768656864,-0.06354435729543519,0.5,0.23333333333333334,2.566666666666667,0.22713178294573647,0.08050882276825409
S01_baseline,1,baseline,10,30,0.09664927355509062,0.0381252441944544,0.38307366585938685,-0.10852191239515388,-0.04740390650859865,0.5333333333333333,0.3333333333333333,3.0,0.22790697674418603,0.09664927355509062
S01_baseline,1,baseline,11,30,0.12167813211641208,0.0,0.15834361455196194,-0.1113145426639735,-0.0223750479472772,0.43333333333333335,0.2,2.8,0.1878552971576227,0.12167813211641208
S01_baseline,1,baseline,12,30,0.10547333991426373,0.039064593831714234,0.5426698209205181,-0.10376744178290881,-0.038579840149425546,0.6333333333333333,0.26666666666666666,2.533333333333333,0.2178294573643411,0.10547333991426373
S01_baseline,1,baseline,13,30,0.06882646393984843,0.03159226650280833,0.3454314264871659,-0.1270177663012828,-0.07522671612384085,0.6333333333333333,0.23333333333333334,2.933333333333333,0.27209302325581397,0.06882646393984843
S01_baseline,1,baseline,14,30,0.07145432336185804,0.025038894812295487,0.4484767564432147,-0.11669484884636946,-0.07259885670183126,0.6,0.26666666666666666,2.966666666666667,0.19198966408268736,0.07145432336185804
S01_baseline,1,baseline,15,30,0.12146667675793796,0.012867208191172264,0.7066228239448807,-0.094485775966915,-0.02258650330575133,0.5666666666666667,0.3333333333333333,2.1333333333333333,0.21886304909560725,0.12146667675793796
S01_baseline,1,baseline,16,30,0.06299443155174042,0.02550608237788088,0.312899453472604,-0.12303097278302591,-0.08105874851194886,0.6,0.2,2.8333333333333335,0.20775193798449612,0.06299443155174042
S01_baseline,1,baseline,17,30,0.06756619434550813,0.024948580985765356,0.42214452957436666,-0.12201616360651202,-0.07648698571818115,0.5666666666666667,0.26666666666666666,2.966666666666667,0.22429159549774452,0.06756619434550813
S01_baseline,1,baseline,18,30,0.08810541058859776,0.0119374135924184,0.5723947975871106,-0.08476089367785809,-0.055947769475091516,0.5666666666666667,0.26666666666666666,2.3333333333333335,0.17855516138921737,0.08810541058859776
S01_baseline,1,baseline,19,30,0.11016195703505435,0.052026375415986315,0.6555014864439854,-0.09415397962203026,-0.033891223028634926,0.7,0.3,2.8333333333333335,0.19405903735820962,0.11016195703505435
S01_baseline,1,baseline,20,30,0.11410089246622203,0.0477110825414262,0.7886979638074915,-0.103789207385207,-0.029952287597467264,0.7,0.36666666666666664,2.566666666666667,0.24522182805588405,0.11410089246622203
S01_baseline,1,baseline,21,30,0.2375159748857793,0.1149527576426993,1.180930595723995,-0.08806355469410145,0.09346279482209,0.6666666666666666,0.4666666666666667,2.3666666666666667,0.19534883720930235,0.2375159748857793
S01_baseline,1,baseline,22,30,0.11999432857143918,0.08239558826706939,0.7550713496706809,-0.10262680644055665,-0.024058851492250108,0.6666666666666666,0.3,2.7333333333333334,0.20775193798449615,0.11999432857143918
S01_baseline,1,baseline,23,30,0.11283094772607562,0.019913975549956664,0.34126251817455344,-0.11629352652483999,-0.031222232337613672,0.5,0.26666666666666666,3.033333333333333,0.20904392764857885,0.11283094772607562
S01_baseline,1,baseline,24,30,0.20831890419473392,0.09679689080442289,0.9047152696521064,-0.1103423844687299,0.0642657241310446,0.6666666666666666,0.3333333333333333,2.7,0.20026058774580652,0.20831890419473392
S01_baseline,1,baseline,25,30,0.1313352121557874,0.0884627031830878,0.703958279895352,-0.09203047234928961,-0.012717967907901898,0.6666666666666666,0.3333333333333333,2.8333333333333335,0.2271339727587264,0.1313352121557874
S01_baseline,1,baseline,26,30,0.10829118503588901,0.006139450888410614,0.372763247136624,-0.11410745964629233,-0.03576199502780026,0.5,0.26666666666666666,2.6666666666666665,0.2062015503875969,0.10829118503588901
S01_baseline,1,baseline,27,30,0.14246263964995462,0.06735481520728204,0.9392085164454057,-0.10178024125802976,-0.0015905404137346534,0.7333333333333333,0.4,2.6666666666666665,0.2062015503875969,0.14246263964995462
S01_baseline,1,baseline,28,30,0.13555838579132287,0.019204862428545466,0.5387617098130539,-0.0982253298840842,-0.008494794272366412,0.5666666666666667,0.23333333333333334,2.6,0.21628125958043184,0.13555838579132287
S01_baseline,1,baseline,29,30,0.11621983336310614,0.006117062883835955,0.4872450122052397,-0.11820701724533732,-0.02783334670058316,0.5333333333333333,0.2,2.533333333333333,0.2149870801033592,0.11621983336310614
S01_baseline,1,baseline,30,30,0.12709939946053506,0.04996722332331682,0.7949791760537679,-0.081335922111802,-0.016953780603154237,0.7,0.3,2.2,0.19819340428327423,0.12709939946053506
S01_baseline,1,baseline,31,30,0.10032612476848331,0.021836456693625883,0.5756040350795693,-0.10065297621784382,-0.04372705529520597,0.5666666666666667,0.3,2.3666666666666667,0.1974160206718346,0.10032612476848331
S01_baseline,1,baseline,32,30,0.07452462858737616,0.03159226650280833,0.4598767795522829,-0.09951760639325921,-0.06952855147631312,0.5666666666666667,0.3,2.466666666666667,0.24108527131782945,0.07452462858737616
S01_baseline,1,baseline,33,30,0.12071447371297633,0.046562140636563054,0.7265677136609714,-0.09439033932939059,-0.02333870635071297,0.6333333333333333,0.36666666666666664,2.466666666666667,0.19819340428327423,0.12071447371297633
S01_baseline,1,baseline,34,30,0.07669717106011227,0.020493711136685855,0.4874210962380154,-0.09849567589311739,-0.067356009003577,0.5666666666666667,0.26666666666666666,2.8,0.22144702842377265,0.07669717106011227
S01_baseline,1,baseline,35,30,0.02888066874083681,0.0119374135924184,0.2724135335692413,-0.11024182154871644,-0.11517251132285249,0.5666666666666667,0.16666666666666666,2.2,0.23152673761660758,0.02888066874083681
S01_baseline,1,baseline,36,30,0.08010471099586475,0.04996722332331682,0.5376544281071747,-0.11865132175435493,-0.06394846906782453,0.7,0.26666666666666666,2.533333333333333,0.24160206718346253,0.08010471099586475
