datetime,open,high,low,close,volume
2026-02-02,52.16954994738298,53.10363195322233,51.992668935445906,52.0006217956543,27452900
2026-02-03,42.615069404846544,43.42494201683188,41.169229510296475,41.437530517578125,141690600
2026-02-04,41.33815958946874,41.57665064836559,39.70848269084835,40.77174758911133,58018000
2026-02-05,40.344451923673894,40.75187112944493,38.63528061176662,39.648860931396484,42842800
2026-02-06,39.996656406370036,40.35439108260146,39.132133465935155,40.165584564208984,34921700
2026-02-09,39.95690915126476,41.01023865977401,39.55942910723834,40.890995025634766,26034300
2026-02-10,40.49351117630861,42.08343893321411,40.49351117630861,41.22885513305664,22787700
2026-02-11,41.23878859882564,41.35803222735771,39.75816536436329,40.2053337097168,21538900
2026-02-12,40.03143597933261,40.03143597933261,38.21792222779819,38.834022521972656,28004800
2026-02-13,38.99301714199548,40.11590196330561,38.84296659623338,40.036407470703125,25092400
2026-02-17,40.2450847566628,41.33815961649498,40.11590194173059,40.55313491821289,20342500
2026-02-18,40.51338574325649,41.49715235815869,40.334518396785775,41.18910598754883,17925500
2026-02-19,40.84627625474051,41.5269660890652,40.59288021558507,41.467342376708984,24646900
2026-02-20,41.31331539976,42.54054255064515,41.25170537318582,41.38784408569336,23174000
2026-02-23,40.78664888747118,45.402412347202336,40.26992525610165,43.772735595703125,75619500
2026-02-24,43.22123051628523,47.697875979503834,42.759157191106326,46.72404479980469,58557200
2026-02-25,47.081779471334194,48.19472884934961,46.152663230931516,47.02215576171875,42794100
2026-02-26,47.20102508366696,47.42957696076862,44.21493811961321,45.24342346191406,48091800
2026-02-27,45.5216636349048,46.12782098303215,45.13411519236947,45.91914367675781,23641200
2026-03-02,44.53789326995427,45.66575146604524,44.35902592423664,45.342796325683594,17355300
2026-03-03,44.44846140624729,46.66442495651396,44.378902301268866,46.088077545166016,22406400
2026-03-04,45.89869657144969,47.174493567014544,45.77909191010924,46.596397399902344,14612800
2026-03-05,46.33227078404329,47.75757271995237,46.33227078404329,47.48347473144531,18317700
2026-03-06,47.0150174855968,47.57317893099132,46.20269660001562,46.815677642822266,15900100
2026-03-09,45.89869973021365,46.373137542904786,44.812280826014074,46.008338928222656,18908300
2026-03-10,45.46014339173467,45.66945249860834,44.662772649718136,44.8720817565918,17575900
2026-03-11,45.300671973874834,45.988403567412135,44.652806068218595,45.4202766418457,13794100
2026-03-12,45.1511626620214,45.92262169483513,44.19431772717744,44.21425247192383,15293100
2026-03-13,44.05976332660538,45.1013280838343,44.026870807386615,44.752479553222656,13962500
2026-03-16,45.101327585251184,45.749193480269476,45.04152335116581,45.27076721191406,14460200
2026-03-17,45.689387432994714,46.825641220377925,45.59370218312091,45.97843551635742,21819800
2026-03-18,45.46513051843682,45.925610578780194,44.40362721427611,44.44349670410156,19662700
2026-03-19,44.04979207062753,44.69267330710544,43.38897222604767,44.04480743408203,22744600
2026-03-20,44.1843505081445,44.40362508735365,43.18763612323347,43.86539840698242,31695500
2026-03-23,44.57307125961344,45.58972045119912,43.86540111302628,45.34054183959961,21262500
2026-03-24,44.797328739833205,45.11627704605241,43.84546845781882,44.06474304199219,19616500
2026-03-25,44.93188819757865,45.8089941558467,44.05477843714681,44.702640533447266,14861200
2026-03-26,44.333855212646256,45.82095364709508,44.323889741787795,45.051490783691406,14613000
2026-03-27,44.5730695030987,44.642839207424004,43.40691166964317,43.446781158447266,17434200
2026-03-30,43.85543466713669,44.86709919940739,43.775695688157825,44.523231506347656,17778200
2026-03-31,44.59300624341998,45.32060733692432,44.13451470597892,45.08139419555664,12695000
2026-04-01,45.14119544780103,45.35050455631089,43.85543297753141,44.48336410522461,15319900
2026-04-02,43.875369666200854,45.27076758694522,43.531501971147925,45.19103240966797,12747700
2026-04-06,45.57376801619334,46.287415127471924,45.18106534301985,45.330570220947266,11006800
2026-04-07,44.941854536238225,45.31063781676732,44.41359709638597,44.72257614135742,10416300
2026-04-08,45.838899296125234,46.1977133048373,45.405327140956146,45.69935607910156,15619000
2026-04-09,45.65949026985995,45.92860362730477,44.75746110819383,45.82892990112305,12716600
2026-04-10,45.764143472068085,46.02827218482132,44.83221412129679,45.09136199951172,13130500
2026-04-13,44.953815420548274,47.717703349426365,44.91195359698058,47.35390090942383,15179300
2026-04-14,47.782489169626906,48.175195665098876,47.54327983181286,47.81239318847656,11045300
2026-04-15,48.355600960258535,49.59152855189703,47.74262370237989,49.407135009765625,13074000
2026-04-16,48.23101058048758,49.78588645752406,48.19114109083346,49.64634704589844,13420600
2026-04-17,50.17959022004894,51.031780618846774,49.60946715147564,50.643062591552734,18758600
2026-04-20,50.51348802723765,51.34075903373802,50.27427488914081,51.290924072265625,13091800
2026-04-21,51.83911412102644,52.12816220870923,50.58824029020431,50.71282958984375,13548100
2026-04-22,50.83243365465566,51.290921359413666,50.60318980227665,51.05171203613281,8569700
2026-04-23,50.578269962005514,50.71282853202101,49.008444058860945,49.58654022216797,11581400
2026-04-24,49.63637801573405,50.42378333052589,49.39716868096426,50.314144134521484,8259300
2026-04-27,50.21247608264567,50.3938811136104,49.234700266209614,49.606475830078125,7992800
2026-04-28,49.60647594413975,50.314142252765635,49.292512278185264,49.47690200805664,9761400
2026-04-29,49.24766071053379,51.699577339444254,49.05828633424301,50.77263259887695,18531700
2026-04-30,49.63837095854901,50.28922917194483,49.257626070791346,49.97526168823242,12519900
2026-05-01,50.40384685518195,50.74272990294144,50.119783403542655,50.27427291870117,8765800
2026-05-04,50.33407690532737,50.89223833483864,50.05499809165358,50.22443771362305,13649500
2026-05-05,45.22093071845123,46.561512786988686,44.36375573643458,46.33725357055664,39099400
2026-05-06,46.53161454339276,47.30406594551154,45.60466981911918,46.117977142333984,19820100
2026-05-07,46.27745105397321,46.990102019889335,45.99837223168341,46.06814193725586,14081600
2026-05-08,45.47011061093249,46.217646423222135,45.18106631982495,45.22093200683594,14073700
2026-05-11,45.066441003541875,45.37043919469261,44.88204747380932,44.92191696166992,18994500
2026-05-12,44.79234559943906,45.54985070363626,44.20428392729802,45.29070281982422,25493000
2026-05-13,44.81228083732946,45.58972069515149,44.43851291793015,45.08139419555664,15923800
2026-05-14,45.19103092324317,45.63955316243683,44.47339534053331,44.89201736450195,9719500
2026-05-15,44.64284022494611,45.08139320529569,44.23418746079924,44.26408767700195,16481200
2026-05-18,44.124546234820166,45.08637576744231,44.07471127605416,44.239166259765625,9478900
2026-05-19,44.23418534432869,44.872081940557145,43.66605845067748,43.68599319458008,13711800
2026-05-20,43.45176624165664,44.264087123028986,42.78895024159058,44.22920227050781,10991400
2026-05-21,44.04481026482509,44.543167490821965,43.685996255925005,44.154449462890625,10925200
2026-05-22,44.15444835561917,44.56310111860217,43.84546931663433,44.084678649902344,10691700
2026-05-26,44.054777325510344,44.29398665276063,43.720878913384816,44.01490783691406,13161000
2026-05-27,44.421570115870935,44.583036608634046,43.48665224147403,43.6162223815918,14170300
2026-05-28,43.56638705558549,44.43353135187717,43.17766903415451,44.31392288208008,17132700
2026-05-29,44.3936610084161,45.05149237099709,44.27903717760532,44.602970123291016,18833300
2026-06-01,44.38369161887709,45.83391291563708,44.05477783952934,45.04152297973633,16231000
2026-06-02,44.468413491849034,44.991686257170194,44.244150476285455,44.383689880371094,11441400
2026-06-03,44.19431667759479,44.353790829614724,42.175968495381674,42.470001220703125,19227300
2026-06-04,43.41999816894531,43.72999954223633,42.75,42.75,11255700
2026-06-05,41.88999938964844,42.4010009765625,41.06999969482422,41.290000915527344,23894900
2026-06-08,41.2599983215332,41.41999816894531,40.654998779296875,41.2599983215332,16778100
2026-06-09,41.165000915527344,42.2599983215332,41.06999969482422,41.459999084472656,17585000
2026-06-10,41.0,41.46500015258789,40.5099983215332,40.70000076293945,14669100
2026-06-11,40.5099983215332,41.2599983215332,40.20000076293945,41.2400016784668,14757100
2026-06-12,41.29499816894531,41.59000015258789,40.869998931884766,41.529998779296875,12304100
2026-06-15,42.358001708984375,43.34000015258789,42.099998474121094,42.4900016784668,22555300
2026-06-16,42.709999084472656,43.95000076293945,42.58000183105469,43.650001525878906,19507100
2026-06-17,43.59000015258789,44.7400016784668,42.04999923706055,42.08000183105469,19133700
2026-06-18,42.20000076293945,42.816001892089844,41.650001525878906,42.5099983215332,27215200
2026-06-22,42.60499954223633,43.33000183105469,42.07500076293945,42.34000015258789,13179000
2026-06-23,42.130001068115234,42.470001220703125,41.650001525878906,41.70000076293945,13930000
2026-06-24,41.68000030517578,43.380001068115234,41.68000030517578,42.47999954223633,15478100
2026-06-25,42.70000076293945,43.0,42.32500076293945,42.380001068115234,10371600
2026-06-26,42.279998779296875,44.380001068115234,42.209999084472656,44.290000915527344,33246300
2026-06-29,44.6349983215332,44.7400016784668,44.07500076293945,44.380001068115234,16684300
2026-06-30,44.56999969482422,44.56999969482422,42.2599983215332,43.18000030517578,14229600
2026-07-01,43.86000061035156,44.88999938964844,43.560001373291016,44.06999969482422,22969600
2026-07-02,44.404998779296875,45.4900016784668,44.404998779296875,45.470001220703125,14785400
2026-07-06,44.45000076293945,45.1349983215332,43.779998779296875,45.09000015258789,11504700
2026-07-07,45.43000030517578,46.064998626708984,45.31999969482422,45.650001525878906,10213900
2026-07-08,45.09000015258789,45.279998779296875,43.72999954223633,44.529998779296875,9601100
2026-07-09,43.869998931884766,45.380001068115234,43.81999969482422,45.31999969482422,9104900
2026-07-10,45.95000076293945,46.44499969482422,45.76499938964844,46.31999969482422,10639400
2026-07-13,46.900001525878906,48.43000030517578,46.28499984741211,47.650001525878906,20294200
2026-07-14,46.70000076293945,47.38999938964844,46.43000030517578,47.369998931884766,9416000
2026-07-15,54.845001220703125,55.880001068115234,53.439998626708984,55.52000045776367,90995100
2026-07-16,55.40999984741211,57.66999816894531,55.279998779296875,56.72999954223633,33840900
2026-07-17,56.4900016784668,57.16999816894531,55.689998626708984,56.560001373291016,19847300
2026-07-20,56.4900016784668,57.15999984741211,55.279998779296875,56.81999969482422,24700800
2026-07-21,56.040000915527344,56.90999984741211,55.0,55.849998474121094,15952100
2026-07-22,55.97999954223633,56.380001068115234,55.23500061035156,55.5099983215332,11187000
2026-07-23,55.474998474121094,56.08000183105469,54.935001373291016,56.0,13945300
2026-07-24,56.30799865722656,56.47999954223633,55.220001220703125,56.150001525878906,11763000
2026-07-27,56.36000061035156,56.584999084472656,55.47999954223633,56.06999969482422,14864400
2026-07-28,56.7599983215332,58.79999923706055,56.459999084472656,58.31999969482422,22908900
2026-07-29,58.099998474121094,59.470001220703125,58.0,58.349998474121094,18759500
2026-07-30,57.400001525878906,57.88999938964844,56.654998779296875,57.650001525878906,11974400
2026-07-31,57.11000061035156,57.56999969482422,56.56999969482422,57.209999084472656,9773000
2026-08-03,58.12799835205078,58.25,57.334999084472656,57.869998931884766,9303200
2026-08-04,57.20000076293945,58.560001373291016,57.18000030517578,58.540000915527344,10322200
2026-08-05,59.06800079345703,59.400001525878906,57.90999984741211,57.93000030517578,8523900
2026-08-06,58.290000915527344,59.790000915527344,58.099998474121094,59.779998779296875,10745200
