strategy,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07
L1+L4_min,1483.5604752417712,2778.718592975063,2601.3566164766016,-2261.1542164286366,-50.329961708666815,386.4161948423134,-688.8865557256795,0.0,929.9200114401247,5811.213943800663,-3261.109689757468,0.0
L1+L4_min_RSspy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.9561774399117,4717.0909601109815,-2518.1513542723624,0.0
L1_time_only,1483.5604752417858,2778.718592975085,2601.3566164766235,-2663.8657211202226,-49.95876146163209,383.5662465784844,-683.8057877100582,0.0,923.0615413307096,5768.354303570719,-3237.0579185776223,0.0
L4_regime_only,1483.5604752417494,2778.718592975085,2601.3566164766235,-2261.1542164286366,-758.6901230708609,494.2563046770738,-681.3565052119811,0.0,1049.615016218093,5761.369102156677,-3533.2871537718747,0.0
QQQ_buy_hold,1483.560475241764,2778.7185929750704,2601.3566164765944,-852.0060355255046,-362.47434822838113,693.055899715604,-1311.1661169184154,-2649.7667412537485,8231.450044506564,6383.401202400171,-139.15796587329532,-4407.760779228694
S12_RS_vs_QQQ_broken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S12_RS_vs_SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.3737154050177,5294.095632357254,-2545.1968350243405,0.0
S12_no_RS,1483.5604752417858,2778.7185929750704,2601.3566164765944,-2663.86572112023,-1097.9942002762546,661.3307745482816,-674.1471945404628,0.0,1688.1956500052765,5768.830513879497,-4618.280016450051,0.0
