strategy,month,pnl_usd,pnl_pct
QQQ_buy_hold,2025-08,1483.560475241764,0.029671209504835278
QQQ_buy_hold,2025-09,2778.7185929750704,0.055574371859501405
QQQ_buy_hold,2025-10,2601.3566164765944,0.052027132329531885
QQQ_buy_hold,2025-11,-852.0060355255046,-0.01704012071051009
QQQ_buy_hold,2025-12,-362.47434822838113,-0.007249486964567622
QQQ_buy_hold,2026-01,693.055899715604,0.01386111799431208
QQQ_buy_hold,2026-02,-1311.1661169184154,-0.026223322338368306
QQQ_buy_hold,2026-03,-2649.7667412537485,-0.05299533482507497
QQQ_buy_hold,2026-04,8231.450044506564,0.16462900089013127
QQQ_buy_hold,2026-05,6383.401202400171,0.12766802404800343
QQQ_buy_hold,2026-06,-139.15796587329532,-0.0027831593174659063
QQQ_buy_hold,2026-07,-4407.760779228694,-0.08815521558457388
S12_no_RS,2025-08,1483.5604752417858,0.029671209504835715
S12_no_RS,2025-09,2778.7185929750704,0.055574371859501405
S12_no_RS,2025-10,2601.3566164765944,0.052027132329531885
S12_no_RS,2025-11,-2663.86572112023,-0.0532773144224046
S12_no_RS,2025-12,-1097.9942002762546,-0.02195988400552509
S12_no_RS,2026-01,661.3307745482816,0.013226615490965633
S12_no_RS,2026-02,-674.1471945404628,-0.013482943890809257
S12_no_RS,2026-03,0.0,0.0
S12_no_RS,2026-04,1688.1956500052765,0.03376391300010553
S12_no_RS,2026-05,5768.830513879497,0.11537661027758993
S12_no_RS,2026-06,-4618.280016450051,-0.09236560032900103
S12_no_RS,2026-07,0.0,0.0
S12_RS_vs_SPY,2025-08,0.0,0.0
S12_RS_vs_SPY,2025-09,0.0,0.0
S12_RS_vs_SPY,2025-10,0.0,0.0
S12_RS_vs_SPY,2025-11,0.0,0.0
S12_RS_vs_SPY,2025-12,0.0,0.0
S12_RS_vs_SPY,2026-01,0.0,0.0
S12_RS_vs_SPY,2026-02,0.0,0.0
S12_RS_vs_SPY,2026-03,0.0,0.0
S12_RS_vs_SPY,2026-04,269.3737154050177,0.005387474308100354
S12_RS_vs_SPY,2026-05,5294.095632357254,0.10588191264714507
S12_RS_vs_SPY,2026-06,-2545.1968350243405,-0.05090393670048681
S12_RS_vs_SPY,2026-07,0.0,0.0
S12_RS_vs_QQQ_broken,2025-08,0.0,0.0
S12_RS_vs_QQQ_broken,2025-09,0.0,0.0
S12_RS_vs_QQQ_broken,2025-10,0.0,0.0
S12_RS_vs_QQQ_broken,2025-11,0.0,0.0
S12_RS_vs_QQQ_broken,2025-12,0.0,0.0
S12_RS_vs_QQQ_broken,2026-01,0.0,0.0
S12_RS_vs_QQQ_broken,2026-02,0.0,0.0
S12_RS_vs_QQQ_broken,2026-03,0.0,0.0
S12_RS_vs_QQQ_broken,2026-04,0.0,0.0
S12_RS_vs_QQQ_broken,2026-05,0.0,0.0
S12_RS_vs_QQQ_broken,2026-06,0.0,0.0
S12_RS_vs_QQQ_broken,2026-07,0.0,0.0
L1_time_only,2025-08,1483.5604752417858,0.029671209504835715
L1_time_only,2025-09,2778.718592975085,0.055574371859501696
L1_time_only,2025-10,2601.3566164766235,0.05202713232953247
L1_time_only,2025-11,-2663.8657211202226,-0.05327731442240445
L1_time_only,2025-12,-49.95876146163209,-0.000999175229232642
L1_time_only,2026-01,383.5662465784844,0.007671324931569689
L1_time_only,2026-02,-683.8057877100582,-0.013676115754201164
L1_time_only,2026-03,0.0,0.0
L1_time_only,2026-04,923.0615413307096,0.018461230826614192
L1_time_only,2026-05,5768.354303570719,0.11536708607141438
L1_time_only,2026-06,-3237.0579185776223,-0.06474115837155245
L1_time_only,2026-07,0.0,0.0
