strategy,total_return,total_pnl_usd,max_drawdown,sharpe,avg_exposure,n_trades,vs_qqq
QQQ_buy_hold,0.24898421688575456,12449.210844287729,-0.11812826394228804,1.2566252131145674,1.0,1,0.0
L1+L4_min,0.1545941082231217,7729.705411156085,-0.08213984795868023,1.2190314508406355,0.545816733067729,18,-0.09439010866263287
L1_time_only,0.1460785917460774,7303.92958730387,-0.08890937258440335,1.1490190977899573,0.5517928286852589,16,-0.10290562513967716
L4_regime_only,0.13868776218523893,6934.388109261947,-0.09217275287157589,1.0876516998007728,0.5677290836653387,19,-0.11029645470051563
S12_no_RS,0.1185541098147902,5927.7054907395095,-0.1017783097431535,0.9136137550549301,0.6055776892430279,10,-0.13043010707096436
S12_RS_vs_SPY,0.06036545025475859,3018.2725127379294,-0.05586028272700094,0.8584625585515256,0.11553784860557768,2,-0.18861876663099597
L1+L4_min_RSspy,0.049097915665570646,2454.8957832785322,-0.05586028272700072,0.7343916502368766,0.099601593625498,4,-0.19988630122018392
S12_RS_vs_QQQ_broken,0.0,0.0,0.0,0.0,0.0,0,-0.24898421688575456
