month,equity_end,pnl_usd,ret
2025-01,49888.17,-111.83,-0.002236559224000234
2025-02,49080.95,-807.22,-0.016180606390472585
2025-03,49080.95,0.0,0.0
2025-04,49080.95,0.0,0.0
2025-05,51672.61,2591.66,0.052803856216367295
2025-06,51979.26,306.65,0.005934409510084837
2025-07,51628.23,-351.03,-0.006753215244326705
2025-08,51085.48,-542.76,-0.010512801922024084
2025-09,54034.0,2948.53,0.057717508708402754
2025-10,53652.86,-381.14,-0.007053695013586658
2025-11,53108.9,-543.96,-0.010138592096796017
2025-12,54245.18,1136.28,0.021395285530910746
2026-01,54050.97,-194.21,-0.00358021858683244
2026-02,54130.01,79.04,0.001462327898842375
2026-03,54130.01,0.0,0.0
2026-04,54814.47,684.46,0.012644709789654263
2026-05,54373.92,-440.55,-0.00803706070772825
2026-06,57442.45,3068.53,0.05643382370665839
2026-07,56120.55,-1321.9,-0.02301253475119902
2026-08,55501.86,-618.7,-0.011024436765115442
