total_return,max_drawdown,sharpe,end_equity,variant,avg_exposure,n_trades,n_enters,vs_soxx_pp,beat_soxx,dd_improve_pp,ret_vs_base_pp,soxx_bh_return,soxx_bh_dd
1.9414446041907918,-0.23749977209342743,1.6236352793220585,147072.2302095396,G1_weaken_flat,0.64,58,54,42.589267608272195,True,11.347437695830664,-87.55203489283483,1.5155519281080698,-0.3421346922913465
1.6797237888973409,-0.25719047365633496,1.83287481086464,133986.18944486705,G1_entry70,0.427875,62,48,16.417186078927102,True,9.378367539539912,-113.72411642217992,1.5155519281080698,-0.3421346922913465
1.9168213598457107,-0.2824181163110162,1.672661749565888,145841.06799228553,G1_soft5_hard10,0.4975,69,49,40.12694317376408,True,6.855603274071786,-90.01435932734294,1.5155519281080698,-0.3421346922913465
2.3207286274825725,-0.28241811631101643,1.8361727599630069,166036.43137412862,G1_soft7_hard12,0.5725,67,48,80.51766993745026,True,6.855603274071765,-49.62363256365676,1.5155519281080698,-0.3421346922913465
1.7106119649785656,-0.28454540803348216,1.594458658139327,135530.5982489283,G1_soft5_hard8,0.5375,76,53,19.506003687049578,True,6.642874101825191,-110.63529881405745,1.5155519281080698,-0.3421346922913465
2.081565140415624,-0.2845454080334824,1.7822647272368008,154078.2570207812,G1_dd7,0.595,75,58,56.60132123075541,True,6.64287410182517,-73.53998127035162,1.5155519281080698,-0.3421346922913465
2.0289367942581453,-0.28948362152069285,1.8329855581390677,151446.83971290727,G1_entry80,0.48899999999999993,62,48,51.338486615007554,True,6.149052753104122,-78.80281588609948,1.5155519281080698,-0.3421346922913465
2.81696495311914,-0.3509741490517341,1.833072121484487,190848.247655957,G1_base,0.61125,62,48,130.14130250110702,True,0.0,0.0,1.5155519281080698,-0.3421346922913465
0.9528539904596851,-0.1855111138108979,1.338944070240943,97642.69952298426,G1_entry80_cd3,0.424,57,41,-56.26979376483847,False,16.546303524083616,-186.4110962659455,1.5155519281080698,-0.3421346922913465
0.7607731187134841,-0.1855111138108979,1.31285026382541,88038.65593567421,G1_soft5_entry80_cd3,0.348,66,47,-75.47788093945857,False,16.546303524083616,-205.61918344056556,1.5155519281080698,-0.3421346922913465
1.4447912022248461,-0.1930943130099464,1.6236194012758653,122239.5601112423,G1_entry80_weakenflat,0.512,58,54,-7.0760725883223685,False,15.787983604178768,-137.2173750894294,1.5155519281080698,-0.3421346922913465
1.1950183085035349,-0.20445747633982791,1.672405125125604,109750.91542517675,G1_soft5_entry70,0.34825,69,49,-32.0533619604535,False,14.651667271190616,-162.19466446156054,1.5155519281080698,-0.3421346922913465
1.3599251977138063,-0.22383403570161742,1.8327028573472863,117996.25988569032,G1_entry60,0.36674999999999996,62,48,-15.562673039426356,False,12.714011335011666,-145.70397554053338,1.5155519281080698,-0.3421346922913465
1.2367787122923986,-0.22808281836984612,1.3390957356408053,111838.93561461993,G1_cooldown3,0.53,57,41,-27.877321581567127,False,12.289133068188796,-158.01862408267417,1.5155519281080698,-0.3421346922913465
1.421771518833999,-0.2310605124364219,1.6725348177180788,121088.57594169995,G1_soft5_entry80,0.39799999999999996,69,49,-9.378040927407083,False,11.991363661531217,-139.5193434285141,1.5155519281080698,-0.3421346922913465
0.9200993277860205,-0.28454540803348227,1.1452282844312256,96004.96638930103,G1_dd5,0.56625,89,71,-59.54526003220493,False,6.64287410182518,-189.68656253331196,1.5155519281080698,-0.3421346922913465
0.6737768462918885,-0.30259064519617374,1.0058654823329016,83688.84231459443,G1_cooldown5,0.42875,58,40,-84.17750818161814,False,4.8383503855560335,-214.31881068272514,1.5155519281080698,-0.3421346922913465
