strategy,month,pnl_usd
DIA_buy_hold,2025-01,2571.0945223280214
DIA_buy_hold,2025-02,-745.6835697452334
DIA_buy_hold,2025-03,-2089.2675593567546
DIA_buy_hold,2025-04,-1479.8482182290172
DIA_buy_hold,2025-05,1994.6771954411815
DIA_buy_hold,2025-06,2258.141955734878
DIA_buy_hold,2025-07,101.70859117885266
DIA_buy_hold,2025-08,1785.6204843247906
DIA_buy_hold,2025-09,1071.3997704842186
DIA_buy_hold,2025-10,1456.4887326847092
DIA_buy_hold,2025-11,253.6474588130368
DIA_buy_hold,2025-12,533.602967336039
DIA_buy_hold,2026-01,1036.950429147888
DIA_buy_hold,2026-02,143.1685314857168
DIA_buy_hold,2026-03,-3044.1976565598234
DIA_buy_hold,2026-04,4072.5008314376973
DIA_buy_hold,2026-05,1740.0425013921267
DIA_buy_hold,2026-06,1571.5409632639057
DIA_buy_hold,2026-07,249.6330186632913
DIA_buy_hold,2026-08,1675.023750348293
S12_full,2025-01,-211.64663037556602
S12_full,2025-02,-706.2123665055187
S12_full,2025-03,-720.2749269259366
S12_full,2025-04,0.0
S12_full,2025-05,-973.871727350961
S12_full,2025-06,1329.1973604370942
S12_full,2025-07,94.36374996084487
S12_full,2025-08,1656.67268570757
S12_full,2025-09,994.0291068657461
S12_full,2025-10,1351.3090388812416
S12_full,2025-11,-451.8827603574173
S12_full,2025-12,259.5339978013144
S12_full,2026-01,945.4877494977482
S12_full,2026-02,-240.65041838569596
S12_full,2026-03,-21.330421943705005
S12_full,2026-04,846.2352737719557
S12_full,2026-05,471.4026323616563
S12_full,2026-06,800.2148560363567
S12_full,2026-07,218.80369766242802
S12_full,2026-08,1468.160711315686
L1+L4,2025-01,-107.0819144463967
L1+L4,2025-02,-1011.8518671063721
L1+L4,2025-03,-717.3241769611632
L1+L4,2025-04,0.0
L1+L4,2025-05,-242.5418416450848
L1+L4,2025-06,1709.0311478133444
L1+L4,2025-07,96.13228055789659
L1+L4,2025-08,1687.7214341430517
L1+L4,2025-09,1012.6588337531794
L1+L4,2025-10,1376.6347744769082
L1+L4,2025-11,-460.351780381563
L1+L4,2025-12,-46.57989097179234
L1+L4,2026-01,932.0466007059804
L1+L4,2026-02,728.903323317194
L1+L4,2026-03,-10.991479384654667
L1+L4,2026-04,218.0744152812622
L1+L4,2026-05,1208.1811419882797
L1+L4,2026-06,-285.9533512179041
L1+L4,2026-07,-198.60387674990488
L1+L4,2026-08,1094.4368077687468
