datetime,DIA_buy_hold,S12_full,L1+L4
2025-01-02,50000.0,50000.0,50000.0
2025-01-03,50395.67574310022,50000.0,50000.0
2025-01-06,50392.94712807108,50000.0,50000.0
2025-01-07,50182.31874378292,50000.0,50000.0
2025-01-08,50276.685860778314,50000.0,50000.0
2025-01-10,49471.85586126024,50000.0,50000.0
2025-01-13,49900.79378237075,50000.0,50000.0
2025-01-14,50159.01691977688,50000.0,50000.0
2025-01-15,50994.296057204534,50000.0,50000.0
2025-01-16,50914.055200123556,50000.0,50000.0
2025-01-17,51305.965238173936,50000.0,50000.0
2025-01-21,51939.264191654955,50000.0,50000.0
2025-01-22,52078.60519457129,50000.0,50000.0
2025-01-23,52562.23563831705,50000.0,50000.0
2025-01-24,52413.42411865136,50000.0,50000.0
2025-01-27,52773.513293150085,50000.0,50000.0
2025-01-28,52925.74185221205,50124.22818338468,50031.05704584617
2025-01-29,52780.51302474322,49986.6867407502,49996.73560084838
2025-01-30,52974.46831495807,50170.375412535876,50083.59872671496
2025-01-31,52571.09452232802,49788.353369624434,49892.9180855536
2025-02-03,52446.13422236339,49670.00758229884,49833.62091791108
2025-02-04,52594.88979369378,49810.88908797021,49904.29370305552
2025-02-05,52965.416353638706,50161.80259789408,50080.07947183274
2025-02-06,52811.125656958815,50015.678957179676,49924.17787845321
2025-02-07,52311.1058843825,49542.126687533564,49451.49194801131
2025-02-10,52507.81800693721,49728.42626449373,49534.581025417065
2025-02-11,52665.88650745584,49878.12773888638,49673.79203571715
2025-02-12,52374.40479557823,49602.07500299401,49398.87020494207
2025-02-13,52802.0991265439,50007.13022731047,49802.266039705726
2025-02-14,52628.49697270057,49842.71734110722,49638.52670369845
2025-02-18,52643.92887117084,49857.332384244204,49653.08187339487
2025-02-19,52733.045403261094,49941.7317187283,49737.135449163856
2025-02-20,52226.69031286192,49462.179478084065,49259.547789965254
2025-02-21,51326.86063941354,48609.98041011349,48410.83992552791
2025-02-24,51372.37986170175,48653.09016738577,48453.773075077224
2025-02-25,51561.37429069188,48832.08057078043,48632.03020856791
2025-02-26,51349.93333921459,48631.83180471204,48432.60180152819
2025-02-27,51114.716083918356,48409.06528383718,48210.74788815784
2025-02-28,51825.41095258279,49082.141003118915,48881.06621844723
2025-03-03,51085.312971309075,48381.218563618415,48183.0152475851
2025-03-04,50311.73622940936,48361.86607619298,48163.74204148607
2025-03-05,50891.54751792877,48361.86607619298,48163.74204148607
2025-03-06,50350.94918319242,48361.86607619298,48163.74204148607
2025-03-07,50632.05194864186,48361.86607619298,48163.74204148607
2025-03-10,49589.884644985206,48361.86607619298,48163.74204148607
2025-03-11,49027.284737145186,48361.86607619298,48163.74204148607
2025-03-12,48935.80386949853,48361.86607619298,48163.74204148607
2025-03-13,48323.83605102594,48361.86607619298,48163.74204148607
2025-03-14,49099.020915567045,48361.86607619298,48163.74204148607
2025-03-17,49554.62656139774,48361.86607619298,48163.74204148607
2025-03-18,49237.400109567585,48361.86607619298,48163.74204148607
2025-03-19,49696.37593020383,48361.86607619298,48163.74204148607
2025-03-20,49662.47151034928,48361.86607619298,48163.74204148607
2025-03-21,49701.44279166445,48361.86607619298,48163.74204148607
2025-03-24,50394.470612217134,48361.86607619298,48163.74204148607
