,SPY,QQQ,SMH
2025-01-02,20000.0,14947.444043000001,15009.784407220432
2025-01-03,20000.0,15114.412424300002,15440.933851800512
2025-01-06,19775.052405341983,15285.9474243,15948.703749261445
2025-01-07,20078.243796333194,15016.5374243,15572.283598504611
2025-01-08,19853.334461409373,15019.1184243,15462.21627672727
2025-01-10,19853.334461409373,14892.620368900001,15155.122007928441
2025-01-13,19853.334461409373,14910.791308200001,15000.662703118871
2025-01-14,19853.334461409373,14910.791308200001,15049.312101922582
2025-01-15,19853.334461409373,14910.791308200001,15400.19055040891
2025-01-16,19853.334461409373,14907.9873762,15465.864958367894
2025-01-17,19853.334461409373,15170.9612502,15828.297255120824
2025-01-21,20222.185616276325,14615.9125202,16080.054426751683
2025-01-22,20079.557717106403,14466.112520199998,16370.731489739965
2025-01-23,20204.802557445295,14429.155767699998,16351.270613275121
2025-01-24,20506.939628993325,14829.180072099996,16027.75727709348
2025-01-27,20646.137184535317,14797.900072099997,14463.703352532932
2025-01-28,20751.736694728188,14823.695042099996,14583.677250621644
2025-01-29,20679.735229884438,14655.805450099997,14583.677250621644
2025-01-30,20790.13446084147,14742.205450099997,14583.677250621644
2025-01-31,20653.335823451333,14724.925450099996,14583.677250621644
2025-02-03,20475.74050179606,14538.445450099996,14583.677250621644
2025-02-04,20396.540398036293,14464.259754099996,14583.677250621644
2025-02-05,20607.739418422036,14464.259754099996,14583.677250621644
2025-02-06,20766.13397256022,14214.661724099995,14583.677250621644
2025-02-07,20706.138405238442,13959.292456099998,14583.677250621644
2025-02-10,20437.33896676188,14502.416212099997,14583.677250621644
2025-02-11,20550.139000331215,14466.146212099997,14704.772309565595
2025-02-12,20506.937744532876,14268.056212099997,14624.781647944501
2025-02-13,20881.33292428141,14342.766212099996,14825.347077632001
2025-02-14,21111.728943263344,13870.636212099995,14864.166657710126
2025-02-18,21366.125450526528,14011.066212099997,15078.260422968915
2025-02-19,21224.52520791178,14070.896212099997,15144.135773921063
2025-02-20,22013.679619677096,14128.866212099996,15171.190644526532
2025-02-21,22571.689863819287,14126.076212099995,14711.8313153029
2025-02-24,21657.610776686102,13935.359287699996,14325.402741694501
2025-02-25,21021.594889542775,13912.238563899995,14277.19353350075
2025-02-26,21021.594889542775,13912.238563899995,14277.19353350075
2025-02-27,21021.594889542775,13912.238563899995,14277.19353350075
2025-02-28,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-03,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-04,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-05,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-06,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-07,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-10,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-11,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-12,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-13,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-14,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-17,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-18,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-19,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-20,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-21,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-24,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-25,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-26,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-27,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-28,21021.594889542775,13912.238563899995,14277.19353350075
2025-03-31,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-01,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-02,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-03,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-04,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-07,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-08,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-09,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-10,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-11,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-14,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-15,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-16,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-17,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-21,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-22,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-23,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-24,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-25,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-28,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-29,21021.594889542775,13912.238563899995,14277.19353350075
2025-04-30,21021.594889542775,13912.238563899995,14277.19353350075
2025-05-01,21021.594889542775,13912.238563899995,14277.19353350075
2025-05-02,21087.381334936108,13969.857744299996,14277.19353350075
2025-05-05,20968.80021921345,13889.133744299994,14308.37275091826
2025-05-06,20796.95030466267,13763.329744299994,14177.480111758105
2025-05-07,20882.69346872517,13815.941744299995,14464.53699652373
2025-05-08,21025.354845678296,13954.821744299994,14589.597726504198
2025-05-09,20999.086290990796,13945.917744299995,14683.554940859665
2025-05-12,21679.561998998608,14499.281744299995,15591.380868594044
2025-05-13,21820.0350824947,14714.713744299996,16119.487023989548
2025-05-14,21847.40117136189,14800.729744299995,16276.947580019823
2025-05-15,21952.11857858845,14816.577744299995,16221.22110907256
2025-05-16,22088.576403295483,14879.493744299994,16175.214486758105
2025-05-19,22112.29307810017,14893.409744299994,16148.646569887987
2025-05-20,22039.318346654858,14844.969744299997,16118.190713564743
2025-05-21,21674.8173090572,14643.733744299994,15854.46245733916
2025-05-22,21683.211413061108,14670.445744299994,15811.69512335478
2025-05-23,21537.991381322827,14537.949744299995,15593.324838320605
2025-05-27,21977.294115697827,14871.429744299994,16081.256280581349
2025-05-28,21852.507189428296,14807.113744299993,15912.132898012987
2025-05-29,21937.15733591267,14835.505744299993,16023.585839907519
2025-05-30,21913.07481638142,14812.685744299995,15743.008523623339
2025-06-02,22034.21232858845,14926.813744299996,15973.043618838183
2025-06-03,22157.535875951733,15040.661744299994,16328.786111513964
2025-06-04,22151.6981684322,15081.569744299994,16520.589471499312
2025-06-05,22046.614916479077,14970.801744299994,16491.429925600878
2025-06-06,22268.82042185017,15113.573744299994,16584.09182135283
2025-06-09,22288.519579565014,15135.301744299994,16858.187585512987
2025-06-10,22412.579332982983,15232.993744299994,17189.30910650908
2025-06-11,22349.818895971264,15182.901744299994,17176.99663702666
2025-06-12,22437.02092233845,15217.677744299994,17259.290033022753
2025-06-13,22190.73967233845,15031.197744299994,16860.131555239546
2025-06-16,22397.983935033764,15235.233744299996,17274.195123354784
2025-06-17,22210.079760229077,15090.193744299993,17158.20559088408
2025-06-18,22206.791674291577,15087.701744299995,17223.003259341112
2025-06-20,22155.59825388142,15027.585744299995,17072.67092291533
2025-06-23,22370.40556589314,15178.113744299993,17179.58925787627
2025-06-24,22613.028368627514,15404.661744299994,17802.948938052046
2025-06-25,22625.4716059322,15443.105744299995,18040.111261050097
2025-06-26,22799.295275365796,15584.113744299993,18169.708581606737
2025-06-27,22910.54143015095,15636.221744299994,18248.762689272753
2025-06-30,23018.129137670483,15735.145744299993,18278.56890265166
2025-07-01,23010.812243139233,15605.561744299996,18081.581292788378
2025-07-02,23113.27812448689,15711.737744299993,18432.14052740752
2025-07-03,23292.223620092358,15862.769744299992,18585.714135805956
2025-07-07,23121.692553197827,15746.009744299994,18335.59267584502
2025-07-08,23109.25157419392,15754.661744299994,18576.64293829619
2025-07-09,23245.38194528767,15863.609744299996,18702.352319399706
2025-07-10,23309.78868356892,15841.321744299994,18838.426232973925
2025-07-11,23229.278002416577,15806.489744299994,18836.482263247362
2025-07-14,23272.8270746822,15862.489744299994,18695.87175909697
2025-07-15,23175.12169138142,15876.713744299996,19050.965600649706
2025-07-16,23251.23771921345,15892.589744299996,18952.471795718066
2025-07-17,23391.028795873608,16018.253744299993,19109.931359927046
2025-07-18,23374.19542185017,16003.217744299996,19019.215417544237
2025-07-21,23417.742235815014,16084.305744299994,19032.174554507128
2025-07-22,23421.037096654858,16002.937744299996,18699.111047427046
2025-07-23,23616.815966283764,16074.281744299995,18779.46047369658
2025-07-24,23624.500963842358,16107.713744299996,18856.570611636034
2025-07-25,23722.574450170483,16145.597744299994,18836.482263247362
2025-07-28,23716.7186762447,16194.933744299995,19090.493646304003
2025-07-29,23655.240954076733,16170.405744299995,19187.041497866503
2025-07-30,23625.964342748608,16191.601744299995,19404.766107241503
2025-07-31,23538.87071481892,16107.713744299996,18920.072961489546
2025-08-01,23159.74717966267,15797.557744299995,18607.097802798144
2025-08-04,23505.567553197827,16082.345744299997,19011.439538637987
2025-08-05,23388.46562448689,15975.637744299995,18811.212640444628
2025-08-06,23564.48662058064,16172.085744299995,18780.109124819628
2025-08-07,23545.090075170483,16225.593744299997,19071.700616518847
2025-08-08,23725.501207982983,16373.545744299996,19227.864862124316
2025-08-11,23679.39122263142,16326.169744299996,19219.44033209502
2025-08-12,23777.85162311216,16526.817744299995,19653.590264956347
2025-08-13,24294.45365146665,16534.881744299993,19730.05373541533
2025-08-14,24106.892860451026,16522.365744299994,19771.523767153612
2025-08-15,24083.491981544776,16527.5473565,19365.238061587206
2025-08-18,24065.131629982276,16674.057356499998,19443.643518130175
2025-08-19,24267.631629982276,16458.5473565,19055.502191225878
2025-08-20,24165.212684669776,16425.657356499996,18931.736779848925
2025-08-21,23465.37259677915,16474.4173565,18834.538293520796
2025-08-22,24247.4717178729,16521.7973565,19234.994073550097
2025-08-25,23677.4131241229,16419.677356499997,19253.138452212206
2025-08-26,23587.23294834165,16461.704192499994,19436.51629034697
2025-08-27,23595.6924209979,16486.232192499992,19495.482049624316
2025-08-28,23638.911756828587,16586.276192499994,19574.53615729033
2025-08-29,23785.55296166257,16530.625488099995,19017.92009894072
2025-09-02,23699.073133781712,16346.665488099996,18771.037927309862
2025-09-03,23715.521986320775,15912.553488099995,18767.796655337206
2025-09-04,23970.26261742429,16239.649488099996,18990.05388800322
2025-09-05,23634.681928947728,16268.589262499994,19211.666436831347
2025-09-08,23353.152387932103,16268.589262499994,19421.61120001494
2025-09-09,23303.332502678197,16362.962777999994,19505.201898257128
2025-09-10,23179.251814201634,16639.017777999994,19700.892205874316
2025-09-11,23500.26261742429,17905.987777999995,19901.76775519072
2025-09-12,23351.271986320775,18118.80277799999,19927.041345278612
2025-09-15,23247.872846916478,18465.53777799999,20111.71648565947
2025-09-16,23222.021986320775,18659.752777999995,20114.307122866503
2025-09-17,23285.001814201634,18880.317777999997,19987.30242315947
2025-09-18,23198.99244530515,19561.542777999995,20746.739984194628
2025-09-19,22927.345961681807,19654.07777799999,20665.093255679003
2025-09-22,23320.15996168181,20467.982777999998,21083.69143072783
2025-09-23,23294.166961681807,19936.646614099995,21053.236566225878
2025-09-24,23844.46796168181,19707.818157299997,21015.003839175097
2025-09-25,23314.738961681807,19678.7121573,21011.76455084502
2025-09-26,23248.99196168181,19709.358157299997,21061.012445132128
2025-09-29,22715.09296168181,20132.858157299997,21115.441613833296
2025-09-30,22860.208961681812,20564.0581573,21355.194574038378
2025-10-01,22878.00096168181,21928.3441573,21830.16787115752
2025-10-02,23201.03696168181,22572.9881573,22125.000634829394
2025-10-03,23246.21196168181,22391.8841573,22023.914209048144
2025-10-06,23169.62296168181,22904.396157299998,22458.06414190947
2025-10-07,23211.29758067375,22732.279056899995,22047.89049688994
2025-10-08,23345.842868759686,23508.693556299997,22632.372766177046
2025-10-09,23832.029818513707,23330.747702700002,22576.644311587206
2025-10-10,21495.121829011754,22528.073702700003,21289.10158697783
2025-10-13,24734.221270540074,23001.7437027,22222.845788637987
2025-10-14,23394.661326387242,22849.8957027,21817.857385317675
2025-10-15,26507.491717317418,23033.4357807,22354.38707892119
2025-10-16,26502.00194070609,23262.1317807,22452.878900210253
2025-10-17,25749.871829011754,23419.8477807,22422.424035708296
2025-10-20,27191.909930208043,23409.2397807,22706.890283266894
2025-10-21,27420.659930208043,23339.5077807,22582.476220766894
2025-10-22,26992.44060037406,23316.731780700004,22148.328271548144
2025-10-23,30670.741717317418,23534.252012700003,22550.077386538378
2025-10-24,34167.87182901175,23644.41256390001,22960.901666323534
2025-10-27,32398.262164094762,23673.5028967,23531.12551275908
2025-10-28,32222.580935457067,23851.546896699998,23736.53566900908
2025-10-29,37498.47127054008,23956.6268967,24092.92681280791
2025-10-30,35935.65249917777,23598.281896700002,23776.71236578643
2025-10-31,36577.981493928746,23709.6148967,23730.703759829394
2025-11-03,37983.42015359672,23820.6148967,23930.283990542284
2025-11-04,35706.90249917777,23347.6068967,23065.87404791533
2025-11-05,39720.09115884574,22447.763457400008,23502.61461798369
2025-11-06,38107.86160562308,21706.893457400005,22957.660394350878
2025-11-07,43925.43037698538,21540.952957400004,22765.20937506377
2025-11-10,49135.44339273246,21410.9360976,23456.607995669237
2025-11-11,49799.72870157035,21516.0900976,22955.06777350127
2025-11-12,51907.8922757891,21499.2180976,23245.36394659697
2025-11-13,44673.90249917777,21187.382097600002,22551.37468878447
2025-11-14,46611.87182901175,21321.643155,22561.74318854033
2025-11-17,48756.632052400426,21140.308155,22258.48391119658
2025-11-18,47142.383507237464,20991.0298145,21804.249597231737
2025-11-19,47142.383507237464,20991.0298145,22202.759423891894
2025-11-20,47142.383507237464,20991.0298145,21273.54982916533
2025-11-21,47142.383507237464,20991.0298145,21340.293450991503
2025-11-24,47142.383507237464,20991.0298145,22182.022424380175
2025-11-25,47142.383507237464,20991.0298145,22239.69484869658
2025-11-26,44845.916510753086,21042.3487035,22738.640466372362
2025-11-28,46559.83765333121,21211.056703500002,23034.77053229033
2025-12-01,44243.22373890423,21140.574703500002,23078.83318487822
2025-12-02,42980.64392160245,21304.216703500002,23498.07802740752
2025-12-03,40687.913666475506,21355.6927035,23818.182397524706
2025-12-04,44644.28213571378,21336.040703500003,23638.69051520049
2025-12-05,47812.72290109465,21422.0947035,23821.423669497366
2025-12-08,47185.72290109465,21381.4647035,24089.038873354784
2025-12-09,47527.69617921468,21407.5427035,24118.19841925322
2025-12-10,48480.628313292385,21494.276703500003,24448.67128912627
2025-12-11,48593.2905447377,21425.4947035,24240.66851202666
2025-12-12,48071.50728057754,21020.3167035,23153.999353091112
2025-12-15,47998.97755645645,20915.970703500003,23074.945245425097
2025-12-16,47868.00197051895,20956.974703500004,23012.738214175097
2025-12-17,47341.98921417129,20572.808703500003,22189.798303286425
2025-12-18,47762.049440257004,20867.520703500002,22708.834252993456
2025-12-19,48024.23602900542,21136.5287035,23290.723901430956
2025-12-22,46565.14589633303,21234.958703500004,23588.099694887987
2025-12-23,47308.19412936526,21333.3207035,23812.999139468066
2025-12-24,47013.035411169156,21395.064703500004,23878.64977423369
2025-12-26,45810.86378025644,21393.704703500003,23988.49794928252
2025-12-29,43686.143351789644,21291.2627035,23881.248346011034
2025-12-30,43839.96423685853,21242.4047035,23822.74874273955
2025-12-31,43227.43953387266,21068.7667035,23616.04921881377
2026-01-02,45277.27824847227,21028.4087035,24472.09810797393
2026-01-05,41877.2585341168,21193.5807035,24750.948663393847
2026-01-06,40632.064943487916,21377.7587035,25402.898584048144
2026-01-07,42060.55001286776,21245.869069500004,25233.898187319628
2026-01-08,39816.191309254486,20292.0754611,24841.299615542284
2026-01-09,40186.42205790301,20866.2190105,25506.89898077666
2026-01-12,39607.91986063738,21119.0340827,25600.499139468066
2026-01-13,38588.30694559832,20647.199082700005,25657.048822085253
2026-01-14,38635.2771302214,20052.015209,25450.34929815947
2026-01-15,40202.19896352392,20180.535208999998,25974.249139468066
2026-01-16,38511.41842646019,20789.8008822,26232.949853579394
2026-01-20,42184.91842646019,20917.9938822,25582.949853579394
2026-01-21,43093.21965064843,21356.625977599997,26333.04842535674
2026-01-22,42164.466575511404,21397.9411858,26390.89937750518
2026-01-23,42162.68755329461,21507.598185799998,26213.448663393847
2026-01-26,42341.51323688836,20948.2891858,26130.89937750518
2026-01-27,43097.749778636404,22068.5501858,26678.848901430956
2026-01-28,43276.57817829461,23394.8751858,27288.54921881377
2026-01-29,43467.85973347039,23421.9051858,27346.398187319628
2026-01-30,42684.935142405935,22314.311185799997,26432.498346011034
2026-02-02,47981.050734025186,23528.329185799998,26725.64898077666
2026-02-03,50874.111887589715,23326.719597699997,26056.79842535674
2026-02-04,48375.86164344909,23913.688381699998,25038.898187319628
2026-02-05,49742.984934464715,23913.688381699998,24977.14937750518
2026-02-06,50931.3998866814,23913.688381699998,26314.84850470244
2026-02-09,50169.0336226128,23913.688381699998,26639.84850470244
2026-02-10,48552.269830693855,23913.688381699998,26516.99953619658
2026-02-11,46674.02849768604,23913.688381699998,27168.298822085253
