pair,logic_a,logic_b,run,n_names,tickers,basket_mean_ret,portfolio_total_pnl_usd,portfolio_total_ret,qqq_ret,vs_qqq_ret,beat_qqq,positive
L1_time+L2_price,L1_time,L2_price,22,10,"ODFL,ORLY,IDXX,AAPL,DDOG,CPRT,PDD,EA,CSX,WBD",0.036974146455839255,1848.7073227919618,0.036974146455839234,0.2481105102115162,-0.21113636375567696,0,1
L1_time+L2_price,L1_time,L2_price,23,10,"LIN,KHC,WBD,VRSK,LRCX,ADSK,QCOM,ZS,DXCM,GOOG",0.08699749205934446,4349.874602967224,0.08699749205934448,0.2481105102115162,-0.16111301815217174,0,1
L1_time+L2_price,L1_time,L2_price,24,10,"FANG,GE,TRI,VRTX,CDNS,KHC,ZS,CDW,MDB,AAPL",-0.03771524501866145,-1885.7622509330736,-0.03771524501866147,0.2481105102115162,-0.28582575523017767,0,0
L1_time+L2_price,L1_time,L2_price,25,10,"FANG,MELI,KHC,GOOG,COST,CTAS,TTWO,WBD,PCAR,KDP",0.045548360857496674,2277.418042874833,0.04554836085749667,0.2481105102115162,-0.20256214935401953,0,1
L1_time+L2_price,L1_time,L2_price,26,10,"ZS,AMGN,MELI,CEG,KDP,REGN,ROST,EXC,ODFL,AEP",0.02639253308585422,1319.6266542927087,0.026392533085854174,0.2481105102115162,-0.221717977125662,0,1
L1_time+L2_price,L1_time,L2_price,27,10,"NVDA,EA,ISRG,ABNB,GILD,DDOG,FANG,GOOGL,GE,AEP",0.013350987850703211,667.5493925351598,0.013350987850703195,0.2481105102115162,-0.234759522360813,0,1
L1_time+L2_price,L1_time,L2_price,28,10,"SHOP,TSLA,AMGN,INTU,PDD,TTWO,CDW,META,PLTR,GOOGL",-0.051701900770180845,-2585.0950385090423,-0.051701900770180845,0.2481105102115162,-0.29981241098169703,0,0
L1_time+L2_price,L1_time,L2_price,29,10,"QCOM,ZS,BKR,HON,DDOG,SHOP,MAR,IDXX,BKNG,MCHP",0.024235906198762612,1211.795309938132,0.02423590619876264,0.2481105102115162,-0.22387460401275358,0,1
L1_time+L2_price,L1_time,L2_price,30,10,"AVGO,AMAT,AEP,EXC,MSFT,CDNS,PAYX,META,FANG,MELI",0.07052205593945705,3526.102796972851,0.07052205593945703,0.2481105102115162,-0.17758845427205916,0,1
L1_time+L2_price,L1_time,L2_price,31,10,"INTC,COST,WDAY,PCAR,CDNS,ON,QCOM,IDXX,PANW,AVGO",0.03819491879683654,1909.7459398418268,0.038194918796836536,0.2481105102115162,-0.20991559141467966,0,1
L1_time+L2_price,L1_time,L2_price,32,10,"QCOM,ASML,NVDA,DXCM,PAYX,HOOD,GOOGL,MRVL,ON,ADBE",0.0704361795601884,3521.80897800942,0.0704361795601884,0.2481105102115162,-0.17767433065132782,0,1
L1_time+L2_price,L1_time,L2_price,33,10,"DXCM,ROP,REGN,PEP,CTSH,GFS,MNST,TSLA,EA,TXN",0.026354598360636194,1317.7299180318096,0.02635459836063619,0.2481105102115162,-0.22175591185088,0,1
L1_time+L2_price,L1_time,L2_price,34,10,"XEL,TTWO,ROST,KHC,INTC,BKNG,AMD,MAR,ODFL,CMCSA",0.05040618539565885,2520.3092697829416,0.05040618539565883,0.2481105102115162,-0.19770432481585734,0,1
L1_time+L2_price,L1_time,L2_price,35,10,"COST,CCEP,MNST,CEG,GEHC,HON,IDXX,ORLY,TXN,HOOD",-0.01468099201020362,-734.0496005101813,-0.014680992010203626,0.2481105102115162,-0.2627915022217198,0,0
L1_time+L2_price,L1_time,L2_price,36,10,"CRWD,PANW,HOOD,TMUS,GILD,ARM,GOOG,PCAR,LRCX,GFS",0.09715964885028738,4857.98244251437,0.0971596488502874,0.2481105102115162,-0.15095086136122882,0,1
L1_time+L2_price,L1_time,L2_price,37,10,"MRVL,ODFL,KDP,CSGP,REGN,META,CMCSA,ARM,SNPS,ADBE",0.07914594619092534,3957.2973095462667,0.07914594619092534,0.2481105102115162,-0.16896456402059085,0,1
L1_time+L2_price,L1_time,L2_price,38,10,"GE,ADSK,PCAR,LRCX,PDD,KHC,ROP,AMAT,CPRT,AMGN",0.12058003369827963,6029.001684913979,0.12058003369827959,0.2481105102115162,-0.12753047651323657,0,1
L1_time+L2_price,L1_time,L2_price,39,10,"QCOM,INTC,CSX,PDD,BKR,AAPL,LIN,SHOP,CMCSA,CEG",-0.04396997234468882,-2198.4986172344416,-0.04396997234468883,0.2481105102115162,-0.292080482556205,0,0
L1_time+L2_price,L1_time,L2_price,40,10,"LRCX,AMD,AEP,INTC,TSLA,ADP,MRVL,AVGO,FAST,CSCO",0.20417009092477673,10208.50454623884,0.2041700909247768,0.2481105102115162,-0.043940419286739474,0,1
L1_time+L2_price,L1_time,L2_price,41,10,"ADBE,CMCSA,CRWD,GFS,CSX,PLTR,KLAC,HON,IDXX,AMZN",-0.043021797918831275,-2151.0898959415645,-0.04302179791883129,0.2481105102115162,-0.29113230813034746,0,0
L1_time+L2_price,L1_time,L2_price,42,10,"HOOD,TTD,ADP,INTC,CTAS,CPRT,MAR,ABNB,PYPL,AEP",-0.045239165878074486,-2261.9582939037246,-0.04523916587807449,0.2481105102115162,-0.29334967608959067,0,0
L1_time+L2_price,L1_time,L2_price,43,10,"TEAM,SHOP,DXCM,INTU,CTSH,META,AVGO,PDD,MRVL,LIN",0.09923848760991938,4961.92438049597,0.09923848760991939,0.2481105102115162,-0.14887202260159682,0,1
L1_time+L2_price,L1_time,L2_price,44,10,"AAPL,EXC,GOOGL,TSLA,ROP,ASML,MSFT,ORLY,CSGP,AMD",-0.005557657323317322,-277.8828661658672,-0.005557657323317344,0.2481105102115162,-0.2536681675348335,0,0
L1_time+L2_price,L1_time,L2_price,45,10,"CTAS,MSFT,SBUX,LIN,LRCX,ARM,KDP,AXON,KLAC,MNST",0.052021189417440626,2601.059470872032,0.05202118941744064,0.2481105102115162,-0.19608932079407557,0,1
L1_time+L2_price,L1_time,L2_price,46,10,"ODFL,GEHC,TEAM,CRWD,DDOG,KDP,DASH,ISRG,PCAR,FAST",0.02958004287825481,1479.0021439127395,0.02958004287825479,0.2481105102115162,-0.2185304673332614,0,1
L1_time+L2_price,L1_time,L2_price,47,10,"BKR,MU,BKNG,EA,GOOG,PEP,MAR,TXN,AAPL,QCOM",0.0635054713559523,3175.273567797615,0.0635054713559523,0.2481105102115162,-0.1846050388555639,0,1
L1_time+L2_price,L1_time,L2_price,48,10,"MCHP,LIN,AXON,HOOD,TEAM,NFLX,LRCX,IDXX,AAPL,VRSK",0.062110205314141444,3105.510265707073,0.06211020531414146,0.2481105102115162,-0.18600030489737476,0,1
L1_time+L2_price,L1_time,L2_price,49,10,"EA,MDB,CHTR,VRTX,AMD,ADSK,EXC,APP,TTD,KDP",-0.02415469959739449,-1207.734979869726,-0.02415469959739452,0.2481105102115162,-0.27226520980891067,0,0
L1_time+L2_price,L1_time,L2_price,50,10,"NFLX,APP,LIN,CEG,CSGP,KHC,CMCSA,EA,BKNG,REGN",-0.038584993249430634,-1929.2496624715313,-0.03858499324943063,0.2481105102115162,-0.28669550346094685,0,0
L1_time+L2_price,L1_time,L2_price,51,10,"AMAT,FTNT,INTU,PLTR,LIN,PCAR,MRVL,MSTR,GE,SBUX",0.11847082394751274,5923.541197375637,0.11847082394751275,0.2481105102115162,-0.12963968626400346,0,1
