pair,run,month,pnl_usd,pnl_pct_on_50k
L1_time+L2_price,0,2025-08,-140.17581296793378,-0.0028035162593586754
L1_time+L2_price,0,2025-09,2939.0616243112254,0.05878123248622451
L1_time+L2_price,0,2025-10,-1471.0524209414107,-0.029421048418828213
L1_time+L2_price,0,2025-11,-1084.4702041179708,-0.021689404082359413
L1_time+L2_price,0,2025-12,-484.41781473636047,-0.00968835629472721
L1_time+L2_price,0,2026-01,-8.066257233527722,-0.00016132514467055443
L1_time+L2_price,0,2026-02,182.26101942867263,0.0036452203885734527
L1_time+L2_price,0,2026-03,-1367.257310566688,-0.027345146211333757
L1_time+L2_price,0,2026-04,73.11356115705621,0.0014622712231411243
L1_time+L2_price,0,2026-05,3046.674239183859,0.060933484783677175
L1_time+L2_price,0,2026-06,-1707.3179315585558,-0.03414635863117112
L1_time+L2_price,0,2026-07,-22.933799337252367,-0.00045867598674504735
L1_time+L2_price,1,2025-08,-561.8947183330147,-0.011237894366660294
L1_time+L2_price,1,2025-09,-4.746418530662595,-9.49283706132519e-05
L1_time+L2_price,1,2025-10,-164.69669714483098,-0.0032939339428966195
L1_time+L2_price,1,2025-11,217.056823618208,0.00434113647236416
L1_time+L2_price,1,2025-12,-275.3724564047652,-0.0055074491280953045
L1_time+L2_price,1,2026-01,162.32319396832918,0.0032464638793665837
L1_time+L2_price,1,2026-02,81.67903919084529,0.0016335807838169058
L1_time+L2_price,1,2026-03,-327.9571505604299,-0.006559143011208598
L1_time+L2_price,1,2026-04,-182.4638046634327,-0.0036492760932686544
L1_time+L2_price,1,2026-05,-87.93356932490497,-0.0017586713864980992
L1_time+L2_price,1,2026-06,268.54728953970516,0.005370945790794103
L1_time+L2_price,1,2026-07,145.0811928415942,0.002901623856831884
L1_time+L2_price,2,2025-08,259.8869242095334,0.005197738484190668
L1_time+L2_price,2,2025-09,2360.6298516602365,0.047212597033204726
L1_time+L2_price,2,2025-10,1615.7480227531578,0.03231496045506316
L1_time+L2_price,2,2025-11,-187.4771391908962,-0.003749542783817924
L1_time+L2_price,2,2025-12,-642.9829361835618,-0.012859658723671237
L1_time+L2_price,2,2026-01,-454.050913657039,-0.00908101827314078
L1_time+L2_price,2,2026-02,2435.3274791544445,0.04870654958308889
L1_time+L2_price,2,2026-03,-252.6281913914927,-0.005052563827829854
L1_time+L2_price,2,2026-04,224.76363978124027,0.004495272795624805
L1_time+L2_price,2,2026-05,1914.0534664010793,0.03828106932802158
L1_time+L2_price,2,2026-06,-1307.0545880232767,-0.026141091760465533
L1_time+L2_price,2,2026-07,-495.090939116938,-0.00990181878233876
L1_time+L2_price,3,2025-08,-529.6551801057167,-0.010593103602114334
L1_time+L2_price,3,2025-09,210.1265108896887,0.004202530217793774
L1_time+L2_price,3,2025-10,1108.8949380525892,0.022177898761051782
L1_time+L2_price,3,2025-11,39.52653804560123,0.0007905307609120246
L1_time+L2_price,3,2025-12,-737.8342383669387,-0.014756684767338775
L1_time+L2_price,3,2026-01,1348.7370683189292,0.026974741366378584
L1_time+L2_price,3,2026-02,554.1155971879552,0.011082311943759105
L1_time+L2_price,3,2026-03,-901.5128976637125,-0.01803025795327425
L1_time+L2_price,3,2026-04,-15.410521518310816,-0.0003082104303662163
L1_time+L2_price,3,2026-05,276.62719720101177,0.005532543944020235
L1_time+L2_price,3,2026-06,-212.58495539901833,-0.004251699107980366
L1_time+L2_price,3,2026-07,-29.97997582996777,-0.0005995995165993554
L1_time+L2_price,4,2025-08,211.5839214741136,0.004231678429482272
L1_time+L2_price,4,2025-09,551.5512465681213,0.011031024931362427
L1_time+L2_price,4,2025-10,321.20286630968985,0.006424057326193797
L1_time+L2_price,4,2025-11,-2118.521307054016,-0.04237042614108032
L1_time+L2_price,4,2025-12,-725.3481404925315,-0.01450696280985063
L1_time+L2_price,4,2026-01,604.3201080959584,0.012086402161919169
L1_time+L2_price,4,2026-02,980.7741867582799,0.019615483735165598
L1_time+L2_price,4,2026-03,-1531.384886086907,-0.03062769772173814
L1_time+L2_price,4,2026-04,2454.9027849109934,0.049098055698219865
L1_time+L2_price,4,2026-05,1507.5508563335143,0.030151017126670284
L1_time+L2_price,4,2026-06,2865.7719452592437,0.057315438905184875
L1_time+L2_price,4,2026-07,-1335.1390351603231,-0.026702780703206464
L1_time+L2_price,5,2025-08,413.6976840683992,0.008273953681367983
L1_time+L2_price,5,2025-09,-64.67293194103968,-0.0012934586388207935
L1_time+L2_price,5,2025-10,39.11294459279543,0.0007822588918559085
L1_time+L2_price,5,2025-11,941.7916273111796,0.01883583254622359
L1_time+L2_price,5,2025-12,-250.7715744009265,-0.00501543148801853
L1_time+L2_price,5,2026-01,-329.6835036323346,-0.006593670072646692
L1_time+L2_price,5,2026-02,573.3398480612941,0.011466796961225881
L1_time+L2_price,5,2026-03,175.78033273665915,0.003515606654733183
L1_time+L2_price,5,2026-04,573.8240091765892,0.011476480183531784
L1_time+L2_price,5,2026-05,-1522.6843940146205,-0.03045368788029241
L1_time+L2_price,5,2026-06,50.99217746641716,0.001019843549328343
L1_time+L2_price,5,2026-07,-108.07431351299783,-0.0021614862702599566
L1_time+L2_price,6,2025-08,104.47588225180243,0.002089517645036049
L1_time+L2_price,6,2025-09,2290.1049474324145,0.04580209894864829
L1_time+L2_price,6,2025-10,-2172.0921456118785,-0.04344184291223757
L1_time+L2_price,6,2025-11,-357.38501913135497,-0.007147700382627099
L1_time+L2_price,6,2025-12,-334.3426748490865,-0.0066868534969817305
L1_time+L2_price,6,2026-01,380.76979864509394,0.0076153959729018785
L1_time+L2_price,6,2026-02,166.81882428845074,0.0033363764857690147
L1_time+L2_price,6,2026-03,-626.2313752897753,-0.012524627505795506
L1_time+L2_price,6,2026-04,696.348999314313,0.01392697998628626
L1_time+L2_price,6,2026-05,1555.8449883105627,0.031116899766211254
L1_time+L2_price,6,2026-06,-2025.7961422710387,-0.04051592284542077
L1_time+L2_price,6,2026-07,-218.46480714157542,-0.004369296142831509
L1_time+L2_price,7,2025-08,-186.79439773522063,-0.0037358879547044125
L1_time+L2_price,7,2025-09,-35.091773768040184,-0.0007018354753608037
L1_time+L2_price,7,2025-10,864.0195893797872,0.017280391787595745
L1_time+L2_price,7,2025-11,820.2971290196938,0.016405942580393875
L1_time+L2_price,7,2025-12,120.48299845615838,0.0024096599691231678
L1_time+L2_price,7,2026-01,2016.904259904435,0.0403380851980887
L1_time+L2_price,7,2026-02,-63.767225237144885,-0.0012753445047428977
L1_time+L2_price,7,2026-03,-630.9165009211665,-0.012618330018423331
L1_time+L2_price,7,2026-04,310.7814325516247,0.0062156286510324935
L1_time+L2_price,7,2026-05,-1525.3082957808579,-0.030506165915617157
L1_time+L2_price,7,2026-06,-624.2065349310569,-0.012484130698621138
L1_time+L2_price,7,2026-07,413.4050583722201,0.008268101167444402
L1_time+L2_price,8,2025-08,-62.51593674525702,-0.0012503187349051405
L1_time+L2_price,8,2025-09,698.8385808798575,0.013976771617597151
L1_time+L2_price,8,2025-10,447.0362088920192,0.008940724177840384
L1_time+L2_price,8,2025-11,486.274796640203,0.00972549593280406
L1_time+L2_price,8,2025-12,40.11176698620966,0.0008022353397241932
L1_time+L2_price,8,2026-01,1238.8247169647193,0.024776494339294387
L1_time+L2_price,8,2026-02,-250.7427288827439,-0.005014854577654878
L1_time+L2_price,8,2026-03,-327.8113595679433,-0.006556227191358867
L1_time+L2_price,8,2026-04,370.8254395260765,0.00741650879052153
L1_time+L2_price,8,2026-05,1453.539883305085,0.029070797666101697
L1_time+L2_price,8,2026-06,122.2554029333287,0.002445108058666574
L1_time+L2_price,8,2026-07,-320.269143415293,-0.00640538286830586
L1_time+L2_price,9,2025-08,358.91309617501884,0.007178261923500377
L1_time+L2_price,9,2025-09,2675.1841747061508,0.05350368349412302
L1_time+L2_price,9,2025-10,-1761.8782001264672,-0.035237564002529344
L1_time+L2_price,9,2025-11,-610.962197359012,-0.012219243947180238
