,pnl_usd
2025-08,1491.2956909512432
2025-09,2768.291605370403
2025-10,2593.8145603820667
2025-11,-887.4993716279641
2025-12,-374.9360278516615
2026-01,684.1338220942052
2026-02,-1319.3985699027617
2026-03,-2658.893972212565
2026-04,8205.40933649007
2026-05,6394.16985909186
2026-06,-99.7312228595838
2026-07,-4391.1301993495
