pair,month,avg_pnl_usd,avg_pnl_pct_on_50k
L1_time+L2_price,2025-08,-376.52298267831304,-0.007530459653566261
L1_time+L2_price,2025-09,840.7540077539597,0.016815080155079196
L1_time+L2_price,2025-10,150.57906871519322,0.0030115813743038645
L1_time+L2_price,2025-11,-296.8850931303696,-0.005937701862607393
L1_time+L2_price,2025-12,-363.0574085531113,-0.007261148171062226
L1_time+L2_price,2026-01,466.14294384691016,0.009322858876938202
L1_time+L2_price,2026-02,519.354381804173,0.010387087636083462
L1_time+L2_price,2026-03,-758.9296426837717,-0.015178592853675434
L1_time+L2_price,2026-04,856.4740495609695,0.01712948099121939
L1_time+L2_price,2026-05,673.0655036872939,0.013461310073745878
L1_time+L2_price,2026-06,-31.60112760802963,-0.0006320225521605925
L1_time+L2_price,2026-07,-139.58554386031102,-0.00279171087720622
L1_time+L3_pullback,2025-08,39.33000200401379,0.0007866000400802758
L1_time+L3_pullback,2025-09,979.2683625118298,0.019585367250236595
L1_time+L3_pullback,2025-10,424.977768381122,0.00849955536762244
L1_time+L3_pullback,2025-11,-577.4614155822736,-0.011549228311645472
L1_time+L3_pullback,2025-12,-98.8263825467593,-0.001976527650935186
L1_time+L3_pullback,2026-01,444.77128316935625,0.008895425663387125
L1_time+L3_pullback,2026-02,59.74384908366549,0.0011948769816733098
L1_time+L3_pullback,2026-03,-490.12230890568395,-0.00980244617811368
L1_time+L3_pullback,2026-04,407.58576607914443,0.00815171532158289
L1_time+L3_pullback,2026-05,539.8231570443857,0.010796463140887714
L1_time+L3_pullback,2026-06,163.8543633577392,0.003277087267154784
L1_time+L3_pullback,2026-07,147.8724284169772,0.002957448568339544
L1_time+L4_regime,2025-08,28.71413211010252,0.0005742826422020504
L1_time+L4_regime,2025-09,1658.4394687094632,0.03316878937418927
L1_time+L4_regime,2025-10,683.0656020186595,0.013661312040373191
L1_time+L4_regime,2025-11,-1002.7415208135853,-0.020054830416271707
L1_time+L4_regime,2025-12,-397.4994383487824,-0.007949988766975648
L1_time+L4_regime,2026-01,884.3927154012777,0.017687854308025552
L1_time+L4_regime,2026-02,341.26554316095314,0.006825310863219062
L1_time+L4_regime,2026-03,-1097.4735263920982,-0.021949470527841963
