episode,win_start,win_end,qqq_ret,n_runs,mean_ret,std_ret,p10,p50,p90,mean_sharpe,mean_mdd,mean_vs_qqq,pct_beat_qqq,pct_positive,pct_runs_pos,mean_exposure,mean_trades
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,100,-0.06522188849864087,0.011379349046537571,-0.07835959208816812,-0.0654158927763964,-0.05201774200953458,-2.0492584246486585,-0.08343794693678279,0.16246116493556875,0.9703333333333336,0.0643333333333333,0.0,0.31639999999999996,1.6793333333333333
EP2_2025_2026_grind,2025-10-29,2026-03-30,-0.1196437227677439,100,-0.01587974211875736,0.024440841432267702,-0.04831838566097225,-0.01722639432020005,0.014874523672129412,-0.3291611065679425,-0.1265430172657942,0.10376398064898648,0.7316666666666665,0.3766666666666666,0.25,0.34398717948717944,3.46
EP3_2026_jun_jul,2026-06-02,2026-07-29,-0.1121780690839455,100,0.003431816094776334,0.016966531728032794,-0.018278834489572567,0.0031979654647477,0.02553014844737186,0.05985099790629926,-0.08966498916264717,0.11560988517872188,0.8553333333333333,0.41533333333333333,0.58,0.4016958333333333,1.5929999999999997
EP4_2024_aug_sep,2024-08-21,2024-09-06,-0.07007241889065075,100,-0.01756602008460444,0.008925430967932616,-0.029710065450011813,-0.01646395420612358,-0.006433266093702481,-0.8169365979601154,-0.02505387157871617,0.05250639880604631,0.9150000000000001,0.11999999999999998,0.0,0.2622222222222222,0.2766666666666666
EP5_2024_dec_jan,2024-12-16,2025-01-14,-0.0599727424455215,100,-0.02634216701042473,0.006612779696551747,-0.0363789177230722,-0.025165460498406053,-0.019128772358405287,-1.4529068777740017,-0.03566328354060407,0.03363057543509671,0.8206666666666667,0.037999999999999964,0.0,0.27875438596491225,0.825
