episode,win_start,win_end,qqq_ret,qqq_depth_reported,run,n_names,mean_ret,median_ret,mean_sharpe,mean_mdd,mean_vs_qqq,pct_positive,pct_beat_qqq,mean_trades,mean_exposure
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,0,30,-0.0620039078409261,-0.0513707414038613,-2.065393394683683,-0.0784350195173675,0.1656791455932835,0.0666666666666666,1.0,1.5666666666666669,0.3285714285714285
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,1,30,-0.0989107007506856,-0.1024172589944638,-2.757556223632188,-0.1131858681107686,0.1287723526835241,0.0,0.9,1.7333333333333334,0.2942857142857142
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,2,30,-0.0603428006760295,-0.0297940376252028,-1.7940109112682627,-0.0795316912458376,0.1673402527581801,0.1333333333333333,0.9333333333333332,1.8,0.3114285714285714
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,3,30,-0.0741236143179158,-0.0590226511624277,-2.236568355662316,-0.0992062596453343,0.1535594391162939,0.0333333333333333,0.9333333333333332,1.9666666666666663,0.38
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,4,30,-0.0679905027789844,-0.0317989432002636,-1.9478535578533824,-0.0886291496337165,0.1596925506552252,0.0666666666666666,0.9333333333333332,1.7,0.2914285714285714
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,5,30,-0.0577319852727667,-0.0434648473105637,-1.7965950159133512,-0.0788221943508181,0.169951068161443,0.1666666666666666,1.0,1.8333333333333333,0.3295238095238095
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,6,30,-0.0541089621401507,-0.0267346404498226,-1.4739657767736625,-0.0755503644236507,0.1735740912940589,0.0666666666666666,1.0,1.5666666666666669,0.3342857142857143
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,7,30,-0.071083557997647,-0.0644598718625623,-2.201286137495288,-0.0883511859871629,0.1565994954365626,0.0666666666666666,0.9666666666666668,1.6666666666666667,0.2523809523809524
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,8,30,-0.0646059145150145,-0.0507005369027865,-2.1783199133511744,-0.0804108800058794,0.1630771389191951,0.0666666666666666,1.0,1.7333333333333334,0.3180952380952381
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,9,30,-0.0707000087283731,-0.0627676868459324,-2.4502271279033123,-0.0886968022732001,0.1569830447058365,0.0,1.0,1.5333333333333334,0.3438095238095238
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,10,30,-0.0769713001686264,-0.0609508964567586,-2.567123835553913,-0.092695272844748,0.1507117532655832,0.0666666666666666,0.9666666666666668,1.7666666666666666,0.2980952380952381
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,11,30,-0.0626780990352422,-0.0562789508626416,-2.165100435981535,-0.0840081930881624,0.1650049543989674,0.0333333333333333,1.0,1.8333333333333333,0.3571428571428571
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,12,30,-0.0675056096006387,-0.0669892062652803,-2.100869833466572,-0.0870875224815388,0.1601774438335709,0.0666666666666666,1.0,1.6666666666666667,0.3085714285714285
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,13,30,-0.0538501465440909,-0.0233487288229701,-1.5712175825108046,-0.0739840146241305,0.1738329068901188,0.0666666666666666,0.9666666666666668,1.5,0.2428571428571428
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,14,30,-0.0700348603734555,-0.0440715649875179,-2.5408746899131485,-0.0821291437152303,0.1576481930607541,0.0333333333333333,1.0,1.7333333333333334,0.2514285714285714
EP1_2025crash,2025-02-19,2025-04-08,-0.2276830534342097,-0.2277,15,30,-0.0337411946881313,0.0,-1.0962615864597345,-0.0549939155031265,0.1939418587460783,0.1666666666666666,1.0,1.5333333333333334,0.3028571428571428
